Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
"Dr Divya Skin, Cosmoderm and Laser Clinic(Skin Specialist, Cosmetologist, Hair Specialist)",,9845350510,Ballari,Skin Clinic,Y,,,,2026-03-16,
Maanas Skin Hair & Laser Clinic,,7760840845,Ballari,Skin Clinic,Y,,,,2026-03-16,
"Dr Dani's Skin, Cosmetic And Laser Clinic",,8277606300,Ballari,Skin Clinic,Y,,,,2026-03-16,
Siddeshwara Skin Clinic,,8884271707,Ballari,Skin Clinic,Y,,,,2026-03-16,
"VCare Hair & Skin Clinic - Ballari | Skin Treatment, Hair Treatment, Hair Transplant, Laser Hair Removal, Skin Whitening",,7395823232,Ballari,Skin Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Dr Afshan Skin & Hair Clinic,,6361651114,Ballari,Skin Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Annapoorna Skin Clinic,,9845784969,Ballari,Skin Clinic,Y,,,,2026-03-16,
Dr Vadiraj Clinic,,9449134992,Ballari,Skin Clinic,Y,,,,2026-03-16,
SRUSHTI HEALTH CLINIC,,9113822398,Ballari,Skin Clinic,Y,,,,2026-03-16,
Dr Raghu Skin Clinic,,8392255516,Ballari,Skin Clinic,Y,,,,2026-03-16,
Dr Afshan - Skin & Hair Clinic (Expert Dermatologist | Skin Specialist | Hair Transplant Surgeon) - Dr.Gouhare Afshan,,6361651114,Ballari,Skin Clinic,Y,,,,2026-03-16,PHONE RECOVERED
"Dr Batra’s Homeopathy, Hair & Skin Clinic",,7045000666,Ballari,Skin Clinic,Y,,,,2026-03-16,
Srushti Hair and Skin clinic,,9113822398,Ballari,Skin Clinic,Y,,,,2026-03-16,
Gudi Skin Care Clinic,,9880616349,Ballari,Skin Clinic,Y,,,,2026-03-16,
Vaibhav Skin Clinic,,8884271707,Ballari,Skin Clinic,Y,,,,2026-03-16,
Dr praladh rao eye and skin hospital,,9396926208,Ballari,Skin Clinic,Y,,,,2026-03-16,
New Srihari clinic,,9396926208,Ballari,Skin Clinic,Y,,,,2026-03-16,
Maya Beauty Salon And Makeup Studio,,9743209896,Ballari,Skin Clinic,Y,,,,2026-03-16,
LAKSHYA DENTAL & BONNE BODY HAIR CLINIC,,,Ballari,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Shiv skin care clinic Dr karjagi siddalingappa hospital ballari,,9396926208,Ballari,Skin Clinic,Y,,,,2026-03-16,
Kaya Ayurvedic Panchakarma Centre,,9739289868,Ballari,Skin Clinic,Y,,,,2026-03-16,
DANI SKIN COSMETIC AND LASER CLINIC,,,Ballari,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Skin Care Clinic - Dr. Raghu T Y,,9396926208,Ballari,Skin Clinic,Y,,,,2026-03-16,
Manikya Nature Cure Clinic,,8277159087,Ballari,Skin Clinic,Y,,,,2026-03-16,
Craze Beauty Parlour & Training Institute and SKIN CARE CLINIC,,,Ballari,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
"Srujan aesthetic clinic(Shifted to Anantha vasudev hospital , anantpur road)",,9353960656,Ballari,Skin Clinic,Y,,,,2026-03-16,
Dr VEERESH,,8105485298,Ballari,Skin Clinic,Y,,,,2026-03-16,
RELIEF POLY CLINIC,,9396926208,Ballari,Skin Clinic,Y,,,,2026-03-16,
RJR HERBAL HOSPITAL - BALLARI,,7826977711,Ballari,Skin Clinic,Y,,,,2026-03-16,
Dr Care & Cure Homeopathy,,8559284470,Ballari,Skin Clinic,Y,,,,2026-03-16,
Sree Thirumala Hospital,,9900787706,Ballari,Skin Clinic,Y,,,,2026-03-16,
Prakash Clinic,,9448066432,Ballari,Skin Clinic,Y,,,,2026-03-16,
Shiva Clinic,,,Ballari,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Lakshmi Nilayam. Infantry road beside Dr Danis skin clinic,,8277606300,Ballari,Skin Clinic,Y,,,,2026-03-16,
Dermatology consultation,,,Ballari,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
