Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
Namokar Travels,,9480901029,Belagavi,Car Rental,Y,,,,2026-03-16,
Aradhya Tours And Travels,,7829797007,Belagavi,Car Rental,Y,,,,2026-03-16,
Ayush Tour And Travels Belgaum | Taxi Service in Belgaum | Cab Rental Service in Belgaum,,9964003218,Belagavi,Car Rental,Y,,,,2026-03-16,
Shree Ganpath Travels,,9538582255,Belagavi,Car Rental,Y,,,,2026-03-16,
Siddeshwar Travels Belagavi,,8431128058,Belagavi,Car Rental,Y,,,,2026-03-16,
Patil’s Tours and travels - Ramdev,,9686619421,Belagavi,Car Rental,Y,,,,2026-03-16,
Sudarshan Cars - Car Rental in Belagavi,,7407087663,Belagavi,Car Rental,Y,,,,2026-03-16,PHONE RECOVERED
"Kargo Enterprises (Taxi services, car rental, courier services, packer and movers)",,9036575756,Belagavi,Car Rental,Y,,,,2026-03-16,
Belagavi self drive cars and car rental service,,7022625408,Belagavi,Car Rental,Y,,,,2026-03-16,
Belgaum sunshine cab service,,7406991191,Belagavi,Car Rental,Y,,,,2026-03-16,
XPRESS CAR RENTALS,,8884068888,Belagavi,Car Rental,Y,,,,2026-03-16,
VISHAL TRAVELS,,9945715225,Belagavi,Car Rental,Y,,,,2026-03-16,
BOOM VEHICLES,,8792212334,Belagavi,Car Rental,Y,,,,2026-03-16,
Self drive,,7795508754,Belagavi,Car Rental,Y,,,,2026-03-16,
The Travels Hub Belgaum,,9986242508,Belagavi,Car Rental,Y,,,,2026-03-16,
New Jaihind Travels Belgaum,,9108029911,Belagavi,Car Rental,Y,,,,2026-03-16,
Tehreem Tour and Travels,,9916313172,Belagavi,Car Rental,Y,,,,2026-03-16,
Atlas Tours And Travels,,8550076777,Belagavi,Car Rental,Y,,,,2026-03-16,
Iranna Tours & Travels,,9482635758,Belagavi,Car Rental,Y,,,,2026-03-16,
Noohark Tours & Travels (Belgaum Taxi Services),,8892791831,Belagavi,Car Rental,Y,,,,2026-03-16,
Rishab Travels,,9019640012,Belagavi,Car Rental,Y,,,,2026-03-16,
Vailankanni Tours and Travels,,9448948318,Belagavi,Car Rental,Y,,,,2026-03-16,
JB Travels Belgaum,,9740309999,Belagavi,Car Rental,Y,,,,2026-03-16,PHONE RECOVERED
Dhananjay Tours and Travels,,9902360030,Belagavi,Car Rental,Y,,,,2026-03-16,
Raahiz Travels - Belgaum Car Rentals,,7338641008,Belagavi,Car Rental,Y,,,,2026-03-16,
Sayyed Tours & Travels,,8296202488,Belagavi,Car Rental,Y,,,,2026-03-16,
SC TRAVELS Belgaum taxi service,,7892862027,Belagavi,Car Rental,Y,,,,2026-03-16,
Mack tours and trivels,,9380224556,Belagavi,Car Rental,Y,,,,2026-03-16,
Yash tours and travels,,9900344401,Belagavi,Car Rental,Y,,,,2026-03-16,
Vipul Tours & Travels,,9481820606,Belagavi,Car Rental,Y,,,,2026-03-16,
S D PATIL TOURS AND TRAVELS,,9916312910,Belagavi,Car Rental,Y,,,,2026-03-16,
Toufiq Tours and Travels Belgaum,,9844376390,Belagavi,Car Rental,Y,,,,2026-03-16,
Akash tours and travels,,8123293489,Belagavi,Car Rental,Y,,,,2026-03-16,
Jayalakshmi Tours And Travels :: Travel Expert Mr Punith Raj,,8147378372,Belagavi,Car Rental,Y,,,,2026-03-16,
Simra Tours and Travels,,9964658817,Belagavi,Car Rental,Y,,,,2026-03-16,
SOHAM TOUR'S TRAVELS (AIRPORT TAXI )CAB HIRE & TAXI SERVICES 24×7,,7411663689,Belagavi,Car Rental,Y,,,,2026-03-16,
Belgaum Bike Rental - Jaihind Travels,,9108029911,Belagavi,Car Rental,Y,,,,2026-03-16,
"Cabs service in Belagavi ( Airport Taxi,Taxi Service,Car Rental)",,9743214080,Belagavi,Car Rental,Y,,,,2026-03-16,
Shree tours,,9900676443,Belagavi,Car Rental,Y,,,,2026-03-16,
"Travel On -Best taxi services in Belgaum(Airport taxi, Car rental, Cab hire)",,7619108260,Belagavi,Car Rental,Y,,,,2026-03-16,
Taxi Service's,,9480909963,Belagavi,Car Rental,Y,,,,2026-03-16,
Move on wheels - Rent a bike in Belagavi,,8762680082,Belagavi,Car Rental,Y,,,,2026-03-16,
Belgaum Taxi,,9844815161,Belagavi,Car Rental,Y,,,,2026-03-16,
Royal Brothers - Bike Rentals - Belagavi,,9019595595,Belagavi,Car Rental,Y,,,,2026-03-16,
Swastik Travels,,9972381008,Belagavi,Car Rental,Y,,,,2026-03-16,
Shiva Tours and Travels,,8496845525,Belagavi,Car Rental,Y,,,,2026-03-16,
Tirupati Travels,,9886379226,Belagavi,Car Rental,Y,,,,2026-03-16,
Panchmukhi Tours & Travels,,9449005005,Belagavi,Car Rental,Y,,,,2026-03-16,
Pace Travels,,8314207383,Belagavi,Car Rental,Y,,,,2026-03-16,
SSM TOURS AND TRAVELS,,9986398777,Belagavi,Car Rental,Y,,,,2026-03-16,
Belgaum Taxi Service,,7996652602,Belagavi,Car Rental,Y,,,,2026-03-16,
Move on wheels - Bike rental,,8762680082,Belagavi,Car Rental,Y,,,,2026-03-16,
Hegde Tours & Travels,,9945794021,Belagavi,Car Rental,Y,,,,2026-03-16,
(Belgaum)Seven star tours and travels,,7411422994,Belagavi,Car Rental,Y,,,,2026-03-16,
Pistons,,9036575756,Belagavi,Car Rental,Y,,,,2026-03-16,
Sairath Travels,,7090947802,Belagavi,Car Rental,Y,,,,2026-03-16,
Moreshwar tours & travels -best tours and travels all types services available,,7349166363,Belagavi,Car Rental,Y,,,,2026-03-16,
SMILE TRAVELS & CAR WASHING CENTRE,,7411134777,Belagavi,Car Rental,Y,,,,2026-03-16,
Seven heaven Tour's & Travel's,,7204110137,Belagavi,Car Rental,Y,,,,2026-03-16,
Wicked Ride,,9036575756,Belagavi,Car Rental,Y,,,,2026-03-16,
Gayatri Traveller Service,,9148701292,Belagavi,Car Rental,Y,,,,2026-03-16,
M R travels belgaum,,9130381576,Belagavi,Car Rental,Y,,,,2026-03-16,
Lucky cars,,8147266432,Belagavi,Car Rental,Y,,,,2026-03-16,
Trekkers Of Belgaum,,9513238067,Belagavi,Car Rental,Y,,,,2026-03-16,
Carbel Cabs & Travels | Taxi Service in Belgaum | Cabs in Belgaum,,8277911108,Belagavi,Car Rental,Y,,,,2026-03-16,
HAPPY TOURS belgaum,,8271700207,Belagavi,Car Rental,Y,,,,2026-03-16,
Jay Malhar Tours and Travels,,8217057187,Belagavi,Car Rental,Y,,,,2026-03-16,
Simran Tours & Travels,,9448634780,Belagavi,Car Rental,Y,,,,2026-03-16,
Belgaum Bike Rental,,9743629326,Belagavi,Car Rental,Y,,,,2026-03-16,PHONE RECOVERED
Corporate Office of Moveonwheels,,8762680082,Belagavi,Car Rental,Y,,,,2026-03-16,
Vacation's,,8431203805,Belagavi,Car Rental,Y,,,,2026-03-16,
Memories tours and travels,,9845911997,Belagavi,Car Rental,Y,,,,2026-03-16,
Sugama Tourist,,8312473233,Belagavi,Car Rental,Y,,,,2026-03-16,
Om Sai PG Rooms and Om Sai Car Rental,,7795342036,Belagavi,Car Rental,Y,,,,2026-03-16,
Bhat's Rent A Car,,9591983965,Belagavi,Car Rental,Y,,,,2026-03-16,
Khoob Taxi Service,,9113688862,Belagavi,Car Rental,Y,,,,2026-03-16,
MAGUS TRAVEL SOLUTION'S,,6364467492,Belagavi,Car Rental,Y,,,,2026-03-16,
Neeta Institute Of Travel Services,,8312400749,Belagavi,Car Rental,Y,,,,2026-03-16,
Sahara Online Services (CSC) / Sahara Consultancies,,9743217939,Belagavi,Car Rental,Y,,,,2026-03-16,
Balgavi tours and travels,,7483647680,Belagavi,Car Rental,Y,,,,2026-03-16,
GLORIOUS CAR DECOR,,8805041230,Belagavi,Car Rental,Y,,,,2026-03-16,
Belagavi I K tours and travels,,9797589449,Belagavi,Car Rental,Y,,,,2026-03-16,
Southern Tourist,,9663010700,Belagavi,Car Rental,Y,,,,2026-03-16,
Nikhil Car Rentals,,7875328733,Belagavi,Car Rental,Y,,,,2026-03-16,
Shri Renuka Transport Co,,8312400595,Belagavi,Car Rental,Y,,,,2026-03-16,
SCOOTALS,,7204626849,Belagavi,Car Rental,Y,,,,2026-03-16,PHONE RECOVERED
KADAM TOUR & TRAVELS,,7090946566,Belagavi,Car Rental,Y,,,,2026-03-16,
