Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
"Anant Classes, Belgaum",,9739249881,Belagavi,Tuition Centre,Y,,,,2026-03-16,
"NK Classes - The best IIT - JEE, NEET, FOUNDATION - class 8, 9, 10 and PUC coaching center - Belgaum",,7204440172,Belagavi,Tuition Centre,Y,,,,2026-03-16,
Expert Coaching Academy,,9035346343,Belagavi,Tuition Centre,Y,,,,2026-03-16,
Karnataka Coaching Centre,,9964938826,Belagavi,Tuition Centre,Y,,,,2026-03-16,
TOPPERS COACHING CLASSES - NEET / JEE / PUC / VIII / IX / X - Belagavi,,8147275762,Belagavi,Tuition Centre,Y,,,,2026-03-16,
Comfort Learn tuition classes,,7353418939,Belagavi,Tuition Centre,Y,,,,2026-03-16,
Smart Sutra - Head Office,,8123796188,Belagavi,Tuition Centre,Y,,,,2026-03-16,
"Physics Wallah Vidyapeeth Pathshala Coaching Center Belagavi | IIT JEE, NEET & Foundation Classes",,7290070560,Belagavi,Tuition Centre,Y,,,,2026-03-16,PHONE RECOVERED
"Aakash Institute, Belgaum",,8800012965,Belagavi,Tuition Centre,Y,,,,2026-03-16,
BYJU'S Tuition Centre - Nehru Nagar Belagavi,,9243500460,Belagavi,Tuition Centre,Y,,,,2026-03-16,
Synergy Learning,,9380457051,Belagavi,Tuition Centre,Y,,,,2026-03-16,
Shine Tuition Classes,,9738529009,Belagavi,Tuition Centre,Y,,,,2026-03-16,
"Umesh Kale Online Tuition Classes: India, Delhi, Gurugram, Noida, Mumbai, Pune, Hyderabad, Bengaluru, Chennai",,9113913819,Belagavi,Tuition Centre,Y,,,,2026-03-16,
SR Commerce Classes,,9620419273,Belagavi,Tuition Centre,Y,,,,2026-03-16,
Arihant Academy Belgaum,,8147336640,Belagavi,Tuition Centre,Y,,,,2026-03-16,
Arjun Classes,,8057711711,Belagavi,Tuition Centre,Y,,,,2026-03-16,
NARAYANA IIT-JEE/NEET/FOUNDATION - BELGAUM,,9667225657,Belagavi,Tuition Centre,Y,,,,2026-03-16,PHONE RECOVERED
Deepak Tuition Classes - a friendly learning center,,7619137226,Belagavi,Tuition Centre,Y,,,,2026-03-16,
"Sri Chaitanya Academy - Best IIT JEE & NEET Coaching in Belagavi, Tilakwadi",,7307434082,Belagavi,Tuition Centre,Y,,,,2026-03-16,PHONE RECOVERED
AIM Coaching Institute - Banking SSC Railway Defense & State CBSE School Exam Coaching Classes,,9442946703,Belagavi,Tuition Centre,Y,,,,2026-03-16,
Xplore Learning Centre,,9663320948,Belagavi,Tuition Centre,Y,,,,2026-03-16,
GLOBAL COACHING CENTER BELAGAVI,,9036995375,Belagavi,Tuition Centre,Y,,,,2026-03-16,
"WIN FIRST ACADEMY - Belagavi - IAS ,KAS, UPSC, KPSC Government Exams Coaching , Spoken English , IELTS ,PTE ,TOEFL, TUITIONS",,9611102910,Belagavi,Tuition Centre,Y,,,,2026-03-16,
Akshara Kannada Tuition Classes Belagavi,,7795100603,Belagavi,Tuition Centre,Y,,,,2026-03-16,
Toppers Coaching Centre,,9972458280,Belagavi,Tuition Centre,Y,,,,2026-03-16,
"Nav Disha Coaching Classes for BANK PO&CLERK, SSC-CGL,CHSL,MTS,GD Railways & Insurance Exams",,7022346444,Belagavi,Tuition Centre,Y,,,,2026-03-16,
Gnyanadeep Tutorials,,8312403475,Belagavi,Tuition Centre,Y,,,,2026-03-16,
Thoughtflow,,8123800002,Belagavi,Tuition Centre,Y,,,,2026-03-16,
SAI GANESH COACHING CLASSES,,9886087811,Belagavi,Tuition Centre,Y,,,,2026-03-16,
Sanmargaha Classes,,9999999776,Belagavi,Tuition Centre,Y,,,,2026-03-16,PHONE RECOVERED
"ABC Tution Center- SSLC,PUC,CBSE in Belgaum.",,6360312623,Belagavi,Tuition Centre,Y,,,,2026-03-16,
Avanti Learning Centres - Belgaum | IIT-JEE NEET NTSE CET & Foundation Coaching Classes,,6366437713,Belagavi,Tuition Centre,Y,,,,2026-03-16,
Veranda RACE,,6364460810,Belagavi,Tuition Centre,Y,,,,2026-03-16,
SARASWATI CLASSES,,9845101456,Belagavi,Tuition Centre,Y,,,,2026-03-16,
upGrad Learning Support Centre - Belagavi,,9380214040,Belagavi,Tuition Centre,Y,,,,2026-03-16,
ADHYAYAN COACHING CENTRE,,9886882390,Belagavi,Tuition Centre,Y,,,,2026-03-16,
Tara Classes,,7795769290,Belagavi,Tuition Centre,Y,,,,2026-03-16,
"Physics Wallah Coaching Center Helpline | IIT JEE, NEET Classes",,7428890305,Belagavi,Tuition Centre,Y,,,,2026-03-16,
"Edureka Learning Center Tilakwadi, Belagavi",,9019094983,Belagavi,Tuition Centre,Y,,,,2026-03-16,
Grassroots Coaching,,9449040263,Belagavi,Tuition Centre,Y,,,,2026-03-16,
Knowledge Plant,,9341274483,Belagavi,Tuition Centre,Y,,,,2026-03-16,
"Banking Classes, GMAT, GRE, CAT Coaching, RRB Classes, IBPS Classes, and English Speaking Classes - Cornerstone Academia",,8431294933,Belagavi,Tuition Centre,Y,,,,2026-03-16,
Eminant Coaching Classes Belagavi,,9945155100,Belagavi,Tuition Centre,Y,,,,2026-03-16,PHONE RECOVERED
"CMA's IAS Academy, Belagavi",,9448148868,Belagavi,Tuition Centre,Y,,,,2026-03-16,
Drona Coaching Classes,,6361448857,Belagavi,Tuition Centre,Y,,,,2026-03-16,
PRIME EDUCATION CENTRE,,9739725125,Belagavi,Tuition Centre,Y,,,,2026-03-16,
SHRI.ADAVI SIDDESHWAR COACHING CENTRE,,8296320074,Belagavi,Tuition Centre,Y,,,,2026-03-16,
