Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
Thousand Smiles Dental Clinic and Orthodontic Center,,9483922222,Belagavi,Dental Clinic,Y,,,,2026-03-16,
Shenvi Dental Clinic and Specialty Root Canal Centre,,6360428482,Belagavi,Dental Clinic,Y,,,,2026-03-16,
Healthy Smile Dental Clinic,,8050192008,Belagavi,Dental Clinic,Y,,,,2026-03-16,
Smile plus dental clinic,,8762338434,Belagavi,Dental Clinic,Y,,,,2026-03-16,
"Madani Dental Clinic, Dr. TABREZ JAMADAR",,8904249432,Belagavi,Dental Clinic,Y,,,,2026-03-16,
"DENTAL HEALTH CENTRE & ORTHODONTIC CLINIC, Dr U S Shashidhar",,8312424195,Belagavi,Dental Clinic,Y,,,,2026-03-16,
Dantavardhini Dental clinic,,8431000231,Belagavi,Dental Clinic,Y,,,,2026-03-16,
Sai Ortho plus Speciality Dental clinic,,8314069776,Belagavi,Dental Clinic,Y,,,,2026-03-16,
Joshi Dental Care,,8904107711,Belagavi,Dental Clinic,Y,,,,2026-03-16,
Smayaa Dental Clinic,,8904272555,Belagavi,Dental Clinic,Y,,,,2026-03-16,
SHIFA ORAL CARE DENTAL CLINIC,,9880480313,Belagavi,Dental Clinic,Y,,,,2026-03-16,
Sweeton Dental Clinic,,9945200559,Belagavi,Dental Clinic,Y,,,,2026-03-16,
The White Dental Clinic,,9148386148,Belagavi,Dental Clinic,Y,,,,2026-03-16,
"One dentall ,Orthodontic and Family Dental care centre.",,9620333810,Belagavi,Dental Clinic,Y,,,,2026-03-16,
Advance dental care,,9665830333,Belagavi,Dental Clinic,Y,,,,2026-03-16,
Sri Manjunatheshwara's Smile dental clinic Bhagyanagar Belgaum,,8123476090,Belagavi,Dental Clinic,Y,,,,2026-03-16,
Dr Sharma’s TOOTH FACTORY DENTAL HOSPITAL,,8951103117,Belagavi,Dental Clinic,Y,,,,2026-03-16,
Sai Dental Clinic,,8496085555,Belagavi,Dental Clinic,Y,,,,2026-03-16,
Shantesh Dental Clinic,,9632700799,Belagavi,Dental Clinic,Y,,,,2026-03-16,
Adarsh Dental Clinic,,9886610710,Belagavi,Dental Clinic,Y,,,,2026-03-16,
Roots Dental Clinic,,9845777940,Belagavi,Dental Clinic,Y,,,,2026-03-16,
Crown n Dent Multispeciality dental clinic and implantology center,,9986815280,Belagavi,Dental Clinic,Y,,,,2026-03-16,
Smile N' Face Dental And Implant Center,,6400050299,Belagavi,Dental Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Belgaum Dental Care,,7760376033,Belagavi,Dental Clinic,Y,,,,2026-03-16,
Perfect Smile Dental Clinic,,8312431691,Belagavi,Dental Clinic,Y,,,,2026-03-16,
SHREE DENTAL CLINIC,,6363868865,Belagavi,Dental Clinic,Y,,,,2026-03-16,
SAI ETERNA DENTAL CARE (Best Pediatric & Family Dentist),,7875268077,Belagavi,Dental Clinic,Y,,,,2026-03-16,
Bankapure's Dental Clinic,,8312463532,Belagavi,Dental Clinic,Y,,,,2026-03-16,
Ora - Care Multispeciality Dental Clinic,,9845538278,Belagavi,Dental Clinic,Y,,,,2026-03-16,
Dr. Shetty’s dental clinic,,9448578969,Belagavi,Dental Clinic,Y,,,,2026-03-16,
Nandagavi Dental Clinic,,9964318622,Belagavi,Dental Clinic,Y,,,,2026-03-16,
Dr Mandaki's orthodontic care and Dental clinic,,6363106737,Belagavi,Dental Clinic,Y,,,,2026-03-16,
Dental Clinic,,7760576777,Belagavi,Dental Clinic,Y,,,,2026-03-16,
