Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
Jairaj Fitness Gym,,8618591593,Belagavi,Gym,Y,,,,2026-03-16,
Xtreme Gym & Fitness center,,7022080906,Belagavi,Gym,Y,,,,2026-03-16,
Iconic Fitclub,,8497865546,Belagavi,Gym,Y,,,,2026-03-16,PHONE RECOVERED
24 Fitness Gym,,,Belagavi,Gym,Y,,,,2026-03-16,PHONE MISSING
I Like Fitness,,8296093966,Belagavi,Gym,Y,,,,2026-03-16,PHONE RECOVERED
BODY POWER FITNESS CLUB GYM,,,Belagavi,Gym,Y,,,,2026-03-16,PHONE MISSING
StayFit Gym & Fitness Center,,8904259888,Belagavi,Gym,Y,,,,2026-03-16,
Aayush Fitness,,8792671223,Belagavi,Gym,Y,,,,2026-03-16,
"Gold's Gym Tilakwadi | Best Gym in Tilakwadi, Belagavi",,9964764100,Belagavi,Gym,Y,,,,2026-03-16,
BURNOUT FITNESS STUDIO,,7339411222,Belagavi,Gym,Y,,,,2026-03-16,
Aesthetic fitness,,,Belagavi,Gym,Y,,,,2026-03-16,PHONE MISSING
Bodyfit Garage By Dr. Ankita Kharit-BEST GYM IN BELGAUM,,7204211691,Belagavi,Gym,Y,,,,2026-03-16,
Strength Studio,,7090029156,Belagavi,Gym,Y,,,,2026-03-16,PHONE RECOVERED
Next Level Fitness (NXT Level Fitness),,8123103040,Belagavi,Gym,Y,,,,2026-03-16,
Oxygen Gym - Belagavi,,9396926208,Belagavi,Gym,Y,,,,2026-03-16,
Raw Fitness,,8559284470,Belagavi,Gym,Y,,,,2026-03-16,
Arammbh Fitness Studio,,,Belagavi,Gym,Y,,,,2026-03-16,PHONE MISSING
Lifetime fitness Zone,,,Belagavi,Gym,Y,,,,2026-03-16,PHONE MISSING
Be Strong Unisex Fitness Centre,,,Belagavi,Gym,Y,,,,2026-03-16,PHONE MISSING
Fitness Forge Gym,,8722584343,Belagavi,Gym,Y,,,,2026-03-16,
Fitness world gym,,,Belagavi,Gym,Y,,,,2026-03-16,PHONE MISSING
X-Fit GYM - The Training Ground GYM,,8971974999,Belagavi,Gym,Y,,,,2026-03-16,
Champions Unisex Gym,,,Belagavi,Gym,Y,,,,2026-03-16,PHONE MISSING
BODY POWER FITNESS CLUB UNISEX GYM,,,Belagavi,Gym,Y,,,,2026-03-16,PHONE MISSING
BODYTONE GYM & FITNESS CENTRE,,,Belagavi,Gym,Y,,,,2026-03-16,PHONE MISSING
The Game Changers MMA & FITNESS BELGAUM,,9353075388,Belagavi,Gym,Y,,,,2026-03-16,
RD FITNESS,,,Belagavi,Gym,Y,,,,2026-03-16,PHONE MISSING
Diamond Fitness Point,,6829669985,Belagavi,Gym,Y,,,,2026-03-16,PHONE RECOVERED
Hanuma fitness,,9396926208,Belagavi,Gym,Y,,,,2026-03-16,
Slim Fit Gym For Men & Women,,7411727098,Belagavi,Gym,Y,,,,2026-03-16,
Modern Gym,,,Belagavi,Gym,Y,,,,2026-03-16,PHONE MISSING
"Smartbody Pavilion, Lion's Fitness Hub",,7204661389,Belagavi,Gym,Y,,,,2026-03-16,
PK FITNESS CENTRE,,,Belagavi,Gym,Y,,,,2026-03-16,PHONE MISSING
Samarth fitness studio,,8971906866,Belagavi,Gym,Y,,,,2026-03-16,
