Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
Trranscend Institute Of Foreign Studies,,8313553632,Belagavi,IELTS Coaching,Y,,,,2026-03-16,
"Kinjal Academy - IELTS, TOEFL & Consultancy",,9845106518,Belagavi,IELTS Coaching,Y,,,,2026-03-16,
"WIN FIRST ACADEMY - Belagavi - IAS ,KAS, UPSC, KPSC Government Exams Coaching , Spoken English , IELTS ,PTE ,TOEFL, TUITIONS",,9611102910,Belagavi,IELTS Coaching,Y,,,,2026-03-16,
VETA Belgaum,,9341344433,Belagavi,IELTS Coaching,Y,,,,2026-03-16,
T.I.M.E,,8312464005,Belagavi,IELTS Coaching,Y,,,,2026-03-16,
"Wings International Educational - Study abroad , Overseas education consultancy",,9449540455,Belagavi,IELTS Coaching,Y,,,,2026-03-16,
Smart Sutra - Head Office,,8123796188,Belagavi,IELTS Coaching,Y,,,,2026-03-16,
Uniglobe,,7619639018,Belagavi,IELTS Coaching,Y,,,,2026-03-16,
Master English Language Hub,,8904105156,Belagavi,IELTS Coaching,Y,,,,2026-03-16,
Arjun Classes,,8057711711,Belagavi,IELTS Coaching,Y,,,,2026-03-16,
Time English Training Academy,,9886378100,Belagavi,IELTS Coaching,Y,,,,2026-03-16,
"Anant Classes, Belgaum",,9739249881,Belagavi,IELTS Coaching,Y,,,,2026-03-16,
Synergy Learning,,9380457051,Belagavi,IELTS Coaching,Y,,,,2026-03-16,
Expert Coaching Academy,,9035346343,Belagavi,IELTS Coaching,Y,,,,2026-03-16,
Studyplus Education & Migration,,9606200831,Belagavi,IELTS Coaching,Y,,,,2026-03-16,
"Aakash Institute, Belgaum",,8800012965,Belagavi,IELTS Coaching,Y,,,,2026-03-16,
Disha Computer Institute Belgaum,,7411291591,Belagavi,IELTS Coaching,Y,,,,2026-03-16,PHONE RECOVERED
"WIN FIRST STUDY WORK ABROAD CONSULTANCY- Abroad Joy Careers-IELTS,PTE,OET,DUOLINGO,TOEFL,DHA,HAAD",,8073790351,Belagavi,IELTS Coaching,Y,,,,2026-03-16,
KLS Academy,,8970278378,Belagavi,IELTS Coaching,Y,,,,2026-03-16,
Karnataka Coaching Centre,,9964938826,Belagavi,IELTS Coaching,Y,,,,2026-03-16,
"Banking Classes, GMAT, GRE, CAT Coaching, RRB Classes, IBPS Classes, and English Speaking Classes - Cornerstone Academia",,8431294933,Belagavi,IELTS Coaching,Y,,,,2026-03-16,
SARASWATI CLASSES,,9845101456,Belagavi,IELTS Coaching,Y,,,,2026-03-16,
"CMA's IAS Academy, Belagavi",,9448148868,Belagavi,IELTS Coaching,Y,,,,2026-03-16,
AIM Coaching Institute - Banking SSC Railway Defense & State CBSE School Exam Coaching Classes,,9442946703,Belagavi,IELTS Coaching,Y,,,,2026-03-16,
Study Next Overseas- #1 Overseas Education Consultants in Belagavi I Best Overseas Consultancy in Belgaum,,6364201555,Belagavi,IELTS Coaching,Y,,,,2026-03-16,
Thoughtflow,,8123800002,Belagavi,IELTS Coaching,Y,,,,2026-03-16,
IELTS Online with Geethu Govind,,9731374730,Belagavi,IELTS Coaching,Y,,,,2026-03-16,
Gnyanadeep Tutorials,,8312403475,Belagavi,IELTS Coaching,Y,,,,2026-03-16,
Aggreya English Classes for Everyone,,9364106900,Belagavi,IELTS Coaching,Y,,,,2026-03-16,
VETA,,,Belagavi,IELTS Coaching,Y,,,,2026-03-16,PHONE MISSING
