Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
Oasis Fertility- Best IVF Centre in Belagavi,,9513667672,Belagavi,IVF Fertility Clinic,Y,,,,2026-03-16,
"Indira IVF Fertility Centre - Best IVF Center in Belgaum, Karnataka",,7594644694,Belagavi,IVF Fertility Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Oasis Fertility- Best IVF Centre in Belagavi,,8951394372,Belagavi,IVF Fertility Clinic,Y,,,,2026-03-16,
"Indira IVF Fertility Centre - Best IVF Center in Belgaum, Karnataka",,8867181100,Belagavi,IVF Fertility Clinic,Y,,,,2026-03-16,
Patteds Fertility & Research Centre,,8312463123,Belagavi,IVF Fertility Clinic,Y,,,,2026-03-16,
Jiva Fertility and IVF Centre ( Dr. Swetha Patil Ghatnatti ),,8312007177,Belagavi,IVF Fertility Clinic,Y,,,,2026-03-16,
Hhope Infertility Clinic,,8312404946,Belagavi,IVF Fertility Clinic,Y,,,,2026-03-16,
METGUD HOSPITAL - Advanced Laparoscopy And IVF Centre,,9448126965,Belagavi,IVF Fertility Clinic,Y,,,,2026-03-16,
Shri Ramakrishna Ayurved and Fertility Centre (SRAFC),,8105007160,Belagavi,IVF Fertility Clinic,Y,,,,2026-03-16,
Lakshminarayana hospital belgaum,,9013097904,Belagavi,IVF Fertility Clinic,Y,,,,2026-03-16,
Dr. Satwik B Metgud Gynaec Laparoscopic surgeon and Fertility Specialist in Belgaum,,9448126965,Belagavi,IVF Fertility Clinic,Y,,,,2026-03-16,
