Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
GS MODULER KITCHEN,,9743119193,Belagavi,Modular Kitchen,Y,,,,2026-03-16,
Choudhari Kitchens,,7383931718,Belagavi,Modular Kitchen,Y,,,,2026-03-16,
"ConSol Homes - Sleek Studio - Modular Kitchen, Cabinets, Wardrobe and Fitted Furniture",,8071178572,Belagavi,Modular Kitchen,Y,,,,2026-03-16,
OneCraft Kitchens & Furnitures,,8867240709,Belagavi,Modular Kitchen,Y,,,,2026-03-16,
SSD MODULAR SYSTEMS PVT.LTD,,6363552283,Belagavi,Modular Kitchen,Y,,,,2026-03-16,
"Livspace - Modular Kitchens & Wardrobes, Tilakwadi",,8047759147,Belagavi,Modular Kitchen,Y,,,,2026-03-16,
Four Pillars Interior - Modular Kitchens & Wardrobes,,8050615011,Belagavi,Modular Kitchen,Y,,,,2026-03-16,
Belgaum Interior,,9380863039,Belagavi,Modular Kitchen,Y,,,,2026-03-16,PHONE RECOVERED
Dynamic Kitchen & Furnitures,,9845865394,Belagavi,Modular Kitchen,Y,,,,2026-03-16,
Cromatica Stainless Steel Kitchens & Interiors- Belagavi,,8277184454,Belagavi,Modular Kitchen,Y,,,,2026-03-16,
HARISTA INTERIORS,,9481809907,Belagavi,Modular Kitchen,Y,,,,2026-03-16,
"Livspace - Modular Kitchens & Wardrobes, Nehru Nagar",,8047759147,Belagavi,Modular Kitchen,Y,,,,2026-03-16,
Kitchen Impresa: Modular Kitchen in Belgaum,,,Belagavi,Modular Kitchen,Y,,,,2026-03-16,PHONE MISSING
OM KITCHEN TROLLEYS,,9483843210,Belagavi,Modular Kitchen,Y,,,,2026-03-16,
Majestic Kitchens & Interiors,,9243224522,Belagavi,Modular Kitchen,Y,,,,2026-03-16,
Eurospen Kitchens - Modular Kitchen Experts,,,Belagavi,Modular Kitchen,Y,,,,2026-03-16,PHONE MISSING
Starbricks Interiors,,9620397571,Belagavi,Modular Kitchen,Y,,,,2026-03-16,
"Damro Furniture â€“ Modern & Affordable | Belagavi, Karnataka",,8312478223,Belagavi,Modular Kitchen,Y,,,,2026-03-16,
Sadgurukrupa Stainless Steel Zone,,9448231718,Belagavi,Modular Kitchen,Y,,,,2026-03-16,
Roopa kitchen's and interiors,,9036049335,Belagavi,Modular Kitchen,Y,,,,2026-03-16,
Castelinoâ€™s Interiors,,8095015899,Belagavi,Modular Kitchen,Y,,,,2026-03-16,
Classic Furnito Park,,9987391357,Belagavi,Modular Kitchen,Y,,,,2026-03-16,
Gotur Kitchens,,8362460431,Belagavi,Modular Kitchen,Y,,,,2026-03-16,
Noor kitchen equipment Pvt.LTD,,9448876609,Belagavi,Modular Kitchen,Y,,,,2026-03-16,
Star Aluminium & Modular Kitchen Furniture,,,Belagavi,Modular Kitchen,Y,,,,2026-03-16,PHONE MISSING
