Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
"Aakash Institute, Belgaum",,8800012965,Belagavi,NEET Coaching,Y,,,,2026-03-16,
"Sri Chaitanya Academy - Best IIT JEE & NEET Coaching in Belagavi, Tilakwadi",,7307434082,Belagavi,NEET Coaching,Y,,,,2026-03-16,PHONE RECOVERED
NARAYANA IIT-JEE/NEET/FOUNDATION - BELGAUM,,9667225657,Belagavi,NEET Coaching,Y,,,,2026-03-16,PHONE RECOVERED
"Physics Wallah Vidyapeeth Pathshala Coaching Center Belagavi | IIT JEE, NEET & Foundation Classes",,7290070560,Belagavi,NEET Coaching,Y,,,,2026-03-16,PHONE RECOVERED
Expert Coaching Academy,,9035346343,Belagavi,NEET Coaching,Y,,,,2026-03-16,
"NK Classes - The best IIT - JEE, NEET, FOUNDATION - class 8, 9, 10 and PUC coaching center - Belgaum",,7204440172,Belagavi,NEET Coaching,Y,,,,2026-03-16,
Avanti Learning Centres - Belgaum | IIT-JEE NEET NTSE CET & Foundation Coaching Classes,,6366437713,Belagavi,NEET Coaching,Y,,,,2026-03-16,
TOPPERS COACHING CLASSES - NEET / JEE / PUC / VIII / IX / X - Belagavi,,8147275762,Belagavi,NEET Coaching,Y,,,,2026-03-16,
Smart Sutra - Head Office,,8123796188,Belagavi,NEET Coaching,Y,,,,2026-03-16,
"Physics Wallah Coaching Center Helpline | IIT JEE, NEET Classes",,7428890305,Belagavi,NEET Coaching,Y,,,,2026-03-16,
Synergy Learning,,9380457051,Belagavi,NEET Coaching,Y,,,,2026-03-16,
"Anant Classes, Belgaum",,9739249881,Belagavi,NEET Coaching,Y,,,,2026-03-16,
Parivartan Neet Jee Academy,,9008312978,Belagavi,NEET Coaching,Y,,,,2026-03-16,
Arihant Academy Belgaum,,8147336640,Belagavi,NEET Coaching,Y,,,,2026-03-16,
Wavekota Academy ( Bogarves ),,7411294288,Belagavi,NEET Coaching,Y,,,,2026-03-16,
Thoughtflow,,8123800002,Belagavi,NEET Coaching,Y,,,,2026-03-16,
Karnataka Coaching Centre,,9964938826,Belagavi,NEET Coaching,Y,,,,2026-03-16,
"Nav Disha Coaching Classes for BANK PO&CLERK, SSC-CGL,CHSL,MTS,GD Railways & Insurance Exams",,7022346444,Belagavi,NEET Coaching,Y,,,,2026-03-16,
Disha Academy,,8050268989,Belagavi,NEET Coaching,Y,,,,2026-03-16,
DESTINE INSTITUTE,,9480087176,Belagavi,NEET Coaching,Y,,,,2026-03-16,
PODDAR CLASSES learn for future...,,8088151424,Belagavi,NEET Coaching,Y,,,,2026-03-16,
Comfort Learn tuition classes,,7353418939,Belagavi,NEET Coaching,Y,,,,2026-03-16,
"Unacademy Coaching Helpline Belagavi | IIT JEE, NEET & Foundation Classes",,6366526955,Belagavi,NEET Coaching,Y,,,,2026-03-16,
"Umesh Kale Online Tuition Classes: India, Delhi, Gurugram, Noida, Mumbai, Pune, Hyderabad, Bengaluru, Chennai",,9113913819,Belagavi,NEET Coaching,Y,,,,2026-03-16,
Arjun Classes,,8057711711,Belagavi,NEET Coaching,Y,,,,2026-03-16,
PRIME EDUCATION CENTRE,,9739725125,Belagavi,NEET Coaching,Y,,,,2026-03-16,
M M TUTORIALS,,9741482251,Belagavi,NEET Coaching,Y,,,,2026-03-16,
Toppers Coaching Centre,,9972458280,Belagavi,NEET Coaching,Y,,,,2026-03-16,
NK PU College Commerce & Science,,7204440172,Belagavi,NEET Coaching,Y,,,,2026-03-16,
"Edu. Reliance Latur Pattern, Belgaum",,9284220595,Belagavi,NEET Coaching,Y,,,,2026-03-16,
EXPERT SCIENCE AND COMMERCE PU COLLEGE BELAGAVI,,9035346343,Belagavi,NEET Coaching,Y,,,,2026-03-16,
S G ARMY coaching centre,,9164751761,Belagavi,NEET Coaching,Y,,,,2026-03-16,
