Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
"Dr. Sneha's Skin, Hair and Laser Clinic",,8668322947,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Sparsh Skin Hair & Laser Clinic,,8861892422,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Naya Skin Clinic,,9071224069,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Patil Skin and Kidney Clinic | Best Dermatologist in Belgavi | Best Kidney Specialist in Belagavi,,9019572324,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Dr NETRA'S laser Skin Clinic | Best Dermatologist in Belgaum,,,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Dr Shivakumar Patil (M.D)(Dermatologist) Skin specialist clinic,,8314810262,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Sigma6 Hair & Skin Clinic Nehru Nagar Belgaum,,8589934592,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Skin clinic,,8123296936,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE RECOVERED
The Reviva,,8559284470,Belagavi,Skin Clinic,Y,,,,2026-03-16,
V Derma Skin Clinic,,,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Husna Skin & Laser Clinic,,8792889177,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Dr. Santosh shinde,,8559284470,Belagavi,Skin Clinic,Y,,,,2026-03-16,
"VCare Hair & Skin Clinic - Belagavi | Skin Treatment, Hair Treatment, Hair Transplant, Laser Hair Removal, Skin Whitening",,7395823232,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Dr. Rekha's Skincare Clinic | Best Dermatologist in Belagavi,,7795989663,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Dr. Kutreâ€™s Skin Care Centre,,,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Belgaum's Top Rated Skin Care And Hair Loss Specialist In Belgaum | Multispeciality | Dermatologist /Cosmetologist/,,7176385020,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE RECOVERED
"Mangal Skin, Hair & laser Clinic",,7996381098,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Skinn360_,,9870505067,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Essentials clinic,,,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
5SN polyclinic and face aesthetic clinic| Best in Belagavi,,8105396373,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Cura Clinic ( Dr. Suhas Manjrekar ),,8312424357,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Ankur Skin Clinic,,,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
"Live Young Skin, Hair & Obesity Clinic",,,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Cosmokey Clinic | Best Cosmetologist in Belagavi,,7676034817,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Radiant Aura Skin Clinic,,,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Twak skin clinic - Dr Bhavana Doshi Chougule,,9422306523,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Dr Amruta Sharad Shresti | Best Dermatologist in Belagavi | Ankur Skin Clinic Karnataka,,7022422611,Belagavi,Skin Clinic,Y,,,,2026-03-16,
ThinQ SkiN Clinic,,,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
"Dr Batraâ€™s Homeopathy, Hair & Skin Clinic",,9033001649,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Eterna Aesthetics & Ayurvedic Clinic,,8446619331,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Reederm skin hair laser clinic,,8861892422,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Sakshi's skin Clinic,,9008758028,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Dr I.I Naikwadi Central Skin &,,8312436430,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Dr Mahaveer S Latthe,,,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Skin shin cosmetic and wellness center,,,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
SAANVI SKIN AND HEAR AESTHETIC CENTRE,,,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Skin and Hair Solutions Belagavi,,6366207070,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Dr Satish S Gokhale,,9980463095,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Narayan Clinic (Skin),,,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Dr Hosamani Pain management clinic,,,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Aasha Skin Hair N Maternity PCOS Clinic,,,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Anant Kamal Clinic,,8312426281,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Mangal Health Clinic,,,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Dr Mahaveer Skin Care Clinic,,,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Ayaan skin and orthopedic clinic,,9844333082,Belagavi,Skin Clinic,Y,,,,2026-03-16,
"Family Health Care Clinic- Ayurveda and Panchkarma Center | Family clinic for all Ladies problem,",,,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Dr. Hebbalkar's Skin & Hair Clinic,,6363609208,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Skin Glow Clinic,,,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
"REDYMED Cosmetic Surgery & Hair Transplant Centre , Belgaum",,,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Shree mahalaxmi skin care clinic,,,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Medicosmetic,,,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
"Patil hospital Kutre Clinic, Belagavi",,9396926208,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Satish Gokle Clinic,,8312460273,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Avighna Skin Clinic,,,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Homeocare International Belagavi | Homeopathy Clinic - Belgaum,,8985714250,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Rainbow Childrenâ€™s & skin care clinic,,8559284470,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Dr Darshan Rajput,,8559284470,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Atrivarad Multispeciality Ayurved Centre,,,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Sarita's salon,,,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Advanced German homeopathy clinic varicose ulcer and diabetic wound Care centre,,8559284470,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Dr. SARNOBATâ€™S HOLISTIC HEALTHCARE & HOMEOPATHIC RESEARCH CENTER,,9916106896,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Cutis,,9324844632,Belagavi,Skin Clinic,Y,,,,2026-03-16,
"Dr Batra's Homeopathy, Hair & Skin Clinic",,7045000666,Belagavi,Skin Clinic,Y,,,,2026-03-16,
GAWAS CLINIC,,8559284470,Belagavi,Skin Clinic,Y,,,,2026-03-16,
sunshine beautycare& salon,,8495955139,Belagavi,Skin Clinic,Y,,,,2026-03-16,
AK's Skin Essence Studio,,7899385007,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Prathamesh Medical Corner,,9986226241,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Rejuvedic Ayurvedic Centre,,,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
"DR SHARAD SHRESTI ,ANKUR CHILD CLINIC & VACCINATION CENTER",,9632337120,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Dr Binita's Clinic,,8660991844,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Skin - Laser &Asthetic Medicine,,9999999776,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Narayan Hospital (Maternity & Skin Care),,,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Revive Dental Laser Facial Aesthetics Clinic,,,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Amruta shresti,,8431535262,Belagavi,Skin Clinic,Y,,,,2026-03-16,
BHS Lakeview Hospital,,8312454772,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Mahaveer latthe skin hospital,,,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Prithvi Potion,,9343434977,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Healing Hands Clinic - Piles Fissure Fistula Hernia,,7411805024,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Harmony Clinics - Empower Aesthetics & Enhance Vitality at Tilakwadi Belgaum,,8073095838,Belagavi,Skin Clinic,Y,,,,2026-03-16,
HAIR CPC Belagavi,,9448347408,Belagavi,Skin Clinic,Y,,,,2026-03-16,
KidneyStone Clinic,,8884219555,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE RECOVERED
KLE's Dr. Prabhakar Kore Hospital & Medical Research Centre,,8312473777,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Next Face Dental and Aesthetic clinic,,9449818612,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Sanjiveeni Clinic,,6364522748,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE RECOVERED
DR.Arbazkhan B,,9483162904,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Dr Kamat's Ayurvedic Clinic,,9448854767,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Manjrekar Clinic- OPD for Manjrekar Maternity and nursing home,,6363223556,Belagavi,Skin Clinic,Y,,,,2026-03-16,
V care speciality Pet hospital Belagavi (Veterinary Hospital ),,8088906090,Belagavi,Skin Clinic,Y,,,,2026-03-16,
SPARSH Super Speciality Clinic (Dr Sameer Amber & Dr Sheetal Amber),,8312446525,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Dr Budruk Ayurved,,,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Arihant Hospital Unit Of Dixit Healthcare Private Limited,,9036102390,Belagavi,Skin Clinic,Y,,,,2026-03-16,
ASHWINI MEDICAL CENTRE,,9396926208,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Positive Homeopathy Belgaum,,9396926208,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Dr Dixit Clinic,,8362330289,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Skin care centre,,8317453945,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Kedar Homeopathy Clinic,,,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Shree clinic vantamuri cross Belgaum,,9844665634,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Dr Rucha Naik Dispensary,,9972464729,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Samarth Clinic,,,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
"Dr Rohit Joshi | Piles, Fissure, Fistula, Hernia Circumcision Treatment | Doctor in Belagavi",,7411805024,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Nucleus Clinics,,8088332629,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Shanta Beauty Parlour,,8559284470,Belagavi,Skin Clinic,Y,,,,2026-03-16,
(#Vijaya Hospital) Dr. Ravi Patil - Vijaya Ortho and Trauma Centre Belgaum 24x7VOTC,,8559284470,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Sanjivini Clinic,,7750205310,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Soukhya Ayurved clinic,,9242956552,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Pancharatna Clinic,,,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Swamini Clinic,,8362373303,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Dr. Shreepati Pise - General Surgeon | Laparoscopic Surgeon | Proctologist in Belgaum,,9902694900,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Chougale Clinic,,9448144480,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Shree Beauty Clinic,,,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Raghavendra Clinic | Dr. Rajesh R. Kulkarni,,9396926208,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Shrisiddhi Ayurvedic Clinic,,,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Dr. Zakirhussain's Homeopathic Clinic,,,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Provitale Health Homeopathy Clinic in BELGAUM,,9535705088,Belagavi,Skin Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Lotus skincare,,9008470715,Belagavi,Skin Clinic,Y,,,,2026-03-16,
RAINBOW HOMEOPATHY CLINIC,,9513232300,Belagavi,Skin Clinic,Y,,,,2026-03-16,
"KLE Centenary Charitable Hospital, Yellur Road",,8312413777,Belagavi,Skin Clinic,Y,,,,2026-03-16,
Dr Madhav Bhokare,,8312429304,Belagavi,Skin Clinic,Y,,,,2026-03-16,
