Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
Om Dental Care,,9482834466,Davangere,Dental Clinic,Y,,,,2026-03-16,
Happy Smiles Dental Care,,7204723987,Davangere,Dental Clinic,Y,,,,2026-03-16,
Chirag Dental Clinic Davanagere,,8861169310,Davangere,Dental Clinic,Y,,,,2026-03-16,
SmyleXL Dental Clinic Davanagere,,8600112308,Davangere,Dental Clinic,Y,,,,2026-03-16,
SS Dental Care,,9448455699,Davangere,Dental Clinic,Y,,,,2026-03-16,
Sai Balaji Dental Care,,9611480951,Davangere,Dental Clinic,Y,,,,2026-03-16,
"CITY SMILES - Dental, Laser & Implant Clinic",,7218014243,Davangere,Dental Clinic,Y,,,,2026-03-16,
Chiranthan Dental Care (Davangere),,9481688892,Davangere,Dental Clinic,Y,,,,2026-03-16,
Ridhi Dentistry,,9493623520,Davangere,Dental Clinic,Y,,,,2026-03-16,
SMILE UNLIMITED DENTAL CARE,,9986198765,Davangere,Dental Clinic,Y,,,,2026-03-16,
ARIVU DENTAL CLINIC,,7676298958,Davangere,Dental Clinic,Y,,,,2026-03-16,
Apple Polyclinic And Dental Care,,7676185313,Davangere,Dental Clinic,Y,,,,2026-03-16,
Dentopedia- Kids & Family Dental Care,,7022950944,Davangere,Dental Clinic,Y,,,,2026-03-16,
Happy tooth dental clinic,,8310691319,Davangere,Dental Clinic,Y,,,,2026-03-16,
I.P. Speciality Dental Clinic,,,Davangere,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
Dental Corner – Advanced Dental Care & Cosmetic Dentistry in Davanagere,,9632627537,Davangere,Dental Clinic,Y,,,,2026-03-16,
Classic,,8073831873,Davangere,Dental Clinic,Y,,,,2026-03-16,
DM Care,,9353804342,Davangere,Dental Clinic,Y,,,,2026-03-16,
DAVANGERE DANTALAYA,,9513295777,Davangere,Dental Clinic,Y,,,,2026-03-16,
Dhanvantari Dental Clinic,,9611731777,Davangere,Dental Clinic,Y,,,,2026-03-16,
DR SAMEER DENTAL CARE CENTRE,,8660726330,Davangere,Dental Clinic,Y,,,,2026-03-16,
Sri Srinivasa Dental Care 🦷 🦷 🦷,,8951118525,Davangere,Dental Clinic,Y,,,,2026-03-16,
Orange Dental and Maxillofacial Surgical Centre,,8310483791,Davangere,Dental Clinic,Y,,,,2026-03-16,
IVORY DENTAL CLINIC,,7676185313,Davangere,Dental Clinic,Y,,,,2026-03-16,
Amra Multispeciality Dental Clinic & Implant Centre,,7899902918,Davangere,Dental Clinic,Y,,,,2026-03-16,
Smile Architects Dental Care and Implant Center,,9916467034,Davangere,Dental Clinic,Y,,,,2026-03-16,
Pro-Dental,,,Davangere,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
Arwa Dental care,,,Davangere,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
The Bright speciality medical and dental centre,,8192220572,Davangere,Dental Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Davangere dental clinic,,9740151405,Davangere,Dental Clinic,Y,,,,2026-03-16,
MC Dental Clinic,,9742377661,Davangere,Dental Clinic,Y,,,,2026-03-16,
Smile Architects Dental Care And Implant Centre,,,Davangere,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
Pavan Specialty Dental Clinic,,9886215111,Davangere,Dental Clinic,Y,,,,2026-03-16,
SREE NEELAKANTESHWARA DENTAL CLINIC,,8660563807,Davangere,Dental Clinic,Y,,,,2026-03-16,
DEVINE CLINIC (Medical & Dental),,9986677309,Davangere,Dental Clinic,Y,,,,2026-03-16,
Dantaloka,,,Davangere,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
Davangere Dental Care,,9066993738,Davangere,Dental Clinic,Y,,,,2026-03-16,PHONE RECOVERED
NEM DENTAL,,9663994807,Davangere,Dental Clinic,Y,,,,2026-03-16,
Ekadanta Dental Care,,8192470632,Davangere,Dental Clinic,Y,,,,2026-03-16,
Ambujakshi Dental & Physiotherapy Centre,,9632407742,Davangere,Dental Clinic,Y,,,,2026-03-16,
Dental Clinic,,9066993738,Davangere,Dental Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Dhruva Dental Clinic,,9844205497,Davangere,Dental Clinic,Y,,,,2026-03-16,
DVG FACE and DENTAL multispeciality clinic,,9880180363,Davangere,Dental Clinic,Y,,,,2026-03-16,
Vishwas Dental Clinic,,9448534056,Davangere,Dental Clinic,Y,,,,2026-03-16,
IDEAL DENTAL CARE,,9945203439,Davangere,Dental Clinic,Y,,,,2026-03-16,
Dr Ali Dental clinic,,,Davangere,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
Nawabs Medical & Dental Care,,7204536696,Davangere,Dental Clinic,Y,,,,2026-03-16,
Jyothi Dental Clinic,,9844705582,Davangere,Dental Clinic,Y,,,,2026-03-16,
Deshna Dental Clinic,,9844503418,Davangere,Dental Clinic,Y,,,,2026-03-16,
Sunshine Dental Care,,9448955667,Davangere,Dental Clinic,Y,,,,2026-03-16,
Sri Banashankari Dental Clinic,,9538623304,Davangere,Dental Clinic,Y,,,,2026-03-16,
APOORVA MULTISPECIALITY DENTAL CENTER,,7566668687,Davangere,Dental Clinic,Y,,,,2026-03-16,
VIDYASHREE DENTAL CLINIC,,,Davangere,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
Bapuji Dental College and Hospital,,8192220575,Davangere,Dental Clinic,Y,,,,2026-03-16,
Ravi Dental Clinic,,9964745898,Davangere,Dental Clinic,Y,,,,2026-03-16,
"Sri pushpagiri dental care, Dr.Manjula",,,Davangere,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
VAIDHYANATHESHWARA DENTAL EMPIRE,,9844830502,Davangere,Dental Clinic,Y,,,,2026-03-16,
New Dental Center,,8192223979,Davangere,Dental Clinic,Y,,,,2026-03-16,
Thanush Dental Clinic,,,Davangere,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
C.A.R.E (Centre for Advanced Rootcanal and Esthetics) Multispeciality Dental Clinic,,,Davangere,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
Family Dental Care,,9480329907,Davangere,Dental Clinic,Y,,,,2026-03-16,
MS Dental Care,,9448274260,Davangere,Dental Clinic,Y,,,,2026-03-16,
Sri Vinayaka Dental Clinic,,,Davangere,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
Nagarathna Danta Chikitsalaya,,9844138067,Davangere,Dental Clinic,Y,,,,2026-03-16,
M.K DENTAL CARE,,9110863490,Davangere,Dental Clinic,Y,,,,2026-03-16,
Nandi Smile Care,,8192231157,Davangere,Dental Clinic,Y,,,,2026-03-16,
Narendra Dental clinic,,9480479242,Davangere,Dental Clinic,Y,,,,2026-03-16,
Nirmala Dental Clinic,,9886854041,Davangere,Dental Clinic,Y,,,,2026-03-16,
JAYADEVA DENTAL CARE & SLEEP CLINIC,,9448223322,Davangere,Dental Clinic,Y,,,,2026-03-16,
Vijaya Dental Centre,,9986198765,Davangere,Dental Clinic,Y,,,,2026-03-16,
Sneha Dental Care,,,Davangere,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
OM Sai Dental Care,,8971868899,Davangere,Dental Clinic,Y,,,,2026-03-16,
Mathru dental clinic Ram &co Circle,,,Davangere,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
Vaishnavi Dental & Orthodontic Care Center,,8192230790,Davangere,Dental Clinic,Y,,,,2026-03-16,
"Soukhyada Hospital, Davanagere",,8192225623,Davangere,Dental Clinic,Y,,,,2026-03-16,
Samana multi-speciality dental clinic,,,Davangere,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
Sakri Dental Clinic,,,Davangere,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
Veda Dental & Surgical Care Center,,9880193453,Davangere,Dental Clinic,Y,,,,2026-03-16,
Shubh Dental MaxilloFacial and Implant Clinic,,9886736541,Davangere,Dental Clinic,Y,,,,2026-03-16,
GowraVi Facio-Dental Clinic,,,Davangere,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
VPJ Poly Clinic - Dental & Physiotherapy Clinic,,9448332788,Davangere,Dental Clinic,Y,,,,2026-03-16,
Mathru Dental Clinic,,,Davangere,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
Glow dental and facial aesthetics,,,Davangere,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
Vaatsalya Dental Clinic,,9739460339,Davangere,Dental Clinic,Y,,,,2026-03-16,
Shri Sai Dental Clinic,,9561589811,Davangere,Dental Clinic,Y,,,,2026-03-16,
Mathrushree Dental Clinic,,,Davangere,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
White Line Dental Clinic,,8861377414,Davangere,Dental Clinic,Y,,,,2026-03-16,
SGS Dental Care,,,Davangere,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
Siri Dental Clinic,,,Davangere,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
Dr. Shashikanth M C,,8192251207,Davangere,Dental Clinic,Y,,,,2026-03-16,
Smile Zone Dental Clinic,,9342927327,Davangere,Dental Clinic,Y,,,,2026-03-16,
K.J.DENTAL CLINIC,,9980042230,Davangere,Dental Clinic,Y,,,,2026-03-16,
NAGARATHNA DENTAL CLINIC,,9844138067,Davangere,Dental Clinic,Y,,,,2026-03-16,
Rishi Dental Care,,8050913391,Davangere,Dental Clinic,Y,,,,2026-03-16,
Shree Multi Speciality Dental Clinic,,,Davangere,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
Swastik Dental Clinic,,9986914030,Davangere,Dental Clinic,Y,,,,2026-03-16,
Bhagya Dental and maxillofacial Clinic,,8073333620,Davangere,Dental Clinic,Y,,,,2026-03-16,
Dental Speciality Health Care Center,,,Davangere,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
Zareen hospital ( Dental Specialty Center),,8050221315,Davangere,Dental Clinic,Y,,,,2026-03-16,
"ARIVU DENTAL CLINIC, Dr. ARCHANA P BETUR.. M.D.S., (Pedodontist), Dental surgeon, consulting pediatric dentist.",,8362374877,Davangere,Dental Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Suvarna Dental Clinic,,,Davangere,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
AKASH DENTAL CLINIC,,9620153883,Davangere,Dental Clinic,Y,,,,2026-03-16,
The Dental Home,,9986981696,Davangere,Dental Clinic,Y,,,,2026-03-16,
Sri Raghavendra Dental Clinic,,,Davangere,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
Dr. Naik's Dental Care,,7019671930,Davangere,Dental Clinic,Y,,,,2026-03-16,
Shree Dental Care,,9535780940,Davangere,Dental Clinic,Y,,,,2026-03-16,
OM CLINIC,,9886288694,Davangere,Dental Clinic,Y,,,,2026-03-16,
Shrujan Danta Chikitsalaya,,9448323798,Davangere,Dental Clinic,Y,,,,2026-03-16,
Suman Dental Clinic,,9845151024,Davangere,Dental Clinic,Y,,,,2026-03-16,
Babu Dental Lab,,,Davangere,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
Sukha Dental Clinic,,9448178606,Davangere,Dental Clinic,Y,,,,2026-03-16,
Aaraike Super Speciality Hospital || KTJ Nagar || Daavanagere,,8431541487,Davangere,Dental Clinic,Y,,,,2026-03-16,
Sindu Dental Clinic,,,Davangere,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
Karthic Dental Clinic,,8192223800,Davangere,Dental Clinic,Y,,,,2026-03-16,
Suvarna Dantha Chikithsalaya,,8192250627,Davangere,Dental Clinic,Y,,,,2026-03-16,
Sharadha Dental Clinic,,,Davangere,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
SHIVA CLINIC,,9738138551,Davangere,Dental Clinic,Y,,,,2026-03-16,
Sindhu Speciality Centre,,,Davangere,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
