Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
POWER FITNESS CLUB,,9611902753,Davangere,Gym,Y,,,,2026-03-16,
The Limits Fitness Club,,9353626664,Davangere,Gym,Y,,,,2026-03-16,
Orange fitness club,,8884151111,Davangere,Gym,Y,,,,2026-03-16,
Legacy Fitness Hub,,9980808853,Davangere,Gym,Y,,,,2026-03-16,
Force Fitness Club Unisex Gym,,9620112057,Davangere,Gym,Y,,,,2026-03-16,
SWEAT PARK FITNESS ARENA,,8192464519,Davangere,Gym,Y,,,,2026-03-16,
Awesome Fitness Club || Vidyanagar || Davanagere,,9396926208,Davangere,Gym,Y,,,,2026-03-16,
Iron Fitness Gym Davangere |Unisex Gym |Health Coach| Fitness | Cardio | Crossfit | Certified Nutritionist |,,,Davangere,Gym,Y,,,,2026-03-16,PHONE MISSING
IRON FITNESS GYM DAVANAGERE 2,,,Davangere,Gym,Y,,,,2026-03-16,PHONE MISSING
Body Fuel Fitness Club || Nijalingappa Layout || Daavanagere,,7337861010,Davangere,Gym,Y,,,,2026-03-16,
Ajay Fitness,,7760179701,Davangere,Gym,Y,,,,2026-03-16,
Strength arena,,8884444652,Davangere,Gym,Y,,,,2026-03-16,
Fitness Time Dvg,,9980127635,Davangere,Gym,Y,,,,2026-03-16,
"Stayfit Health & Fitness World Pvt. Ltd, Gym Equipment Center, Davanagere",,9740999094,Davangere,Gym,Y,,,,2026-03-16,
Body Rockerzz Gym,,9538217274,Davangere,Gym,Y,,,,2026-03-16,PHONE RECOVERED
Commando Multi Gym,,9544069454,Davangere,Gym,Y,,,,2026-03-16,
Smart Fit,,8861368097,Davangere,Gym,Y,,,,2026-03-16,
Olympia Fitness Club || Vidya Nagar || Daavanagere,,9844408066,Davangere,Gym,Y,,,,2026-03-16,
"Beast Fitness,DVG",,9396926208,Davangere,Gym,Y,,,,2026-03-16,
GOLDEN STAR GYM & FITNESS CENTER,,8892135222,Davangere,Gym,Y,,,,2026-03-16,
