Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
DPS INTERIORS,,9632596810,Davangere,Interior Designer,Y,,,,2026-03-16,
Ayushi Interiors,,9632040215,Davangere,Interior Designer,Y,,,,2026-03-16,
WALTOUCH INTERIOR,,9113956352,Davangere,Interior Designer,Y,,,,2026-03-16,
Ratnakala Interiors,,,Davangere,Interior Designer,Y,,,,2026-03-16,PHONE MISSING
AJ Designs,,7053839628,Davangere,Interior Designer,Y,,,,2026-03-16,
SP creative Alluminium Interiors,,9206460019,Davangere,Interior Designer,Y,,,,2026-03-16,
AV INTERIORS,,8867070709,Davangere,Interior Designer,Y,,,,2026-03-16,
Asian Paints Beautiful Homes - B Murigeppa Siddaramappa,,7947469460,Davangere,Interior Designer,Y,,,,2026-03-16,
Jiyo Wallpapper and interior,,9611111334,Davangere,Interior Designer,Y,,,,2026-03-16,
Oak & Hammer Interiors Pvt Ltd,,9164455664,Davangere,Interior Designer,Y,,,,2026-03-16,
Ambika Industries - Best Interior Designer,,,Davangere,Interior Designer,Y,,,,2026-03-16,PHONE MISSING
"The Construction Avenue - Architectural, Construction, And Best Interior Designing Services in Davanagere",,9902877595,Davangere,Interior Designer,Y,,,,2026-03-16,
Sweetlime Interior Decor,,9844080088,Davangere,Interior Designer,Y,,,,2026-03-16,
Ratnakala Interiors - Best Interiors,,,Davangere,Interior Designer,Y,,,,2026-03-16,PHONE MISSING
RCB Decors,,7204623133,Davangere,Interior Designer,Y,,,,2026-03-16,
Home Entice Interiors,,8892007438,Davangere,Interior Designer,Y,,,,2026-03-16,
Nandi Interiors & Designers,,9886675288,Davangere,Interior Designer,Y,,,,2026-03-16,
Shilpa Kuteera( all types interior design work),,9066226814,Davangere,Interior Designer,Y,,,,2026-03-16,
Pretech interiors pvt ltd,,8971715455,Davangere,Interior Designer,Y,,,,2026-03-16,
ZM ALUMINIUM &INTERIOR,,8310093547,Davangere,Interior Designer,Y,,,,2026-03-16,
Interior Hive Building Needs,,9886004771,Davangere,Interior Designer,Y,,,,2026-03-16,
Hi-Tech Construction,,9916615699,Davangere,Interior Designer,Y,,,,2026-03-16,
Chetak interior,,7975364571,Davangere,Interior Designer,Y,,,,2026-03-16,
Gravity spaces,,9036333355,Davangere,Interior Designer,Y,,,,2026-03-16,
Aakruthi Constructions,,9538440414,Davangere,Interior Designer,Y,,,,2026-03-16,PHONE RECOVERED
RIDGE PLANS AND ELEVATION,,8747029392,Davangere,Interior Designer,Y,,,,2026-03-16,
Maya Associates,,9845170107,Davangere,Interior Designer,Y,,,,2026-03-16,
Green Palette Interiors,,8277663970,Davangere,Interior Designer,Y,,,,2026-03-16,
LMK URBAN CRESCENT,,7975664751,Davangere,Interior Designer,Y,,,,2026-03-16,
Urban Living Architects,,8892649833,Davangere,Interior Designer,Y,,,,2026-03-16,
Sanskruti design studio,,9663665570,Davangere,Interior Designer,Y,,,,2026-03-16,
"Livspace - Modular Kitchens & Wardrobes, Lokikere Road",,8047759147,Davangere,Interior Designer,Y,,,,2026-03-16,
Aryan Design Architect,,8095282099,Davangere,Interior Designer,Y,,,,2026-03-16,
Ambika Furniture - Davangere,,9916793795,Davangere,Interior Designer,Y,,,,2026-03-16,
Karnataka interior,,8310061181,Davangere,Interior Designer,Y,,,,2026-03-16,
Heartwood Furniture - Davangere,,8341883553,Davangere,Interior Designer,Y,,,,2026-03-16,PHONE RECOVERED
Asian Paints Colourideas - Amberkar Yellappa,,7039782543,Davangere,Interior Designer,Y,,,,2026-03-16,
Wood Crafts,,8970707906,Davangere,Interior Designer,Y,,,,2026-03-16,
SMF CONSTRUCTIONS AND INTERIORS,,7019258027,Davangere,Interior Designer,Y,,,,2026-03-16,
SHRI SHIVA CONSTRUCTIONS,,9739631144,Davangere,Interior Designer,Y,,,,2026-03-16,
Homestyle Interior Davangere,,8192230483,Davangere,Interior Designer,Y,,,,2026-03-16,
J M DESIGNER STUDIO,,8722574339,Davangere,Interior Designer,Y,,,,2026-03-16,
S.M. Laser Design Cutting (CNC),,9739035752,Davangere,Interior Designer,Y,,,,2026-03-16,
Sri Benaka Infracon Pvt Ltd,,7676747642,Davangere,Interior Designer,Y,,,,2026-03-16,
Mi Home Constructions,,8553359210,Davangere,Interior Designer,Y,,,,2026-03-16,
Vishala Builders,,9742030858,Davangere,Interior Designer,Y,,,,2026-03-16,
C.V.G ENTERPRISES,,9743553929,Davangere,Interior Designer,Y,,,,2026-03-16,
Swift Realty - Land Developers | Construction | Interior Design | Land Transactions,,8618239806,Davangere,Interior Designer,Y,,,,2026-03-16,
KK Construction,,7975495036,Davangere,Interior Designer,Y,,,,2026-03-16,
Levels consultants and engineers,,9740315416,Davangere,Interior Designer,Y,,,,2026-03-16,
Sri Bhagavathi Enterprises,,9164997741,Davangere,Interior Designer,Y,,,,2026-03-16,
Glassdoor fabs uPVC Windows,,8088259537,Davangere,Interior Designer,Y,,,,2026-03-16,
Amiccus interior,,9632153555,Davangere,Interior Designer,Y,,,,2026-03-16,
MIKKWAI CONSTRUCTION LLP,,9964255792,Davangere,Interior Designer,Y,,,,2026-03-16,
Asian Paints Beautiful Homes Painting Service,,8071682354,Davangere,Interior Designer,Y,,,,2026-03-16,
Sihi enterprises,,8660148823,Davangere,Interior Designer,Y,,,,2026-03-16,
Asian Paints Colourideas - B Murigappa Siddaramappa,,8424003487,Davangere,Interior Designer,Y,,,,2026-03-16,
OLIVE DECOR,,9513528555,Davangere,Interior Designer,Y,,,,2026-03-16,
BRICKBUILD CONSTRUCTOR,,9972778080,Davangere,Interior Designer,Y,,,,2026-03-16,
CADD Training Centre,,8884454355,Davangere,Interior Designer,Y,,,,2026-03-16,
H G BUILDERS,,9538486666,Davangere,Interior Designer,Y,,,,2026-03-16,
NR ARCHITECTS AND CONSTRUCTIONS,,8892626323,Davangere,Interior Designer,Y,,,,2026-03-16,
STURDY GROUPS - Best Constructions and Interiors in Davangere,,8047361818,Davangere,Interior Designer,Y,,,,2026-03-16,
ROYALOAK FURNITURE DAVANAGERE,,7942762708,Davangere,Interior Designer,Y,,,,2026-03-16,
Mayur Consultancy Services,,9844488838,Davangere,Interior Designer,Y,,,,2026-03-16,
Pratheek Consultancy Services,,9448618928,Davangere,Interior Designer,Y,,,,2026-03-16,
Taaruni designer studio,,9480422747,Davangere,Interior Designer,Y,,,,2026-03-16,
Shayan Design Studio,,6360306912,Davangere,Interior Designer,Y,,,,2026-03-16,
Deccan Plywood & Interiors Davangere,,8618913549,Davangere,Interior Designer,Y,,,,2026-03-16,
Madhura Interiors,,9448028276,Davangere,Interior Designer,Y,,,,2026-03-16,
SMF Design Studio,,6360005747,Davangere,Interior Designer,Y,,,,2026-03-16,
Asian Paints Beautiful Homes Painting Service,,8071682373,Davangere,Interior Designer,Y,,,,2026-03-16,
Asian Paints Beautiful Homes Painting Service,,8071682390,Davangere,Interior Designer,Y,,,,2026-03-16,
Asian Paints Beautiful Homes Painting Service,,8071683095,Davangere,Interior Designer,Y,,,,2026-03-16,
Ceramic Studio,,9110809047,Davangere,Interior Designer,Y,,,,2026-03-16,
Asian Paints Beautiful Homes Painting Service,,8071682242,Davangere,Interior Designer,Y,,,,2026-03-16,
WeDezine Studio,,9111959595,Davangere,Interior Designer,Y,,,,2026-03-16,
Harmony,,9886494459,Davangere,Interior Designer,Y,,,,2026-03-16,
"Ultrafresh Modular Solutions Powered By Prestige - Davanagere, Karnataka",,7304500766,Davangere,Interior Designer,Y,,,,2026-03-16,PHONE RECOVERED
Seasons Furnishing,,9810863157,Davangere,Interior Designer,Y,,,,2026-03-16,
VIHAN DEVELOPERS,,7975859498,Davangere,Interior Designer,Y,,,,2026-03-16,
TROVE Davanagere,,8951892766,Davangere,Interior Designer,Y,,,,2026-03-16,PHONE RECOVERED
"CADD MASTER, Davanagere",,9591581777,Davangere,Interior Designer,Y,,,,2026-03-16,
Jaquar Authorised Dealer - SK Veerabhadrappa & Co,,8071265377,Davangere,Interior Designer,Y,,,,2026-03-16,
Fashion Wavez Designer Studio,,7411250514,Davangere,Interior Designer,Y,,,,2026-03-16,
Wood Craftz Computerised Wood Carving,,9901153135,Davangere,Interior Designer,Y,,,,2026-03-16,
TREE CADD,,9916260656,Davangere,Interior Designer,Y,,,,2026-03-16,
Sapthabi Architects And Constructions,,9902521054,Davangere,Interior Designer,Y,,,,2026-03-16,PHONE RECOVERED
"Amberkar Yellappa Swamy Rao - Sleek Studio - Modular Kitchen, Cabinets, Wardrobe and Fitted Furniture",,8071178624,Davangere,Interior Designer,Y,,,,2026-03-16,
Mamatha Interior,,8861091981,Davangere,Interior Designer,Y,,,,2026-03-16,
Aishwarya Creations,,9886166128,Davangere,Interior Designer,Y,,,,2026-03-16,
Landmark Developers and Engineers,,9060457359,Davangere,Interior Designer,Y,,,,2026-03-16,
Somany Ceramics - Sree Devi Tiles & Stones,,8037016648,Davangere,Interior Designer,Y,,,,2026-03-16,
"Ramraj Cotton - KB Extension, Davanagere",,9087352147,Davangere,Interior Designer,Y,,,,2026-03-16,
vikasadesigns,,8147343539,Davangere,Interior Designer,Y,,,,2026-03-16,
Chamundeshwari constructions,,8892047294,Davangere,Interior Designer,Y,,,,2026-03-16,
S M T,,9886136978,Davangere,Interior Designer,Y,,,,2026-03-16,
Davangere Thrishul Nippon paint Dealer,,9620907947,Davangere,Interior Designer,Y,,,,2026-03-16,
Welspun Exclusive store - Davanagere,,8904132210,Davangere,Interior Designer,Y,,,,2026-03-16,
