Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
"Residential LONG TERM - IIT JEE - NEET - KCET, NDA, PUC I & PUC II Coaching - CBSE / ICSE / OLYMIPIADS - Class 5th to 12th",,9739865711,Davangere,JEE Coaching,Y,,,,2026-03-16,
Samartha Academy,,9844917439,Davangere,JEE Coaching,Y,,,,2026-03-16,
Akanksha IIT & Medical Academy,,8722555580,Davangere,JEE Coaching,Y,,,,2026-03-16,
SriChanakya Coaching Center Davanagere,,9008491211,Davangere,JEE Coaching,Y,,,,2026-03-16,
Lathore Academy,,8123345577,Davangere,JEE Coaching,Y,,,,2026-03-16,
SRI SAI ACADEMY,,7204253689,Davangere,JEE Coaching,Y,,,,2026-03-16,
Samruddhi Coaching Academy,,6364640296,Davangere,JEE Coaching,Y,,,,2026-03-16,
CEDEES,,7899855300,Davangere,JEE Coaching,Y,,,,2026-03-16,
Vishwabandhu Academy Integrated PUC Science (PCMB/PCMCs),,9110211602,Davangere,JEE Coaching,Y,,,,2026-03-16,
JNANAKASHI CAREER ACADEMY,,9964727666,Davangere,JEE Coaching,Y,,,,2026-03-16,
Study Square Tuition Centre | ಸ್ಟಡಿ ಸ್ಕೊಯರ್ ಟ್ಯೂಷನ್ ಸೆಂಟರ್,,8550850010,Davangere,JEE Coaching,Y,,,,2026-03-16,
SRK ACADEMY,,9741113392,Davangere,JEE Coaching,Y,,,,2026-03-16,
Sinchana Coaching Center,,9019580600,Davangere,JEE Coaching,Y,,,,2026-03-16,
Success Academy Tuition Classes,,6363680766,Davangere,JEE Coaching,Y,,,,2026-03-16,
BYJU'S Tuition Centre - Ram & Co. Circle,,9009002000,Davangere,JEE Coaching,Y,,,,2026-03-16,
"Unacademy Coaching Helpline Davanagere | IIT JEE, NEET & Foundation Classes",,6366526955,Davangere,JEE Coaching,Y,,,,2026-03-16,
Savikal Tech Academy,,9019272750,Davangere,JEE Coaching,Y,,,,2026-03-16,PHONE RECOVERED
Elite Academy,,9844239618,Davangere,JEE Coaching,Y,,,,2026-03-16,
"SHREE GITAM PU COLLEGE (NEW CAMPUS) NEET , JEE , K- CET , BSC - AGRI",,9606691888,Davangere,JEE Coaching,Y,,,,2026-03-16,
Vidhvath Academy of Science,,9113675955,Davangere,JEE Coaching,Y,,,,2026-03-16,
"SHREE GITAM PU COLLEGE ( NEET , JEE , K- CET , BSC - AGRI)",,9606691888,Davangere,JEE Coaching,Y,,,,2026-03-16,
Anil Career Academy,,8123107031,Davangere,JEE Coaching,Y,,,,2026-03-16,
STTF (Shree Ram Technical Training Foundation®),,6364226016,Davangere,JEE Coaching,Y,,,,2026-03-16,
Online Coaching Center,,8880015000,Davangere,JEE Coaching,Y,,,,2026-03-16,
Zen Computers,,9964145161,Davangere,JEE Coaching,Y,,,,2026-03-16,
Maganur Basappa P.U. Science College,,8192260060,Davangere,JEE Coaching,Y,,,,2026-03-16,
Raghavendra Hi-Tech PU College || Shree Sharada IIT & MEDICAL Academy||Daavanagere,,9739792282,Davangere,JEE Coaching,Y,,,,2026-03-16,
CEDEES Library 9am-9pm,,7899855300,Davangere,JEE Coaching,Y,,,,2026-03-16,PHONE RECOVERED
Siddaganga PU Science College,,8192233635,Davangere,JEE Coaching,Y,,,,2026-03-16,
Science Academy PU College,,9448178087,Davangere,JEE Coaching,Y,,,,2026-03-16,
"Vijayalakshmi Coaching Classes and SSLC Tuitions (BCA, PUC, CBSE, ICSE Mathematics)",,8892028654,Davangere,JEE Coaching,Y,,,,2026-03-16,
ICCA (Interface College of Computer Applications),,8884768574,Davangere,JEE Coaching,Y,,,,2026-03-16,
Sir MV PU College (Main Campus),,8192261200,Davangere,JEE Coaching,Y,,,,2026-03-16,
ಅನಂದ್ ಅಕಾಡೆಮಿ || Vinayaka Extension || Vidyanagar || Daavanagere,,8951610433,Davangere,JEE Coaching,Y,,,,2026-03-16,
Manipal Institute of Computer Education & Matrix Coaching Centre (MICE),,9449128832,Davangere,JEE Coaching,Y,,,,2026-03-16,
Aakash Institute Davangere,,8800898210,Davangere,JEE Coaching,Y,,,,2026-03-16,
@aimers Academy,,8050773666,Davangere,JEE Coaching,Y,,,,2026-03-16,
Braahmi Educational And Charitable Trust (R.)Braahmi Academy,,8192222566,Davangere,JEE Coaching,Y,,,,2026-03-16,
