Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
"Residential LONG TERM - IIT JEE - NEET - KCET, NDA, PUC I & PUC II Coaching - CBSE / ICSE / OLYMIPIADS - Class 5th to 12th",,9739865711,Davangere,NEET Coaching,Y,,,,2026-03-16,
Samartha Academy,,9844917439,Davangere,NEET Coaching,Y,,,,2026-03-16,
CEDEES,,7899855300,Davangere,NEET Coaching,Y,,,,2026-03-16,
"Kabbur Education Society (R) Winners Career Academy Davangere, Dharwad, Kalaburgi",,9986520992,Davangere,NEET Coaching,Y,,,,2026-03-16,
SriChanakya Coaching Center Davanagere,,9008491211,Davangere,NEET Coaching,Y,,,,2026-03-16,
Akanksha IIT & Medical Academy,,8722555580,Davangere,NEET Coaching,Y,,,,2026-03-16,
SRI SAI ACADEMY,,7204253689,Davangere,NEET Coaching,Y,,,,2026-03-16,
Samruddhi Coaching Academy,,6364640296,Davangere,NEET Coaching,Y,,,,2026-03-16,
Vishwabandhu Academy Integrated PUC Science (PCMB/PCMCs),,9110211602,Davangere,NEET Coaching,Y,,,,2026-03-16,
Sinchana Coaching Center,,9019580600,Davangere,NEET Coaching,Y,,,,2026-03-16,
Lathore Academy,,8123345577,Davangere,NEET Coaching,Y,,,,2026-03-16,
Study Square Tuition Centre | ಸ್ಟಡಿ ಸ್ಕೊಯರ್ ಟ್ಯೂಷನ್ ಸೆಂಟರ್,,8550850010,Davangere,NEET Coaching,Y,,,,2026-03-16,
"Unacademy Coaching Helpline Davanagere | IIT JEE, NEET & Foundation Classes",,6366526955,Davangere,NEET Coaching,Y,,,,2026-03-16,
SRK ACADEMY,,9741113392,Davangere,NEET Coaching,Y,,,,2026-03-16,
Dr. C N R Rao Academy,,9916321139,Davangere,NEET Coaching,Y,,,,2026-03-16,
Success Academy Tuition Classes,,6363680766,Davangere,NEET Coaching,Y,,,,2026-03-16,
CAT / PGCET / KSET / NEET coaching centre,,9739865711,Davangere,NEET Coaching,Y,,,,2026-03-16,
JNANAKASHI CAREER ACADEMY,,9964727666,Davangere,NEET Coaching,Y,,,,2026-03-16,
Vidhvath Academy of Science,,9113675955,Davangere,NEET Coaching,Y,,,,2026-03-16,
"SHREE GITAM PU COLLEGE (NEW CAMPUS) NEET , JEE , K- CET , BSC - AGRI",,9606691888,Davangere,NEET Coaching,Y,,,,2026-03-16,
Science Academy PU College,,9448178087,Davangere,NEET Coaching,Y,,,,2026-03-16,
Sir MV PU College (Main Campus),,8192261200,Davangere,NEET Coaching,Y,,,,2026-03-16,
"SHREE GITAM PU COLLEGE ( NEET , JEE , K- CET , BSC - AGRI)",,9606691888,Davangere,NEET Coaching,Y,,,,2026-03-16,
Uptrend's English Academy - Spoken English Learning Training Center in Davangere,,9008000211,Davangere,NEET Coaching,Y,,,,2026-03-16,
ಅನಂದ್ ಅಕಾಡೆಮಿ || Vinayaka Extension || Vidyanagar || Daavanagere,,8951610433,Davangere,NEET Coaching,Y,,,,2026-03-16,
Elite Academy,,9844239618,Davangere,NEET Coaching,Y,,,,2026-03-16,
Maganur Basappa P.U. Science College,,8192260060,Davangere,NEET Coaching,Y,,,,2026-03-16,
Anil Career Academy,,8123107031,Davangere,NEET Coaching,Y,,,,2026-03-16,
DBMCI MDS Davanagere,,9035506150,Davangere,NEET Coaching,Y,,,,2026-03-16,
Aakash Institute Davangere,,8800898210,Davangere,NEET Coaching,Y,,,,2026-03-16,
@aimers Academy,,8050773666,Davangere,NEET Coaching,Y,,,,2026-03-16,
Braahmi Educational And Charitable Trust (R.)Braahmi Academy,,8192222566,Davangere,NEET Coaching,Y,,,,2026-03-16,
