Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
"MAXCARE Best chiropractic & physiotherapy centre .Davanagere,",,9964280421,Davangere,Physiotherapy Clinic,Y,,,,2026-03-16,
Shashank Physiotherapy Centre,,9886515142,Davangere,Physiotherapy Clinic,Y,,,,2026-03-16,
Sankalp Physiotherapy - Dr. Basavaraj Shivapuji (PT),,6363684129,Davangere,Physiotherapy Clinic,Y,,,,2026-03-16,
VPJ Poly Clinic - Dental & Physiotherapy Clinic,,9448332788,Davangere,Physiotherapy Clinic,Y,,,,2026-03-16,
Kusuma Physiotherapy Rehabilitation Centre - Dr. Abhishek N,,9353202280,Davangere,Physiotherapy Clinic,Y,,,,2026-03-16,
Tejas Physiotherapy and Rehabilitation Clinic,,8618215780,Davangere,Physiotherapy Clinic,Y,,,,2026-03-16,
CiM Nature Cure Hospital,,9035130058,Davangere,Physiotherapy Clinic,Y,,,,2026-03-16,
Ektha Physiotherapy Center,,9980516776,Davangere,Physiotherapy Clinic,Y,,,,2026-03-16,
Dr Hullumani’s Polyclinic and Rehabilitation,,,Davangere,Physiotherapy Clinic,Y,,,,2026-03-16,PHONE MISSING
Shivaguna physiotherapy clinic and rehabilitation centre,,7975477594,Davangere,Physiotherapy Clinic,Y,,,,2026-03-16,
Niramaya Nature Cure & Yoga Centre,,8971576426,Davangere,Physiotherapy Clinic,Y,,,,2026-03-16,
Drona Physiotherapy,,9341845124,Davangere,Physiotherapy Clinic,Y,,,,2026-03-16,
Ambujakshi Dental & Physiotherapy Centre,,9632407742,Davangere,Physiotherapy Clinic,Y,,,,2026-03-16,
Dhanvantari clinic,,,Davangere,Physiotherapy Clinic,Y,,,,2026-03-16,PHONE MISSING
"Natural ""D"" C-Life Health Care",,,Davangere,Physiotherapy Clinic,Y,,,,2026-03-16,PHONE MISSING
Dr.Ritu's (Recover & Revive Physiotherapy),,7022279344,Davangere,Physiotherapy Clinic,Y,,,,2026-03-16,
Putturu Prakurti Chikitsa Aaspatre,,8192231005,Davangere,Physiotherapy Clinic,Y,,,,2026-03-16,
ಶ್ರೀ ದುರ್ಗಾ ಆರ್ಥೋಪೆಡಿಕ್ ಸೆಂಟರ್,,9972739168,Davangere,Physiotherapy Clinic,Y,,,,2026-03-16,
Spire Clinic Davangere,,6364329177,Davangere,Physiotherapy Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Rajamruth vaidyashala (wellness unit of Royal academy),,7676660113,Davangere,Physiotherapy Clinic,Y,,,,2026-03-16,
Sai Balaji Speciality Clinic,,,Davangere,Physiotherapy Clinic,Y,,,,2026-03-16,PHONE MISSING
Shree Saibaba Nature Cure Centre,,9341011761,Davangere,Physiotherapy Clinic,Y,,,,2026-03-16,
Arathi Clinic,,9880484364,Davangere,Physiotherapy Clinic,Y,,,,2026-03-16,
Physiotherapy,,,Davangere,Physiotherapy Clinic,Y,,,,2026-03-16,PHONE MISSING
VEDA PHYSIOTHERAPY CENTRE,,9844665656,Davangere,Physiotherapy Clinic,Y,,,,2026-03-16,
