Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
SRD GROUP REAL ESTATE,,9886988887,Davangere,Real Estate Agent,Y,,,,2026-03-16,
Smart Real Estate,,,Davangere,Real Estate Agent,Y,,,,2026-03-16,PHONE MISSING
"Kushi Earth Movers & Real Eastate, Land Developers",,9740111534,Davangere,Real Estate Agent,Y,,,,2026-03-16,
Devanagari Properties,,,Davangere,Real Estate Agent,Y,,,,2026-03-16,PHONE MISSING
Acharya Realtors,,,Davangere,Real Estate Agent,Y,,,,2026-03-16,PHONE MISSING
Swift Realty - Land Developers | Construction | Interior Design | Land Transactions,,8618239806,Davangere,Real Estate Agent,Y,,,,2026-03-16,
D.R.D BUILDERS & PROPERTY CONSULTANT'S(DAVANGERE REALESTATE DEVELOPERS BUILDERS & PROPERTY CONSULTANT'S),,9591849158,Davangere,Real Estate Agent,Y,,,,2026-03-16,PHONE RECOVERED
Orbit Reality,,,Davangere,Real Estate Agent,Y,,,,2026-03-16,PHONE MISSING
Prerana Agency / Panima Consultancy and E Stamp Paper,,9739246046,Davangere,Real Estate Agent,Y,,,,2026-03-16,
Shri Surya Consultants And Developers,,,Davangere,Real Estate Agent,Y,,,,2026-03-16,PHONE MISSING
Chakravarthi's Real estate,,9019073374,Davangere,Real Estate Agent,Y,,,,2026-03-16,
Vinus Multiventures Pvt Ltd,,8123268259,Davangere,Real Estate Agent,Y,,,,2026-03-16,
VRUSHANK VENTURES,,,Davangere,Real Estate Agent,Y,,,,2026-03-16,PHONE MISSING
Lohith B R,,9060302728,Davangere,Real Estate Agent,Y,,,,2026-03-16,
"LIC COLONY, 1st main",,,Davangere,Real Estate Agent,Y,,,,2026-03-16,PHONE MISSING
Mukundappa BJP,,,Davangere,Real Estate Agent,Y,,,,2026-03-16,PHONE MISSING
Jagadish Hiremath Advocate office,,8123634470,Davangere,Real Estate Agent,Y,,,,2026-03-16,
INDIAXIS - Property Advisor,,9886988887,Davangere,Real Estate Agent,Y,,,,2026-03-16,
Advocate Manjunatha G R,,9448944211,Davangere,Real Estate Agent,Y,,,,2026-03-16,
Pavan Shamanur Real Estates,,8884848816,Davangere,Real Estate Agent,Y,,,,2026-03-16,PHONE RECOVERED
Sri Veerabhadreshwara Real Estate,,9844089104,Davangere,Real Estate Agent,Y,,,,2026-03-16,
Sri Thirumala Real Estate,,,Davangere,Real Estate Agent,Y,,,,2026-03-16,PHONE MISSING
Devarmane Simha Real Estate,,,Davangere,Real Estate Agent,Y,,,,2026-03-16,PHONE MISSING
Sogi Real Estate,,,Davangere,Real Estate Agent,Y,,,,2026-03-16,PHONE MISSING
Jai sai real estate,,,Davangere,Real Estate Agent,Y,,,,2026-03-16,PHONE MISSING
HN Mahantesh,,,Davangere,Real Estate Agent,Y,,,,2026-03-16,PHONE MISSING
Shreeram Chowdary,,,Davangere,Real Estate Agent,Y,,,,2026-03-16,PHONE MISSING
Budda Associates,,,Davangere,Real Estate Agent,Y,,,,2026-03-16,PHONE MISSING
