Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
Dr. Deepthi's Skin & Hair Clinic,,9632553259,Davangere,Skin Clinic,Y,,,,2026-03-16,
Dr LINGARAJ SKIN CARE CLINIC,,7176385020,Davangere,Skin Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Skin Sattva | Skin & Hair Clinic- Dr Shrenik Balegar,,7498418007,Davangere,Skin Clinic,Y,,,,2026-03-16,
Dr. Rashmi Dermatologist Davangere,,9019161784,Davangere,Skin Clinic,Y,,,,2026-03-16,
Sugama healthcare (Dr Madhuri B. & Dr Ninad S. Kangokar),,8123024245,Davangere,Skin Clinic,Y,,,,2026-03-16,
Kolors Hair & Skin Clinic - Davangere,,7799963810,Davangere,Skin Clinic,Y,,,,2026-03-16,
Suga Reddy Skin Clinic,,9448251468,Davangere,Skin Clinic,Y,,,,2026-03-16,
Siri Skin Hair and Child Neuro clinic,,8217743742,Davangere,Skin Clinic,Y,,,,2026-03-16,
Dr Manjunath Hulmani,,6363738700,Davangere,Skin Clinic,Y,,,,2026-03-16,
"Dr Kiran Maalgi clinic ( Skin, Hair, Lasers & cosmetic dermatology)",,9686371715,Davangere,Skin Clinic,Y,,,,2026-03-16,
Kusagur Eye and Skin Hospital,,8192270075,Davangere,Skin Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Dr VISHWANATH B K DERMATOLOGIST,,9480225973,Davangere,Skin Clinic,Y,,,,2026-03-16,
Aditya Skin & Cosmotology Clinic,,,Davangere,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
ISHAA Hair Clinic,,9008362211,Davangere,Skin Clinic,Y,,,,2026-03-16,
Dr. Nadig Rajashekhar Skin Specialist Clinic,,9396926208,Davangere,Skin Clinic,Y,,,,2026-03-16,
Dr Shashidhar K C Dermatologist,,8095160080,Davangere,Skin Clinic,Y,,,,2026-03-16,
Dr Ashwini Tatawati - Dermatologist in Davanagere,,8762336639,Davangere,Skin Clinic,Y,,,,2026-03-16,
COSDARM HAIR AND SKIN WELLNESS CENTER,,7619257443,Davangere,Skin Clinic,Y,,,,2026-03-16,
Aura Cosmetic Clinic,,9880802891,Davangere,Skin Clinic,Y,,,,2026-03-16,
V Smart Hair Transplant & Skin Solutions Davangere,,7090044404,Davangere,Skin Clinic,Y,,,,2026-03-16,
Ashoka Healthcare - Orthopedic & Skin clinic ( Dr. GIRISH. N. HOTKAR & Dr KIRAN KUMAR S ),,8460463202,Davangere,Skin Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Rejuvea Skin | Hair| Laser Clinic & Ayurveda Wellness Center,,7975565055,Davangere,Skin Clinic,Y,,,,2026-03-16,
Dermatologist,,7176385020,Davangere,Skin Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Dr Ravindra K,,,Davangere,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
"Dr Batra’s Homeopathy, Hair & Skin Clinic",,7045000666,Davangere,Skin Clinic,Y,,,,2026-03-16,
Kolors Healthcare Davangere,,7416716666,Davangere,Skin Clinic,Y,,,,2026-03-16,
CosmoAesthetic Hair and Skin Care,,7760533317,Davangere,Skin Clinic,Y,,,,2026-03-16,
"Dr Roopa M C dermatologist, cosmetologist & dermatosurgeon",,7019602885,Davangere,Skin Clinic,Y,,,,2026-03-16,
"Yashasvee Diabetes, Skin Care & Diagnostics",,9396926208,Davangere,Skin Clinic,Y,,,,2026-03-16,
Vedya health centre,,6361224601,Davangere,Skin Clinic,Y,,,,2026-03-16,
Headlines Unisex Salon Davangere - A Premium Destination for Style & Care.,,9742535553,Davangere,Skin Clinic,Y,,,,2026-03-16,
Hair O Craft Hair Transplant Clinic Davanagere,,9143434300,Davangere,Skin Clinic,Y,,,,2026-03-16,
Healthcare Homoeopathy,,8618330726,Davangere,Skin Clinic,Y,,,,2026-03-16,
SRI DHANWANTARI ARADHANA AYURVEDA Specialty Panchakarma and Holistic Ayurveda center,,,Davangere,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Shaamy Lounge Unisex Saloon,,9620716325,Davangere,Skin Clinic,Y,,,,2026-03-16,
Mister Hair Clinic - Davanagere,,7338671338,Davangere,Skin Clinic,Y,,,,2026-03-16,
Dr.V.JAGANNATH KUMAR,,9396926208,Davangere,Skin Clinic,Y,,,,2026-03-16,
"""USIRU"" - The Breathe Clinic Dr.Ajith Eti",,7892567565,Davangere,Skin Clinic,Y,,,,2026-03-16,
UNIQUE Beauty SPA - for Ladies & Children,,8192220155,Davangere,Skin Clinic,Y,,,,2026-03-16,
Be Glam,,8892886613,Davangere,Skin Clinic,Y,,,,2026-03-16,
"VCare Hair & Skin Clinic - Davanagere | Skin Treatment, Hair Treatment, Hair Transplant, Laser Hair Removal, Skin Whitening",,7395823232,Davangere,Skin Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Apple Polyclinic And Dental Care,,7676185313,Davangere,Skin Clinic,Y,,,,2026-03-16,
Mangala clinic,,9396926208,Davangere,Skin Clinic,Y,,,,2026-03-16,
Hollywood Beauty Clinic And Salon,,7892232568,Davangere,Skin Clinic,Y,,,,2026-03-16,
Sachin Tattooz & 3D Baby Hands n Foot Casting Studio,,8867168231,Davangere,Skin Clinic,Y,,,,2026-03-16,
Abhaya Ayurvedic Hospital,,9591665911,Davangere,Skin Clinic,Y,,,,2026-03-16,
"ENT specialist - Dr Manjunath H A , MBBS, MS, DNB(ENT) MNAMS - THE ENT CARE CENTRE ( TECC)",,8884422241,Davangere,Skin Clinic,Y,,,,2026-03-16,
Cutibless,,9396926208,Davangere,Skin Clinic,Y,,,,2026-03-16,
NISHANTH SKIN CARE CLINIC,,9396926208,Davangere,Skin Clinic,Y,,,,2026-03-16,
BAREENA CLINIC AND MEDICAL,,9739807207,Davangere,Skin Clinic,Y,,,,2026-03-16,
Nageena Clinic,,9880814952,Davangere,Skin Clinic,Y,,,,2026-03-16,
Zareen hospital ( Dental Specialty Center),,8050221315,Davangere,Skin Clinic,Y,,,,2026-03-16,
Homeocare International | Best Homeopathy Clinic In Davanagere,,8985714250,Davangere,Skin Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Dr. D.S. SATYENDRA RAO WELLNESS CLINIC,,9844124418,Davangere,Skin Clinic,Y,,,,2026-03-16,
RJR HERBAL HOSPITAL - DEVANGERE,,7824977711,Davangere,Skin Clinic,Y,,,,2026-03-16,
Surabhi Clinic,,,Davangere,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Namma Homeopathy - Davanagere,,9900091777,Davangere,Skin Clinic,Y,,,,2026-03-16,
Provitale Health Homeopathy Clinic in Davangere,,9396926208,Davangere,Skin Clinic,Y,,,,2026-03-16,
Ridhi Dentistry,,9493623520,Davangere,Skin Clinic,Y,,,,2026-03-16,
Shree Kottureshwara Clinic & Medicals,,,Davangere,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Dr Patel's Health and Wound care Clinic,,9483465384,Davangere,Skin Clinic,Y,,,,2026-03-16,
IQBAL KHASIM,,,Davangere,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
