Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
Dodamani Navodaya Coaching Classes,,9902474409,Dharwad,Tuition Centre,Y,,,,2026-03-16,
"VASISHTHA CLASSES, DHARWAD",,9148188800,Dharwad,Tuition Centre,Y,,,,2026-03-16,
Joshi Tutorials,,9448862198,Dharwad,Tuition Centre,Y,,,,2026-03-16,
"Gurukul Career Academy, Dharwad",,7406250319,Dharwad,Tuition Centre,Y,,,,2026-03-16,
Focus Navodaya Tuition classes Dharwad,,9900672767,Dharwad,Tuition Centre,Y,,,,2026-03-16,
Vision Tutorials,,7349423008,Dharwad,Tuition Centre,Y,,,,2026-03-16,
Vector Academy,,9606546111,Dharwad,Tuition Centre,Y,,,,2026-03-16,
"Avanti Learning Centres - Dharwad, Karnataka | IIT-JEE NEET NTSE & Foundation Coaching Classes",,6366437712,Dharwad,Tuition Centre,Y,,,,2026-03-16,
"ALPHA ACADEMY, DHARWAD. (NEET-CET-PUC-SSLC)",,9986549523,Dharwad,Tuition Centre,Y,,,,2026-03-16,
"Citadel tuition classes, Dharwad",,8618647036,Dharwad,Tuition Centre,Y,,,,2026-03-16,
SSLC Tutorials Dharwad,,9513635153,Dharwad,Tuition Centre,Y,,,,2026-03-16,
MasterStroke Classes Dharwad,,9900082194,Dharwad,Tuition Centre,Y,,,,2026-03-16,
Coaching Classes Dharwad,,8197148974,Dharwad,Tuition Centre,Y,,,,2026-03-16,
Dodamani Tuition Classes,,9902474409,Dharwad,Tuition Centre,Y,,,,2026-03-16,
ADARSH IIT ACADEMY / ADARSH. TUTORIALS,,9738464001,Dharwad,Tuition Centre,Y,,,,2026-03-16,
Bilwani Coaching Classes,,9900469747,Dharwad,Tuition Centre,Y,,,,2026-03-16,
Oxford Sainik and Navodaya Coaching Classes,,9741946903,Dharwad,Tuition Centre,Y,,,,2026-03-16,
"SPARDHA GENIUS KAS/PSI Coaching Institute, DHARWAD",,8867479571,Dharwad,Tuition Centre,Y,,,,2026-03-16,
Tigadi Classes,,8362771700,Dharwad,Tuition Centre,Y,,,,2026-03-16,
Angadi navodaya coaching classes,,9341377901,Dharwad,Tuition Centre,Y,,,,2026-03-16,
Excellent NEET Academy,,8088573878,Dharwad,Tuition Centre,Y,,,,2026-03-16,
Pragati Sainik Navodaya Coaching center,,8892075168,Dharwad,Tuition Centre,Y,,,,2026-03-16,
SR HOME TUTORS,,7204050280,Dharwad,Tuition Centre,Y,,,,2026-03-16,
GNYANADEEP COACHING CENTER,,9480028090,Dharwad,Tuition Centre,Y,,,,2026-03-16,
Vidyakashi career academy,,9611519475,Dharwad,Tuition Centre,Y,,,,2026-03-16,
Rashtram IAS and KAS Institute,,9964152111,Dharwad,Tuition Centre,Y,,,,2026-03-16,
Hanchinmani NEET Academy Dharwad,,9844393218,Dharwad,Tuition Centre,Y,,,,2026-03-16,
Fastrack learning yard,,6361771911,Dharwad,Tuition Centre,Y,,,,2026-03-16,
Empower SSLC Tutorials Dharwad,,7090511177,Dharwad,Tuition Centre,Y,,,,2026-03-16,
"EMPOWER NEET Academy, DHARWAD | NEET-JEE | K-CET",,8884615111,Dharwad,Tuition Centre,Y,,,,2026-03-16,
Excellent Coaching Classes,,9538001300,Dharwad,Tuition Centre,Y,,,,2026-03-16,
Vidya kendra Tution classes,,8073731649,Dharwad,Tuition Centre,Y,,,,2026-03-16,
BYJU'S Tuition Centre - Court Circle,,9009002000,Dharwad,Tuition Centre,Y,,,,2026-03-16,
"Physics Wallah Vidyapeeth Pathshala Coaching Center Dharwad | (8th-12th+) IIT-JEE,NEET and Dropper",,7428096975,Dharwad,Tuition Centre,Y,,,,2026-03-16,
GEETA CLASSES DHARWAD,,8660614573,Dharwad,Tuition Centre,Y,,,,2026-03-16,
Shreedhar Tutorials of Commerce,,9448424881,Dharwad,Tuition Centre,Y,,,,2026-03-16,
Arjuna Educational Institutions,,8073211871,Dharwad,Tuition Centre,Y,,,,2026-03-16,
RIO CLASSES,,7204310030,Dharwad,Tuition Centre,Y,,,,2026-03-16,
V JNANA ACADEMY Dharwad,,8792858545,Dharwad,Tuition Centre,Y,,,,2026-03-16,
The Cave Institute,,6366291650,Dharwad,Tuition Centre,Y,,,,2026-03-16,
The Classic KAS & IAS Study Circle,,9980552080,Dharwad,Tuition Centre,Y,,,,2026-03-16,
KCS ACADEMY DHARWAD,,7483819063,Dharwad,Tuition Centre,Y,,,,2026-03-16,
"Gurudev IAS, KAS & Banking Academy",,9886066442,Dharwad,Tuition Centre,Y,,,,2026-03-16,
Sahara Career Academy Computer Education Dharwad,,9980732518,Dharwad,Tuition Centre,Y,,,,2026-03-16,
PRERANA NAVODAYA COACHING CENTER DHANESWRI NAGAR 3 rd cross DHARAWAD,,9008936253,Dharwad,Tuition Centre,Y,,,,2026-03-16,
Yeri Classes,,8050395292,Dharwad,Tuition Centre,Y,,,,2026-03-16,
Awanti Classes Dharwad,,9606944344,Dharwad,Tuition Centre,Y,,,,2026-03-16,
T.I.M.E.,,7483373577,Dharwad,Tuition Centre,Y,,,,2026-03-16,
"Dharwad BEST HI TECH navodaya, sainik, kittur, rms coaching classes dharwad",,9986616500,Dharwad,Tuition Centre,Y,,,,2026-03-16,
Tesla Academy Dharwad,,7259643940,Dharwad,Tuition Centre,Y,,,,2026-03-16,
"Aakash Institute, Dharwad",,8800909381,Dharwad,Tuition Centre,Y,,,,2026-03-16,
"Gurudev PU Science College, ಗುರುದೇವ ಪದವಿಪೂರ್ವ ಕಾಲೇಜು Dharwad | NEET, JEE, KCET Training Dharwad",,9880452226,Dharwad,Tuition Centre,Y,,,,2026-03-16,
"Akshara Sainik Navodaya Coaching classes, Dharwad",,8747012144,Dharwad,Tuition Centre,Y,,,,2026-03-16,
Achyut tuition,,9113637944,Dharwad,Tuition Centre,Y,,,,2026-03-16,
PK Coaching Classes,,7975075556,Dharwad,Tuition Centre,Y,,,,2026-03-16,
Maham Academy,,9108616022,Dharwad,Tuition Centre,Y,,,,2026-03-16,
Aryan's Smart Kid Abacus Learning,,9591462581,Dharwad,Tuition Centre,Y,,,,2026-03-16,
KALPAVRUKSHA IAS & KAS ACADEMY,,7899379705,Dharwad,Tuition Centre,Y,,,,2026-03-16,
JNanaDeepti Learning Centre ( Tuition),,7349041931,Dharwad,Tuition Centre,Y,,,,2026-03-16,
Intellikidz Learning Pvt Ltd.,,9480644184,Dharwad,Tuition Centre,Y,,,,2026-03-16,
PACE IIT and Medical | Best NEET/CET and Competitive coaching center in Dharwad,,7208640740,Dharwad,Tuition Centre,Y,,,,2026-03-16,
"Logic Computer Center, Dharwad",,7829529043,Dharwad,Tuition Centre,Y,,,,2026-03-16,
