Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
"Logic Computer Center, Dharwad",,7829529043,Dharwad,Computer Training Institute,Y,,,,2026-03-16,
GLOBAL INFOTECH - A Unit of ISCT GROUP,,8362444249,Dharwad,Computer Training Institute,Y,,,,2026-03-16,
Sahara Career Academy Computer Education Dharwad,,9980732518,Dharwad,Computer Training Institute,Y,,,,2026-03-16,
Samarth Computer Training Center,,7619371211,Dharwad,Computer Training Institute,Y,,,,2026-03-16,
Rabsons Info World Dharwad,,9110679573,Dharwad,Computer Training Institute,Y,,,,2026-03-16,
Nidavani Infotech Institute,,9448115025,Dharwad,Computer Training Institute,Y,,,,2026-03-16,
Future Vision Computer Academy,,8495837674,Dharwad,Computer Training Institute,Y,,,,2026-03-16,
Disha Computer Institute in Dharwad | Programming language | Coding Classes in Dharwad,,9071024777,Dharwad,Computer Training Institute,Y,,,,2026-03-16,
Unique Career Academy And Computer Education,,7019903095,Dharwad,Computer Training Institute,Y,,,,2026-03-16,
Disha Computer Institute Hubli | Programming Language | Full Stack Development | Data Analyst | 100% Job Assistance,,9307363226,Dharwad,Computer Training Institute,Y,,,,2026-03-16,
Cadem Innovations,,8880908085,Dharwad,Computer Training Institute,Y,,,,2026-03-16,
COMTECH Education Centre,,9480187617,Dharwad,Computer Training Institute,Y,,,,2026-03-16,
"DharwadHubballiTutor(Trading Classes,Web design and development, Digital Marketing, Data Science, Automation Testing)",,9741237334,Dharwad,Computer Training Institute,Y,,,,2026-03-16,
SkillMotive Institute of spoken English & computer Class Dharwad,,8660828280,Dharwad,Computer Training Institute,Y,,,,2026-03-16,
"AMEYYA INSTITUTE | Educational institute, center for job & career",,8884476667,Dharwad,Computer Training Institute,Y,,,,2026-03-16,
iicreate Software Development and Training,,7204766321,Dharwad,Computer Training Institute,Y,,,,2026-03-16,
SavitaSoft Computer Education,,8364265112,Dharwad,Computer Training Institute,Y,,,,2026-03-16,
"Logic Computer Center, Gandhinagar, Dharwad. (LCC)",,7829529043,Dharwad,Computer Training Institute,Y,,,,2026-03-16,
S G Computer Academy(SG Services),,8362446070,Dharwad,Computer Training Institute,Y,,,,2026-03-16,
Logic Computer Center,,8951495955,Dharwad,Computer Training Institute,Y,,,,2026-03-16,
Ics Computer Dharwad,,9886316161,Dharwad,Computer Training Institute,Y,,,,2026-03-16,
Aim Computer and Spoken English Institute,,7676821208,Dharwad,Computer Training Institute,Y,,,,2026-03-16,
S T C E C Computers,,7411853116,Dharwad,Computer Training Institute,Y,,,,2026-03-16,
