Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
Shine Dental care,,8310860009,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Nisarg Multispeciality Dental Clinic,,9060608008,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Expert's Dental clinic,,9945885691,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Dr Teeth Multi Speciality Dental Care Dharwad,,9916757123,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Archana Orthodontic and Implant center,,9845122965,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Dr. Dodamani' S Dental& Orthodontic Clinic,,9008568487,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Dr. Deshpande Dental Care,,9449494080,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Dr Javali's Multi-speciality Dental clinic,,7022852706,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Sai Charan Multispeciality Dental Clinic,,8362777244,Dharwad,Dental Clinic,Y,,,,2026-03-16,
SDM College of Dental Sciences & Hospital,,8362468142,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Shambhavi Kids & Family Dental Clinic,,6360956607,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Dr. Prabhu's dental clinic,,9342136296,Dharwad,Dental Clinic,Y,,,,2026-03-16,
"Dr. Nihal Kothari – Best Dentist in Hubli-Dharwad | Nihal Dental Care | Root Canal, Implants, Smile Design & Kids Dentistry",,8123693115,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Smile n Style Sampige Nagar,,9403646321,Dharwad,Dental Clinic,Y,,,,2026-03-16,
abc dental-Clinic Studio & Spa ISO Certified dental clinic,,9986070984,Dharwad,Dental Clinic,Y,,,,2026-03-16,
New Dental Care,,9113932320,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Ibbani Dental Clinic and Implant Center,,9113852706,Dharwad,Dental Clinic,Y,,,,2026-03-16,
MERCY DENTAL CLINIC and X-RAY CENTRE,,9964297994,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Shri Guru Specialty Dental Care and Dental supplies,,9108051323,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Dr. O Dent,,9148992413,Dharwad,Dental Clinic,Y,,,,2026-03-16,
"Anand K Patil Dr BDS , MDS , Morth Rcs Edinburgh.England. Rashmi Orthodontic Dental Clinic",,9448328895,Dharwad,Dental Clinic,Y,,,,2026-03-16,
MOHITE'S DENTAL CLINIC DHARWAD,,9481075692,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Dr. Kidiyoor Orthodontic And Dental Clinic,,8362747253,Dharwad,Dental Clinic,Y,,,,2026-03-16,
"Dr. Khushboo (Gadia) Bommappanavar, Navkar Dental Clinic",,7338270249,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Dr Ramya's Dental Studio,,8431515257,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Dr. Tippeswamy's Dental Clinic.,,9845619329,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Project Smile Dental Clinic,,6361660033,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Healthy Smiles Dental Care,,8217548756,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Implacare Dental Clinic,,8362743938,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Grace Family Dental Care,,9980475469,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Hema Dental,,9448485233,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Bhat Dental Care Centre,,9945899316,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Veeraj Dental Clinic & Implant Centre,,9880699137,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Shrinidhi Dental Care,,9538422840,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Shreya Dental & Ortho Clinic,,8277049100,Dharwad,Dental Clinic,Y,,,,2026-03-16,
samant dental clinic,,9035206602,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Manjunath Dental Clinic,,8884812495,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Dentaland Dental Clinc,,8367964715,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Panchikkal's Multispeciality Dental Clinic,,9343188282,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Sheetal Multispeciality Dental clinic,,8310531317,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Shree Vishwa Vande Dental Clinic Hubli,,7899582038,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Rebecca Dental Clinic And Implant Centre,,9380793959,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Vijay Dental Care,,8362742578,Dharwad,Dental Clinic,Y,,,,2026-03-16,
ashirwad speciality dental clinic,,7483374604,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Neeralagi Dental & Ortho Clinic,,8362740320,Dharwad,Dental Clinic,Y,,,,2026-03-16,
NIKHIL DUTT DENTAL CARE,,9741899174,Dharwad,Dental Clinic,Y,,,,2026-03-16,
ROOTS DENTAL CARE,,8904481179,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Smile n Style P. B. Road,,9403646321,Dharwad,Dental Clinic,Y,,,,2026-03-16,
dr. Sangamesh imbrace Dental Solutions,,8362440312,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Shri Balaji dental clinic and implant center,,6361960794,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Dentacare multi-speciality clinic,,8362444111,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Jituri's INFINITY DENTAL CARE,,9148088586,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Ekadanta Dental Clinic,,8362442535,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Abc Dental Hospital & Laboratory,,8362743958,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Hubli Dental Care,,6364478999,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Nayana Clinic (Dental & Psychiatry),,8277014434,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Joshi’s dental and maxillofacial clinic,,7259587992,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Nandita Dental Clinic,,9980067429,Dharwad,Dental Clinic,Y,,,,2026-03-16,
Dr. Nayak's Dental Clinic & Implant centre,,8971789703,Dharwad,Dental Clinic,Y,,,,2026-03-16,
