Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
Tap 'It' Out fitness and gym,,8660817038,Dharwad,Gym,Y,,,,2026-03-16,
SPEED FITNESS GYM DHARWAD ️‍ ️,,9538041149,Dharwad,Gym,Y,,,,2026-03-16,
FIT VIBE GYM,,8660204219,Dharwad,Gym,Y,,,,2026-03-16,
IGNITE FITNESS,,,Dharwad,Gym,Y,,,,2026-03-16,PHONE MISSING
Beyond Fitness || Bharathi Nagar || Dharwad,,8050185666,Dharwad,Gym,Y,,,,2026-03-16,
Tranzpire Fitness & Training,,,Dharwad,Gym,Y,,,,2026-03-16,PHONE MISSING
Vinayak fitness gym,,7942811468,Dharwad,Gym,Y,,,,2026-03-16,
FY Fitness (Unisex Gym) - Dharwad,,8747004162,Dharwad,Gym,Y,,,,2026-03-16,
Crossfit iron warriors,,9396926208,Dharwad,Gym,Y,,,,2026-03-16,
Seven star multi gym,,7204234429,Dharwad,Gym,Y,,,,2026-03-16,
TORQ FITNESS AND EDUCATING CENTER,,9535343359,Dharwad,Gym,Y,,,,2026-03-16,
BOWFLEX GYM,,8197792665,Dharwad,Gym,Y,,,,2026-03-16,
ARCH FITNESS CENTER,,7996123567,Dharwad,Gym,Y,,,,2026-03-16,
Dumbell club unisex gym & fitness center dharwad,,,Dharwad,Gym,Y,,,,2026-03-16,PHONE MISSING
Veer Gym,,7204262168,Dharwad,Gym,Y,,,,2026-03-16,
The tiger unisex gym,,9380965625,Dharwad,Gym,Y,,,,2026-03-16,
"Fitness Point, Dharwad",,8431549768,Dharwad,Gym,Y,,,,2026-03-16,
Gazelle Gym,,9342944304,Dharwad,Gym,Y,,,,2026-03-16,
Tytan Fitness,,9396926208,Dharwad,Gym,Y,,,,2026-03-16,
Kingdom Gymnacity,,9986543202,Dharwad,Gym,Y,,,,2026-03-16,
FITNESS FIRST GYM,,,Dharwad,Gym,Y,,,,2026-03-16,PHONE MISSING
BOWFLEX Gym Dharwad,,,Dharwad,Gym,Y,,,,2026-03-16,PHONE MISSING
The Fitness Warrior Dharwad,,7892882860,Dharwad,Gym,Y,,,,2026-03-16,
IGNITE PRIME,,7676502365,Dharwad,Gym,Y,,,,2026-03-16,
IRON TEMPLE,,,Dharwad,Gym,Y,,,,2026-03-16,PHONE MISSING
Fitness hub,,7022842270,Dharwad,Gym,Y,,,,2026-03-16,
SAI KRUPA FITNESS POINT,,7411188889,Dharwad,Gym,Y,,,,2026-03-16,
Fit N Fine Unisex Gym,,,Dharwad,Gym,Y,,,,2026-03-16,PHONE MISSING
k2 Fitness gym,,,Dharwad,Gym,Y,,,,2026-03-16,PHONE MISSING
Shadozzz Gym,,9535122680,Dharwad,Gym,Y,,,,2026-03-16,
Smart Gym,,,Dharwad,Gym,Y,,,,2026-03-16,PHONE MISSING
Patil's Fitness Gym,,9036570400,Dharwad,Gym,Y,,,,2026-03-16,
Soumya's Fitness Studio,,9036827440,Dharwad,Gym,Y,,,,2026-03-16,
Goldy_Fitness,,9740153799,Dharwad,Gym,Y,,,,2026-03-16,
Sam Fitness,,9396926208,Dharwad,Gym,Y,,,,2026-03-16,
Sai Ladies Gym,,,Dharwad,Gym,Y,,,,2026-03-16,PHONE MISSING
PAL FITNESS,,8105814384,Dharwad,Gym,Y,,,,2026-03-16,
EOS Fitness,,,Dharwad,Gym,Y,,,,2026-03-16,PHONE MISSING
LAYA Dance & Fitness Studio,,,Dharwad,Gym,Y,,,,2026-03-16,PHONE MISSING
A1 FITNESS AND WELLNESS coach,,9986866910,Dharwad,Gym,Y,,,,2026-03-16,
Commando fitness Dwd,,9396926208,Dharwad,Gym,Y,,,,2026-03-16,
Dharwad Climbers Gym,,9396926208,Dharwad,Gym,Y,,,,2026-03-16,
RV FITNESS,,8839490982,Dharwad,Gym,Y,,,,2026-03-16,
Tranzpire Womania,,9880994781,Dharwad,Gym,Y,,,,2026-03-16,
The Hulk Fitness Care Dharwad,,7259595376,Dharwad,Gym,Y,,,,2026-03-16,
STRP gym Ramesh pujar,,9663018930,Dharwad,Gym,Y,,,,2026-03-16,
V.K.FITNESS,,8971154546,Dharwad,Gym,Y,,,,2026-03-16,
Revolution Fitness Gym || Keshwapur || Hubli,,9742784348,Dharwad,Gym,Y,,,,2026-03-16,
h-Block IIIT Dharwad,,9396926208,Dharwad,Gym,Y,,,,2026-03-16,
PRAVEEN CLASSIC GYM,,9535359672,Dharwad,Gym,Y,,,,2026-03-16,
G. K. Multi Gym,,9663251917,Dharwad,Gym,Y,,,,2026-03-16,
Iron Lifters Fitness Center 3.0,,9396926208,Dharwad,Gym,Y,,,,2026-03-16,
Karnataka Gym || Hubballi,,9902667407,Dharwad,Gym,Y,,,,2026-03-16,
Muscle Factory Gyms Vishweshwar Nagar Hubli,,7022842270,Dharwad,Gym,Y,,,,2026-03-16,
Beat Dusters Dance & Ladies Fitness Center Dharwad,,8559284470,Dharwad,Gym,Y,,,,2026-03-16,
Iron Lifters Fitness Center 1.0,,8884842569,Dharwad,Gym,Y,,,,2026-03-16,
7 Star Fastrack GYM,,7795673191,Dharwad,Gym,Y,,,,2026-03-16,
Bal Maruti Gymnastics,,9396926208,Dharwad,Gym,Y,,,,2026-03-16,
Unique fitness and wellness,,9632666100,Dharwad,Gym,Y,,,,2026-03-16,
Iron Lifters Fitness Center 2.0,,6475884440,Dharwad,Gym,Y,,,,2026-03-16,PHONE RECOVERED
Warrior Training Arena,,9738285757,Dharwad,Gym,Y,,,,2026-03-16,
Kiran Sports,,9448360908,Dharwad,Gym,Y,,,,2026-03-16,
Torso Gym,,8600198787,Dharwad,Gym,Y,,,,2026-03-16,
Namitas Femme Fitness,,9396926208,Dharwad,Gym,Y,,,,2026-03-16,
AK DANCE & FITNESS STUDIO,,7795787344,Dharwad,Gym,Y,,,,2026-03-16,
Xtreme Fitness (Best Fitness Centers),,8364271122,Dharwad,Gym,Y,,,,2026-03-16,PHONE RECOVERED
Ojas Nutrition and Wellness- Weight loss and Fitness Solutions,,,Dharwad,Gym,Y,,,,2026-03-16,PHONE MISSING
Fit Feet Foundation,,9396926208,Dharwad,Gym,Y,,,,2026-03-16,
Nutri Nation,,,Dharwad,Gym,Y,,,,2026-03-16,PHONE MISSING
"Sculpt House YOGA Centre, jayanagar Dharwad",,9611919769,Dharwad,Gym,Y,,,,2026-03-16,
REset life |fitness and gym|,,7019109693,Dharwad,Gym,Y,,,,2026-03-16,
YOGAJYOTI KENDRA by Yoga Guru Vinay,,8105958587,Dharwad,Gym,Y,,,,2026-03-16,
"""ಜೈವ್"" Jive Studio 2.0 (Dance, Karate Bharathanatyam, Music & Ladies Fitness)",,,Dharwad,Gym,Y,,,,2026-03-16,PHONE MISSING
SRK Associate's SPORTS WORLD,,9886466576,Dharwad,Gym,Y,,,,2026-03-16,
Antardrusti Yoga Class,,9396926208,Dharwad,Gym,Y,,,,2026-03-16,
Mallasajjan Basketball Club,,9396926208,Dharwad,Gym,Y,,,,2026-03-16,
Power House Unisex Gym,,,Dharwad,Gym,Y,,,,2026-03-16,PHONE MISSING
"Holistic Healing Yoga centre, Sampige nagar, Dharwad",,,Dharwad,Gym,Y,,,,2026-03-16,PHONE MISSING
"""ಜೈವ್"" Jive Studio 1.0 (Dance, Karate, Bharathanatyam, Music & Ladies Fitness)",,,Dharwad,Gym,Y,,,,2026-03-16,PHONE MISSING
RAKESH PAWAR,,9568826173,Dharwad,Gym,Y,,,,2026-03-16,
Muscle fitness,,9108389470,Dharwad,Gym,Y,,,,2026-03-16,
Anjuman Gym,,9945808282,Dharwad,Gym,Y,,,,2026-03-16,
Swayam Yoga Studio,,9980035989,Dharwad,Gym,Y,,,,2026-03-16,
Indoor Common Facility IIT Dharwad,,9396926208,Dharwad,Gym,Y,,,,2026-03-16,
Halyal,,8559284470,Dharwad,Gym,Y,,,,2026-03-16,
Radha Dance studio Dharwad,,7676850773,Dharwad,Gym,Y,,,,2026-03-16,
The Kosmos Club.,,8362441720,Dharwad,Gym,Y,,,,2026-03-16,
Nisarga Yoga Center,,6366319031,Dharwad,Gym,Y,,,,2026-03-16,
Adarsh Barbell Club Dharwad,,8904459850,Dharwad,Gym,Y,,,,2026-03-16,
Karate class || Fighter's karate|| Dharwad,,8483675140,Dharwad,Gym,Y,,,,2026-03-16,PHONE RECOVERED
sculptfemmefitness,,,Dharwad,Gym,Y,,,,2026-03-16,PHONE MISSING
Mahishi Trust's Yoga & Naturopathy Hospital Dharwad-Hubli,,6361708208,Dharwad,Gym,Y,,,,2026-03-16,
Shree Sadguru Sai yoga centre,,6360310260,Dharwad,Gym,Y,,,,2026-03-16,
Kalpavruksha Hostel,,8073399400,Dharwad,Gym,Y,,,,2026-03-16,
Karate Famous school in Dharwad,,9480726060,Dharwad,Gym,Y,,,,2026-03-16,
