Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
"Gurukul Career Academy, Dharwad",,7406250319,Dharwad,IELTS Coaching,Y,,,,2026-03-16,
Study Abroad with ALS Academy- IELTS Classes-Hubli,,7019146220,Dharwad,IELTS Coaching,Y,,,,2026-03-16,
SET Institute - Study Abroad Consultancy | IELTS | Digital Marketing Course | Spoken English | Data Analytics,,8095266999,Dharwad,IELTS Coaching,Y,,,,2026-03-16,
Dodamani Navodaya Coaching Classes,,9902474409,Dharwad,IELTS Coaching,Y,,,,2026-03-16,
"Veta, Spoken English Training Centre",,8364254319,Dharwad,IELTS Coaching,Y,,,,2026-03-16,
Rashtram IAS and KAS Institute,,9964152111,Dharwad,IELTS Coaching,Y,,,,2026-03-16,
"SPARDHA GENIUS KAS/PSI Coaching Institute, DHARWAD",,8867479571,Dharwad,IELTS Coaching,Y,,,,2026-03-16,
T.I.M.E. Institute (Coaching Center For Competitive Exams Bank & MBA Entrance),,9886132242,Dharwad,IELTS Coaching,Y,,,,2026-03-16,
SRUSHTI ACADEMY DHARWAD,,9964455005,Dharwad,IELTS Coaching,Y,,,,2026-03-16,
The Classic KAS & IAS Study Circle,,9980552080,Dharwad,IELTS Coaching,Y,,,,2026-03-16,
ADARSH IIT ACADEMY / ADARSH. TUTORIALS,,9738464001,Dharwad,IELTS Coaching,Y,,,,2026-03-16,
Mutturaj English 4 U,,8904884654,Dharwad,IELTS Coaching,Y,,,,2026-03-16,
ICS institute for competitive exams,,8362775150,Dharwad,IELTS Coaching,Y,,,,2026-03-16,
Excellent Coaching Classes,,9538001300,Dharwad,IELTS Coaching,Y,,,,2026-03-16,
"Gurudev IAS, KAS & Banking Academy",,9886066442,Dharwad,IELTS Coaching,Y,,,,2026-03-16,
💥Skymount Educadd💥,,9844597777,Dharwad,IELTS Coaching,Y,,,,2026-03-16,
Innovatio Education Solutions,,7022092787,Dharwad,IELTS Coaching,Y,,,,2026-03-16,
PACE ( IAS & KAS Study Center ),,9448298559,Dharwad,IELTS Coaching,Y,,,,2026-03-16,
GIT IT ACADEMY | Full Stack Development| Cyber Security| Data Analytics| Tally GST | Placement,,9741560586,Dharwad,IELTS Coaching,Y,,,,2026-03-16,
Take Up Education Solutions,,9164361345,Dharwad,IELTS Coaching,Y,,,,2026-03-16,
Chanakya Carrier Academy,,8362772009,Dharwad,IELTS Coaching,Y,,,,2026-03-16,
"ALS IAS Coaching in Dharwad, Karnataka",,9999343999,Dharwad,IELTS Coaching,Y,,,,2026-03-16,
"THE GATE ACADEMY, HUBLI",,9611326991,Dharwad,IELTS Coaching,Y,,,,2026-03-16,
Royale IAS & KAS Academy,,9880215199,Dharwad,IELTS Coaching,Y,,,,2026-03-16,
"Gurudev IAS, KAS & Banking Academy Unit-B",,9986466442,Dharwad,IELTS Coaching,Y,,,,2026-03-16,
IELTS Online with Geethu Govind,,9731374730,Dharwad,IELTS Coaching,Y,,,,2026-03-16,
REBBICA FREE ENGLISH CLASSES,,6829669985,Dharwad,IELTS Coaching,Y,,,,2026-03-16,PHONE RECOVERED
Cadd Tech Solutions,,8792280159,Dharwad,IELTS Coaching,Y,,,,2026-03-16,
Akkihal College Of Commerce,,8362773314,Dharwad,IELTS Coaching,Y,,,,2026-03-16,
