Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
Nova IVF Fertility Center - Best IVF Centre In Hubli,,8049436666,Dharwad,IVF Fertility Clinic,Y,,,,2026-03-16,
"Indira IVF Fertility Centre - Best IVF Center in Hubli, Karnataka",,8867181100,Dharwad,IVF Fertility Clinic,Y,,,,2026-03-16,
Jeeva fertility center Dharwad,,6362980398,Dharwad,IVF Fertility Clinic,Y,,,,2026-03-16,
SARVODAYA WOMEN'S HOSPITAL AND FERTILITY ( IVF) CENTRE,,6361351318,Dharwad,IVF Fertility Clinic,Y,,,,2026-03-16,
Prashant Hospital and IVF centre,,8362440531,Dharwad,IVF Fertility Clinic,Y,,,,2026-03-16,
"Spandan Hospital Janani Fertility Centre Shree IVF Clinic , Hubli | Best Fertility & IVF Centre |",,8364850730,Dharwad,IVF Fertility Clinic,Y,,,,2026-03-16,
GYANBA MULTI-SPECIALITY CLINIC,,8296691177,Dharwad,IVF Fertility Clinic,Y,,,,2026-03-16,
Srishti Advanced Fertility and Endoscopy (SAFE) | DR SHANKAR N BIJAPUR | DR PRIYA SHANKAR,,8362352244,Dharwad,IVF Fertility Clinic,Y,,,,2026-03-16,
Aakanksh IVF Centre,,8362357700,Dharwad,IVF Fertility Clinic,Y,,,,2026-03-16,
Aansh IVF Hospital In Hubli | Fertility Clinic in Hubli | IVF Clinic in Hubli,,8884444531,Dharwad,IVF Fertility Clinic,Y,,,,2026-03-16,
Vedika Fertility and Maternity Centre,,9448789653,Dharwad,IVF Fertility Clinic,Y,,,,2026-03-16,
Apeksha IVF Centre - Dr. Vinuta Kulkarni IVF Specialist,,8431812420,Dharwad,IVF Fertility Clinic,Y,,,,2026-03-16,
Hubli Assisted Conception Centre Pvt Ltd,,8362251826,Dharwad,IVF Fertility Clinic,Y,,,,2026-03-16,
"Dr. Komal Revankar Kulkarni Obstetrician, Gynecologist and IVF Specialist in Dharwad",,8152891419,Dharwad,IVF Fertility Clinic,Y,,,,2026-03-16,
Shree Vishwa Vande Ayurveda Panchakarma & Infertility Clinic,,7378795500,Dharwad,IVF Fertility Clinic,Y,,,,2026-03-16,
Amrut Nursing Home,,9008304451,Dharwad,IVF Fertility Clinic,Y,,,,2026-03-16,
"Dr Annapurna Sambrani - Best OBSTETRICIAN & GYNAECOLOGIST - Infertility Specialist - MBBS, DGO, FMFM",,9988662616,Dharwad,IVF Fertility Clinic,Y,,,,2026-03-16,
Dr. Geeta Bharat (Uttur) Gynecologist and Obstetrician in Dharwad,,9972074131,Dharwad,IVF Fertility Clinic,Y,,,,2026-03-16,
