Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
Manthan & Associates | Architecture | Construction | Interior Designers,,7019174949,Dharwad,Interior Designer,Y,,,,2026-03-16,
Interior Solutions Hub,,8310294897,Dharwad,Interior Designer,Y,,,,2026-03-16,
Maa Ambe interior designer,,,Dharwad,Interior Designer,Y,,,,2026-03-16,PHONE MISSING
Prashant Master Interiors,,8861475012,Dharwad,Interior Designer,Y,,,,2026-03-16,
Ronad associates architectural consultant and construction Dharwad,,8792473588,Dharwad,Interior Designer,Y,,,,2026-03-16,
Vinspace Interiors | Interior Designers | Home Interiors | Modular Kitchen | Wardrobes | Aluminum Interiors,,9986896457,Dharwad,Interior Designer,Y,,,,2026-03-16,
B M Interior Dharwad,,9164189875,Dharwad,Interior Designer,Y,,,,2026-03-16,
"Trinity Furniture and Interiors, Dharwad",,9880007009,Dharwad,Interior Designer,Y,,,,2026-03-16,
ANTARIK DESIGN STUDIO,,9742147766,Dharwad,Interior Designer,Y,,,,2026-03-16,
"SpaceWood Interiors Hubli - Interior Designers,Modular Kitchens & Wardrobes in Hubli,KA",,9739077177,Dharwad,Interior Designer,Y,,,,2026-03-16,
ZA CONSTRUCTION Dharwad,,9611993020,Dharwad,Interior Designer,Y,,,,2026-03-16,
TOUCHSTONE INTERIORS AND DESIGNS,,8884066378,Dharwad,Interior Designer,Y,,,,2026-03-16,
Mandovi Furnitures And Interiors,,9980390099,Dharwad,Interior Designer,Y,,,,2026-03-16,
Aditi Designs Hubli. False Ceiling & Interior Contractor,,9449339725,Dharwad,Interior Designer,Y,,,,2026-03-16,
Red Brick Design Studio,,9019432177,Dharwad,Interior Designer,Y,,,,2026-03-16,
"Mind Lines, Architecture & Interior Design",,9611111826,Dharwad,Interior Designer,Y,,,,2026-03-16,
VP constructions and interiors,,9483961141,Dharwad,Interior Designer,Y,,,,2026-03-16,
CORNERS JOINT,,9591449469,Dharwad,Interior Designer,Y,,,,2026-03-16,
JSHREE INTRIOR AND FURNITURE,,7023410028,Dharwad,Interior Designer,Y,,,,2026-03-16,
Savitha Design Studio,,9071214000,Dharwad,Interior Designer,Y,,,,2026-03-16,
Vinayak premium aluminium interiors,,9380348113,Dharwad,Interior Designer,Y,,,,2026-03-16,
"Sanjivani Interio - Sleek Studio - Modular Kitchen, Cabinets, Wardrobe and Fitted Furniture",,8071178506,Dharwad,Interior Designer,Y,,,,2026-03-16,
EDGE DESIGN STUDIO,,9845022032,Dharwad,Interior Designer,Y,,,,2026-03-16,
Phoenix interio - Redefine spaces,,9620438881,Dharwad,Interior Designer,Y,,,,2026-03-16,
Design Ethics,,9738253697,Dharwad,Interior Designer,Y,,,,2026-03-16,
Parasmani Interior Studio,,8364251739,Dharwad,Interior Designer,Y,,,,2026-03-16,
"HomeLane Malamaddi, Interior Design Studio",,7941058532,Dharwad,Interior Designer,Y,,,,2026-03-16,PHONE RECOVERED
Inch To Inch Design Studio,,9449392999,Dharwad,Interior Designer,Y,,,,2026-03-16,
Daya Design | Architecture | Interior Design | Construction,,9538010801,Dharwad,Interior Designer,Y,,,,2026-03-16,
Ace Decors,,9742367112,Dharwad,Interior Designer,Y,,,,2026-03-16,
Opal Architectural Design Studio,,9902635115,Dharwad,Interior Designer,Y,,,,2026-03-16,
Lotus Design World,,9663388713,Dharwad,Interior Designer,Y,,,,2026-03-16,
SHREENDA ARCHITECTS,,8431356700,Dharwad,Interior Designer,Y,,,,2026-03-16,
Modern Interiors,,9342462983,Dharwad,Interior Designer,Y,,,,2026-03-16,
Tanu industry,,,Dharwad,Interior Designer,Y,,,,2026-03-16,PHONE MISSING
New trends wallpaper designs,,8317484133,Dharwad,Interior Designer,Y,,,,2026-03-16,
D designs and interiors,,8951171635,Dharwad,Interior Designer,Y,,,,2026-03-16,
"MV Designers, Dharwad",,9916502444,Dharwad,Interior Designer,Y,,,,2026-03-16,
Swarna Interiors & Exteriors,,9900090212,Dharwad,Interior Designer,Y,,,,2026-03-16,
Carve Design Studio | Top Interior Designer in Hubli | Best Architect in Hubli,,8747808230,Dharwad,Interior Designer,Y,,,,2026-03-16,
