Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
"Avanti Learning Centres - Dharwad, Karnataka | IIT-JEE NEET NTSE & Foundation Coaching Classes",,6366437712,Dharwad,JEE Coaching,Y,,,,2026-03-16,
"EMPOWER NEET Academy, DHARWAD | NEET-JEE | K-CET",,8884615111,Dharwad,JEE Coaching,Y,,,,2026-03-16,
PACE IIT and Medical | Best NEET/CET and Competitive coaching center in Dharwad,,7208640740,Dharwad,JEE Coaching,Y,,,,2026-03-16,
NARAYANA IIT-JEE/NEET/FOUNDATION - HUBLI,,7022043639,Dharwad,JEE Coaching,Y,,,,2026-03-16,
Excellent NEET Academy,,8088573878,Dharwad,JEE Coaching,Y,,,,2026-03-16,
Hanchinmani NEET Academy Dharwad,,9844393218,Dharwad,JEE Coaching,Y,,,,2026-03-16,
"Aakash Institute, Dharwad",,8800909381,Dharwad,JEE Coaching,Y,,,,2026-03-16,
Vector Academy,,9606546111,Dharwad,JEE Coaching,Y,,,,2026-03-16,
"Gurudev PU Science College, ಗುರುದೇವ ಪದವಿಪೂರ್ವ ಕಾಲೇಜು Dharwad | NEET, JEE, KCET Training Dharwad",,9880452226,Dharwad,JEE Coaching,Y,,,,2026-03-16,
"Physics Wallah Vidyapeeth Pathshala Coaching Center Dharwad | (8th-12th+) IIT-JEE,NEET and Dropper",,7428096975,Dharwad,JEE Coaching,Y,,,,2026-03-16,
"Aakash Institute, Hubli",,8800013051,Dharwad,JEE Coaching,Y,,,,2026-03-16,
"ALPHA ACADEMY, DHARWAD. (NEET-CET-PUC-SSLC)",,9986549523,Dharwad,JEE Coaching,Y,,,,2026-03-16,
ADARSH IIT ACADEMY / ADARSH. TUTORIALS,,9738464001,Dharwad,JEE Coaching,Y,,,,2026-03-16,
"Physics Wallah Vidyapeeth Pathshala Coaching Center Hubli | IIT JEE, NEET & Foundation Classes",,7428096975,Dharwad,JEE Coaching,Y,,,,2026-03-16,
Vidyakashi career academy,,9611519475,Dharwad,JEE Coaching,Y,,,,2026-03-16,
"Avanti Learning Centres - Hubballi, Karnataka | Best IIT-JEE NEET NTSE CET & Foundation Coaching",,6366437712,Dharwad,JEE Coaching,Y,,,,2026-03-16,
Arjuna Educational Institutions,,8073211871,Dharwad,JEE Coaching,Y,,,,2026-03-16,
"VASISHTHA CLASSES, DHARWAD",,9148188800,Dharwad,JEE Coaching,Y,,,,2026-03-16,
Tigadi Classes,,8362771700,Dharwad,JEE Coaching,Y,,,,2026-03-16,
"Avanti Learning Centres -Srinagar Dharwad, Karnataka | IIT-JEE NEET NTSE & Foundation Coaching Classes",,,Dharwad,JEE Coaching,Y,,,,2026-03-16,PHONE MISSING
"SPARDHA GENIUS KAS/PSI Coaching Institute, DHARWAD",,8867479571,Dharwad,JEE Coaching,Y,,,,2026-03-16,
"Myle Academy Study Center | IIT- JEE, NEET, K-CET, Coaching Center in Hubli",,9964059222,Dharwad,JEE Coaching,Y,,,,2026-03-16,
KCS ACADEMY DHARWAD,,7483819063,Dharwad,JEE Coaching,Y,,,,2026-03-16,
Indian Institute Of Technology Dharwad,,9260489162,Dharwad,JEE Coaching,Y,,,,2026-03-16,PHONE RECOVERED
EMPOWER PU COLLEGE DHARWAD,,8884925111,Dharwad,JEE Coaching,Y,,,,2026-03-16,
Rashtram IAS and KAS Institute,,9964152111,Dharwad,JEE Coaching,Y,,,,2026-03-16,
"ALLEN Career Institute - Hubballi Campus | IIT JEE, NEET & Foundation Coaching",,9513763601,Dharwad,JEE Coaching,Y,,,,2026-03-16,
Citadel Navodaya & Sainik Coaching Centre,,8618647036,Dharwad,JEE Coaching,Y,,,,2026-03-16,
V JNANA ACADEMY Dharwad,,8792858545,Dharwad,JEE Coaching,Y,,,,2026-03-16,
Joshi Tutorials,,9448862198,Dharwad,JEE Coaching,Y,,,,2026-03-16,
The Classic KAS & IAS Study Circle,,9980552080,Dharwad,JEE Coaching,Y,,,,2026-03-16,
"Gurukul Career Academy UNIT-D, Dharwad.",,7406250319,Dharwad,JEE Coaching,Y,,,,2026-03-16,PHONE RECOVERED
Prateeksha Science Academy- A premier Coaching centre IIT JEE,,8073779233,Dharwad,JEE Coaching,Y,,,,2026-03-16,
