Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
WeWia Modular Kitchen & Wardrobes Experience Centre,,7406353760,Dharwad,Modular Kitchen,Y,,,,2026-03-16,
"Sanjivani Interio - Sleek Studio - Modular Kitchen, Cabinets, Wardrobe and Fitted Furniture",,8071178506,Dharwad,Modular Kitchen,Y,,,,2026-03-16,
SR's Kitchen World,,9986052496,Dharwad,Modular Kitchen,Y,,,,2026-03-16,
Niky's Technozone (Hettich Modular Kitchen Showroom),,8095838353,Dharwad,Modular Kitchen,Y,,,,2026-03-16,
HAFELE - Modular Kitchen,,9886202675,Dharwad,Modular Kitchen,Y,,,,2026-03-16,
INFINITY MODULAR KITCHENS & INTERIOR WORKS,,9620528777,Dharwad,Modular Kitchen,Y,,,,2026-03-16,
Modern Furniture,,9845707860,Dharwad,Modular Kitchen,Y,,,,2026-03-16,
"SpaceWood Interiors Hubli - Interior Designers,Modular Kitchens & Wardrobes in Hubli,KA",,9739077177,Dharwad,Modular Kitchen,Y,,,,2026-03-16,
Yusuf Furniture - Customised Modular Kitchen Services,,9482909576,Dharwad,Modular Kitchen,Y,,,,2026-03-16,
Vinspace Interiors | Interior Designers | Home Interiors | Modular Kitchen | Wardrobes | Aluminum Interiors,,9986896457,Dharwad,Modular Kitchen,Y,,,,2026-03-16,
Hafele Studio Partner - Kitchen O Kulture,,9036681004,Dharwad,Modular Kitchen,Y,,,,2026-03-16,
"Trinity Furniture and Interiors, Dharwad",,9880007009,Dharwad,Modular Kitchen,Y,,,,2026-03-16,
Aluminium modular kitchen,,9999999999,Dharwad,Modular Kitchen,Y,,,,2026-03-16,PHONE RECOVERED
Sleek by asian paints modular kitchen and wardrobe - sanjivini home solution,,9880447728,Dharwad,Modular Kitchen,Y,,,,2026-03-16,
Elements Kitchens Solutions,,9900269592,Dharwad,Modular Kitchen,Y,,,,2026-03-16,
Mandovi Furnitures And Interiors,,9980390099,Dharwad,Modular Kitchen,Y,,,,2026-03-16,
"Godrej Interio Furniture & Mattress Store & Modular Kitchen Gallery Near Me, Hubli (Intraarch)",,8884091122,Dharwad,Modular Kitchen,Y,,,,2026-03-16,
Comfort kitchen,,9483477238,Dharwad,Modular Kitchen,Y,,,,2026-03-16,
Modulo Experience Center [Wardrobes Kitchen & More,,9620746382,Dharwad,Modular Kitchen,Y,,,,2026-03-16,
Wewia manufacturing unit,,,Dharwad,Modular Kitchen,Y,,,,2026-03-16,PHONE MISSING
Ace Decors,,9742367112,Dharwad,Modular Kitchen,Y,,,,2026-03-16,
Modern Interiors,,9342462983,Dharwad,Modular Kitchen,Y,,,,2026-03-16,
Mahajan Kitchen & Interiors,,9632012023,Dharwad,Modular Kitchen,Y,,,,2026-03-16,
New star modular kitchen,,,Dharwad,Modular Kitchen,Y,,,,2026-03-16,PHONE MISSING
B M Interior Dharwad,,9164189875,Dharwad,Modular Kitchen,Y,,,,2026-03-16,
"AVM Granite - Sleek Studio - Modular Kitchen, Cabinets, Wardrobe and Fitted Furniture",,8071178548,Dharwad,Modular Kitchen,Y,,,,2026-03-16,
Rolex India | Wholesale Kitchen Baskets in Hubballi,,8340928642,Dharwad,Modular Kitchen,Y,,,,2026-03-16,PHONE RECOVERED
Bethliving Hubli | Interior Design | Modular Kitchen | Bedroom Design,,7483496021,Dharwad,Modular Kitchen,Y,,,,2026-03-16,
Mandovi Furnitures and Interiors,,9480173085,Dharwad,Modular Kitchen,Y,,,,2026-03-16,
"Javali Construction & Interiors| House Construction| Modular Kitchen, Wardrobes, Interior Design & End-to-End Contracts",,8951673424,Dharwad,Modular Kitchen,Y,,,,2026-03-16,
Namma Kitchen,,9035923813,Dharwad,Modular Kitchen,Y,,,,2026-03-16,
Interior Solutions Hub,,8310294897,Dharwad,Modular Kitchen,Y,,,,2026-03-16,
Vinayak premium aluminium interiors,,9380348113,Dharwad,Modular Kitchen,Y,,,,2026-03-16,
IVAS Modular Kitchen & Wardrobe - Hubli,,9900080007,Dharwad,Modular Kitchen,Y,,,,2026-03-16,
