Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
Excellent NEET Academy,,8088573878,Dharwad,NEET Coaching,Y,,,,2026-03-16,
"Avanti Learning Centres - Dharwad, Karnataka | IIT-JEE NEET NTSE & Foundation Coaching Classes",,6366437712,Dharwad,NEET Coaching,Y,,,,2026-03-16,
"EMPOWER NEET Academy, DHARWAD | NEET-JEE | K-CET",,8884615111,Dharwad,NEET Coaching,Y,,,,2026-03-16,
PACE IIT and Medical | Best NEET/CET and Competitive coaching center in Dharwad,,7208640740,Dharwad,NEET Coaching,Y,,,,2026-03-16,
"ALPHA ACADEMY, DHARWAD. (NEET-CET-PUC-SSLC)",,9986549523,Dharwad,NEET Coaching,Y,,,,2026-03-16,
Hanchinmani NEET Academy Dharwad,,9844393218,Dharwad,NEET Coaching,Y,,,,2026-03-16,
"Aakash Institute, Dharwad",,8800909381,Dharwad,NEET Coaching,Y,,,,2026-03-16,
Vector Academy,,9606546111,Dharwad,NEET Coaching,Y,,,,2026-03-16,
"Gurudev PU Science College, ಗುರುದೇವ ಪದವಿಪೂರ್ವ ಕಾಲೇಜು Dharwad | NEET, JEE, KCET Training Dharwad",,9880452226,Dharwad,NEET Coaching,Y,,,,2026-03-16,
"Physics Wallah Vidyapeeth Pathshala Coaching Center Dharwad | (8th-12th+) IIT-JEE,NEET and Dropper",,7428096975,Dharwad,NEET Coaching,Y,,,,2026-03-16,
NARAYANA IIT-JEE/NEET/FOUNDATION - HUBLI,,7022043639,Dharwad,NEET Coaching,Y,,,,2026-03-16,
Sri Balaji Navodaya Coaching Classes Dharwad,,9483753751,Dharwad,NEET Coaching,Y,,,,2026-03-16,
"Physics Wallah Vidyapeeth Pathshala Coaching Center Hubli | IIT JEE, NEET & Foundation Classes",,7428096975,Dharwad,NEET Coaching,Y,,,,2026-03-16,
Vidyakashi career academy,,9611519475,Dharwad,NEET Coaching,Y,,,,2026-03-16,
"Aakash Institute, Hubli",,8800013051,Dharwad,NEET Coaching,Y,,,,2026-03-16,
Warriors Academy Dharwad Karnataka,,9535815147,Dharwad,NEET Coaching,Y,,,,2026-03-16,
ADARSH IIT ACADEMY / ADARSH. TUTORIALS,,9738464001,Dharwad,NEET Coaching,Y,,,,2026-03-16,
Arjuna Educational Institutions,,8073211871,Dharwad,NEET Coaching,Y,,,,2026-03-16,
"VASISHTHA CLASSES, DHARWAD",,9148188800,Dharwad,NEET Coaching,Y,,,,2026-03-16,
T.I.M.E.,,7483373577,Dharwad,NEET Coaching,Y,,,,2026-03-16,
Tigadi Classes,,8362771700,Dharwad,NEET Coaching,Y,,,,2026-03-16,
Genius Career Academy Dharwad,,8792160588,Dharwad,NEET Coaching,Y,,,,2026-03-16,
"Avanti Learning Centres -Srinagar Dharwad, Karnataka | IIT-JEE NEET NTSE & Foundation Coaching Classes",,,Dharwad,NEET Coaching,Y,,,,2026-03-16,PHONE MISSING
V JNANA ACADEMY Dharwad,,8792858545,Dharwad,NEET Coaching,Y,,,,2026-03-16,
Citadel Navodaya & Sainik Coaching Centre,,8618647036,Dharwad,NEET Coaching,Y,,,,2026-03-16,
KCS ACADEMY DHARWAD,,7483819063,Dharwad,NEET Coaching,Y,,,,2026-03-16,
