Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
Aptha Physiotherapy Clinic (Dr. Shrikant Salimani),,8553700191,Dharwad,Physiotherapy Clinic,Y,,,,2026-03-16,
Dr. Drishti's Physiotherapy Clinic,,7411613136,Dharwad,Physiotherapy Clinic,Y,,,,2026-03-16,
Sampada Physiotherapy Clinic By Dr Sachin Mane,,9844356361,Dharwad,Physiotherapy Clinic,Y,,,,2026-03-16,
Healing Waters Aquatic Therapy and Physiotherapy Center,,9019736347,Dharwad,Physiotherapy Clinic,Y,,,,2026-03-16,
SDM College of Physiotherapy,,8362477615,Dharwad,Physiotherapy Clinic,Y,,,,2026-03-16,
APEX ORTHO & PHYSIO CENTER,,7019144853,Dharwad,Physiotherapy Clinic,Y,,,,2026-03-16,PHONE RECOVERED
PHYSIO PLUS PHYSIOTHERAPY CLINIC,,,Dharwad,Physiotherapy Clinic,Y,,,,2026-03-16,PHONE MISSING
Physio clinic,,6829669985,Dharwad,Physiotherapy Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Fittness First,,9480323493,Dharwad,Physiotherapy Clinic,Y,,,,2026-03-16,
"Kshema Physiotherapy & Chiropractic Centre (Dr.Vasudev Vader, MPT, Senior Physiotherapist)",,9448648988,Dharwad,Physiotherapy Clinic,Y,,,,2026-03-16,
Sanmati Physiotherapy Clinic (Physiotherapy In Hubli),,9844764551,Dharwad,Physiotherapy Clinic,Y,,,,2026-03-16,
ISHA HEALTH CARE,,7019082367,Dharwad,Physiotherapy Clinic,Y,,,,2026-03-16,
healing hands physiotherapy clinic,,7507210772,Dharwad,Physiotherapy Clinic,Y,,,,2026-03-16,
ABBNESS PHYSIOTHERAPY & RESEARCH CENTRE,,9480906692,Dharwad,Physiotherapy Clinic,Y,,,,2026-03-16,
Physiotherapy Centre,,6829669985,Dharwad,Physiotherapy Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Dharwad Physiotherapy Clinic,,,Dharwad,Physiotherapy Clinic,Y,,,,2026-03-16,PHONE MISSING
