Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
Nirmala Associates,,9916006361,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
Shree Realty,,9353567925,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
Dasankop Real Estate,,9738724387,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
Saroja Properties,,9972002783,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
HERITAGE PROPERTIES,,9886454864,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
Manyata properties,,9742026462,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
Real Estate broker Basavaraj Gangavati,,9008321117,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
BHOOMI ASSOCIATES,,9035206490,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
Sri Renuka Real Estate,,7899543104,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
Real Estate Hubli,,9916962399,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
RD Properties hubli | Bungalow | plots | flats | apartments | land | independent house,,8884299444,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
ReachMaxx Properties,,9900263823,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
Reachmaxx,,7019165265,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
Morven Properties,,9868998689,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
Hubballi Homes,,9945024417,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
Sai Krupa Real Estate,,9986141327,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
Shankargouda Real Estate,,8618439351,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
"Prathama Builders & Land Developers in Hubli, Dharwad",,9886261880,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
Shriya Properties,,8362232483,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
SKYTOWN Builders and Developers,,8550048000,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
Sewakram Realty,,8431895637,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
Vijaylaxmi Realtors,,7353442999,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
Newgen Homes,,7349028911,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
Suvidha Realtors & Contructions Pvt Ltd (SRCPL),,8884436600,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
suriya builders and developers,,9845285485,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
Aslisampatti developers,,8884591123,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
Neelgund Developers,,8050238777,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
ANS Properties,,8364264067,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
Upreal811,,7795778300,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
HD Realty Services,,7619488857,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
Al - Hashmi Real Estates,,9844055277,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
Arihant Developers & Promoters,,7676124097,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
Excellent NEET Academy,,8088573878,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
Reachmaxx India,,7019165265,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
SEACON PROPERTIES LLP,,7090396669,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
Hubballi Developers And Builders,,,Dharwad,Real Estate Agent,Y,,,,2026-03-16,PHONE MISSING
Kalpataru Enterprises,,8951433887,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
AMIT GROUP REAL ESTATE,,9741275915,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
Realestate,,8892294088,Dharwad,Real Estate Agent,Y,,,,2026-03-16,
