Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
Skinfinity Skin Care Studio,,8867039784,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Skin Care Centre .,,7829412301,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Ayur Sparsh Consultation & Panchakarma Clinic - Skin & Hair Treatment Clinic In Dharwad,,6360789865,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Shreyas Clinic,,8277365977,Dharwad,Skin Clinic,Y,,,,2026-03-16,
DHARWAD CITY CLINIC,,8050008415,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Ashwini Speciality Clinic (Dr Vivekanand Kamat),,9113609626,Dharwad,Skin Clinic,Y,,,,2026-03-16,
"Dr Savitha Raichur – Suraksha Skin Clinic | Dermatologist & Cosmetologist in Hosur, Hubli-Dharwad",,8364261622,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Dr. V.R.Desai Skin Clinic,,9110692785,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Vani Memorial Skin Clinic,,8030196465,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Dr. Rashmi Patil - Best Hair & Skin Specialist in Dharwad,,6360789865,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Dr Shruti Kudari,,8147197161,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Mohan Skin Care Clinic Hubli,,9964519764,Dharwad,Skin Clinic,Y,,,,2026-03-16,
JEEVANNAVAR SKIN CARE CLINIC,,8317453945,Dharwad,Skin Clinic,Y,,,,2026-03-16,
"Dr Mohan Shendre .MD DNB, Mohan Skin Care Clinic hubli",,9964519764,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Dr. Shaikh's Health Care Center,,9731575506,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Shri Sai Clinic,,8362444967,Dharwad,Skin Clinic,Y,,,,2026-03-16,
"Twacha Skin Hair Laser Clinic by Dr. Suman Odugoudar's - Best dermatologist in Vidyanagar, Hubli.",,9535474155,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Dr Arpitha's Skin Hair & Aesthetics,,8283909944,Dharwad,Skin Clinic,Y,,,,2026-03-16,
"G Square Clinic Skin, Hair and Plastic Surgery",,9110610004,Dharwad,Skin Clinic,Y,,,,2026-03-16,
"Dr Savitha Raichur – Suraksha Skin Clinic | Dermatologist & Cosmetologist in Vidyanagar, Hubli-Dharwad",,7411711409,Dharwad,Skin Clinic,Y,,,,2026-03-16,PHONE RECOVERED
"Dr. Soumya's Skin, Hair and Laser clinic",,7892331198,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Dr O A MAHIPAL,,8071968696,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Dr Shruti Teggimani's Skin hair & laser clinic,,9482906088,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Zoya's Aesthetic Beauty Care Clinic,,7619165523,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Hubli Skin Clinic,,9108517456,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Mruthyunjaya Clinic,,9844858863,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Kamat’s Speciality Clinic,,9113609626,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Sri Vishnu Clinic,,8105427314,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Dr. Mrs Geeta Joshi,,8362772810,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Dr.Grishmas skin and aesthetics centre,,8861188611,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Twachha Ayurveda Hair and Skin Care Clinic,,9916371455,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Pawar Skin and Onco Care Clinic,,8363564972,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Dr chandramohan K. Skin Care and Cure Clinic,,8362352999,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Chirayu Multi-speciality Hospital,,9019267676,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Dharwad Super Speciality Clinic,,6399035043,Dharwad,Skin Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Pastey medical,,9886401949,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Shreeya Hospital,,8362443515,Dharwad,Skin Clinic,Y,,,,2026-03-16,
"Skin Care Center. Dr.Ravi Rathod (Proff & HOD, KIMS)",,8362353432,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Dr. R. V. Desai M.D. (Homeopathy),,9035123371,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Asian Homeocare | An Institute for Advanced Homeopathy®,,7019887005,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Dr Patil's Derma Centre,,9482237070,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Ayurdhama hospital Dharwad Dr Mahantaswami Hiremath,,9448157681,Dharwad,Skin Clinic,Y,,,,2026-03-16,
SAI SANJEEVINI CLINIC,,9035184976,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Dr Raghavendra Tophakhane Skin Clinic,,8362351810,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Dr Palekar M S,,9900116501,Dharwad,Skin Clinic,Y,,,,2026-03-16,
"""SHRI LIPI SKIN CLINIC """,,7760633337,Dharwad,Skin Clinic,Y,,,,2026-03-16,PHONE RECOVERED
VLCC BEAUTY CLINIC ( Hubli ),,7669530558,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Amar Medicals,,9448132086,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Narmada Clinic,,8494872304,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Dr. Sunilkumar Sajjan's Channamma Homeopathic Clinic,,8792698108,Dharwad,Skin Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Roy Clinic,,9880928506,Dharwad,Skin Clinic,Y,,,,2026-03-16,
SKANDA AYURVEDALAYA,,7483452503,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Health Care Diagnostic Center,,9632077004,Dharwad,Skin Clinic,Y,,,,2026-03-16,
MB Beauty Clinic | Skin Treatment | Bridal Makeup Artist | Salon | Academy,,9900614456,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Mahishi Trust's Yoga & Naturopathy Hospital Dharwad-Hubli,,6361708208,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Derma Follic Hubballi - Skin & Hair Cosmetics Care Centre,,8884391444,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Striveda Women Wellness Clinic,,7022313081,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Patil Clinic,,7795028080,Dharwad,Skin Clinic,Y,,,,2026-03-16,
"CHANNABASAVESHWARA CHIKISTALAYA , Ayurvedic Consultation and Panchakarma Center",,9538642621,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Dr.Jeevannavar's Clinic,,8362332974,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Dr Bhavna Malhotra,,9739559090,Dharwad,Skin Clinic,Y,,,,2026-03-16,
"Dr Batra’s Homeopathy, Hair & Skin Clinic",,7045006060,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Shree Samviran Hospital of Ayurveda,,7483895926,Dharwad,Skin Clinic,Y,,,,2026-03-16,
Bendigeri Dr B P,,8362744290,Dharwad,Skin Clinic,Y,,,,2026-03-16,
