Business Name,Phone,City,Niche,Has Website,Website Link,Google Maps Link,SERP Ranked,SERP Source
Dhanyosmi Yoga Kendra,9480397682,Hubli,Gyms,N,,https://www.google.com/maps/place/Dhanyosmi+Yoga+Kendra/data=!4m7!3m6!1s0x3bb8d0ad5389634b:0xae130fa02960bd61!8m2!3d15.3710025!4d75.1432144!16s%2Fg%2F11dfxdrpsl!19sChIJS2OJU63QuDsRYb1gKaAPE64?authuser=0&hl=en&rclk=1,N,
Beats & Moves Dance Studio,9742842956,Hubli,Gyms,N,,https://www.google.com/maps/place/Beats+%26+Moves+Dance+Studio/data=!4m7!3m6!1s0x3bb8d76649b810f7:0x7d9eadff87b9ddbe!8m2!3d15.3618747!4d75.1355038!16s%2Fg%2F11c4bfxd_8!19sChIJ9xC4SWbXuDsRvt25h_-tnn0?authuser=0&hl=en&rclk=1,N,
Yoga Education & Research Institute,7624930699,Hubli,Gyms,N,,https://www.google.com/maps/place/Yoga+Education+%26+Research+Institute/data=!4m7!3m6!1s0x3bb8d74d3ca36db9:0x96599d0826a8673a!8m2!3d15.3695687!4d75.132387!16s%2Fg%2F11dftdf_p3!19sChIJuW2jPE3XuDsROmeoJgidWZY?authuser=0&hl=en&rclk=1,N,
YOGA360,7619240155,Hubli,Gyms,Y,https://yoga360s.org/,https://www.google.com/maps/place/YOGA360/data=!4m7!3m6!1s0x3bb8d1602da3e7cd:0x11820c5c53ef8467!8m2!3d15.3657069!4d75.1224581!16s%2Fg%2F11fk4qyk70!19sChIJzeejLWDRuDsRZ4TvU1wMghE?authuser=0&hl=en&rclk=1,N,
Muscle Factory Gyms Vishweshwar Nagar Hubli,7022842270,Hubli,Gyms,N,,https://www.google.com/maps/place/Muscle+Factory+Gyms+Vishweshwar+Nagar+Hubli/data=!4m7!3m6!1s0x3bb8d799e42ba781:0x9fc75fd923994188!8m2!3d15.3671445!4d75.1332999!16s%2Fg%2F11hy9lsfxr!19sChIJgacr5JnXuDsRiEGZI9lfx58?authuser=0&hl=en&rclk=1,N,
"Pro Ultimate Gyms - Hubballi, Karnataka",6362000104,Hubli,Gyms,N,,"https://www.google.com/maps/place/Pro+Ultimate+Gyms+-+Hubballi,+Karnataka/data=!4m7!3m6!1s0x3bb8d729ec9c9273:0xfb31cef24bfa6d54!8m2!3d15.3651058!4d75.1493575!16s%2Fg%2F11y79w4n4w!19sChIJc5Kc7CnXuDsRVG36S_LOMfs?authuser=0&hl=en&rclk=1",Y,GBP
BeSpoke Fitness – Fitness Center & Hubli’s Unisex Fitness Gym,6363641399,Hubli,Gyms,N,,https://www.google.com/maps/place/BeSpoke+Fitness+%E2%80%93+Fitness+Center+%26+Hubli%E2%80%99s+Unisex+Fitness+Gym/data=!4m7!3m6!1s0x3bb8d733115f2d63:0x47b73bc18f88c099!8m2!3d15.3541151!4d75.1403153!16s%2Fg%2F11vplmt0xt!19sChIJYy1fETPXuDsRmcCIj8E7t0c?authuser=0&hl=en&rclk=1,N,
Thews Gym and Fitness (Unisex) Hubli,8073184855,Hubli,Gyms,N,,https://www.google.com/maps/place/Thews+Gym+and+Fitness+%28Unisex%29+Hubli/data=!4m7!3m6!1s0x3bb8d7f335b564af:0xc8f7943e8c0a0510!8m2!3d15.3627152!4d75.1422159!16s%2Fg%2F11t1lfxt85!19sChIJr2S1NfPXuDsREAUKjD6U98g?authuser=0&hl=en&rclk=1,N,
Xtreme Fitness (Best Fitness Centers),8364271122,Hubli,Gyms,N,,https://www.google.com/maps/place/Xtreme+Fitness+%28Best+Fitness+Centers%29/data=!4m7!3m6!1s0x3bb8d744528094a7:0xa5795a2322c3b853!8m2!3d15.3539362!4d75.1351225!16s%2Fg%2F11g8w64x3x!19sChIJp5SAUkTXuDsRU7jDIiNaeaU?authuser=0&hl=en&rclk=1,Y,GBP
Khonas Gym and Wellness Best Gym in Vidyanagar Hubli,6475884440,Hubli,Gyms,N,,https://www.google.com/maps/place/Khonas+Gym+and+Wellness+Best+Gym+in+Vidyanagar+Hubli/data=!4m7!3m6!1s0x3bb8d74913e37e71:0xb3b9aeaefbf04f39!8m2!3d15.3627444!4d75.1351497!16s%2Fg%2F11xz8pmdr!19sChIJcX7jE0nXuDsROU_w-66uubM?authuser=0&hl=en&rclk=1,N,
