Business Name,Phone,City,Niche,Has Website,Website Link,Google Maps Link,SERP Ranked,SERP Source
Vinspace Interiors | Interior Designers | Home Interiors | Modular Kitchen | Wardrobes | Aluminum Interiors,9986896457,Hubli,Modular Kitchens,Y,https://vinspace.in/vinspace-interiors/,https://www.google.com/maps/place/Vinspace+Interiors+%7C+Interior+Designers+%7C+Home+Interiors+%7C+Modular+Kitchen+%7C+Wardrobes+%7C+Aluminum+Interiors/data=!4m7!3m6!1s0x3bb8d79bbfdd1d69:0xa0a712b81f6dc3c0!8m2!3d15.3495822!4d75.1423446!16s%2Fg%2F11q_nqshwh!19sChIJaR3dv5vXuDsRwMNtH7gSp6A?authuser=0&hl=en&rclk=1,Y,GBP
"SpaceWood Interiors Hubli - Interior Designers,Modular Kitchens & Wardrobes in Hubli,KA",9739077177,Hubli,Modular Kitchens,N,,"https://www.google.com/maps/place/SpaceWood+Interiors+Hubli+-+Interior+Designers,Modular+Kitchens+%26+Wardrobes+in+Hubli,KA/data=!4m7!3m6!1s0x3bb8d743ea59a907:0x54c35e1db19013a6!8m2!3d15.3521606!4d75.138321!16s%2Fg%2F11bz0nyl9f!19sChIJB6lZ6kPXuDsRphOQsR1ew1Q?authuser=0&hl=en&rclk=1",Y,GBP
CORNERS JOINT,9591449469,Hubli,Modular Kitchens,Y,http://www.cornersjoint.com/,https://www.google.com/maps/place/CORNERS+JOINT/data=!4m7!3m6!1s0x3bb8d7b9cdecb6ad:0x69113d472330e366!8m2!3d15.3617676!4d75.1259554!16s%2Fg%2F11tp92x97r!19sChIJrbbszbnXuDsRZuMwI0c9EWk?authuser=0&hl=en&rclk=1,Y,GBP
Asian Paints Beautiful Homes - Interio Solutions,7947469457,Hubli,Modular Kitchens,Y,https://stores.beautifulhomes.asianpaints.com/asian-paints-beautiful-homes-interio-solutions-interior-designers-deshpande-nagar-hubballi-461024/Home?utm_source=locator&utm_medium=googleplaces,https://www.google.com/maps/place/Asian+Paints+Beautiful+Homes+-+Interio+Solutions/data=!4m7!3m6!1s0x3bb8d7b702ce4d1b:0xb4fd55c81ffbb95c!8m2!3d15.3566398!4d75.1376287!16s%2Fg%2F11w1zfrcqh!19sChIJG03OArfXuDsRXLn7H8hV_bQ?authuser=0&hl=en&rclk=1,N,
TOUCHSTONE INTERIORS AND DESIGNS,8884066378,Hubli,Modular Kitchens,Y,https://touchstoneinteriorshubli.com/,https://www.google.com/maps/place/TOUCHSTONE+INTERIORS+AND+DESIGNS/data=!4m7!3m6!1s0x3bb8d79c1a8d5a95:0xb8b72e1e3dd05098!8m2!3d15.3584065!4d75.1052827!16s%2Fg%2F11lglfsnvf!19sChIJlVqNGpzXuDsRmFDQPR4ut7g?authuser=0&hl=en&rclk=1,N,
"Javali Construction & Interiors| House Construction| Modular Kitchen, Wardrobes, Interior Design & End-to-End Contracts",8951673424,Hubli,Modular Kitchens,N,,"https://www.google.com/maps/place/Javali+Construction+%26+Interiors%7C+House+Construction%7C+Modular+Kitchen,+Wardrobes,+Interior+Design+%26+End-to-End+Contracts/data=!4m7!3m6!1s0x3bb8d75506fe3693:0xccea3419a69d320a!8m2!3d15.3605857!4d75.1146603!16s%2Fg%2F11qnlv6twg!19sChIJkzb-BlXXuDsRCjKdphk06sw?authuser=0&hl=en&rclk=1",Y,GBP
OM INTERIOR WORK | Enhance Your SPACE with Stunning Home Furniture!,7019454404,Hubli,Modular Kitchens,Y,https://sites.google.com/view/ominteriorworkcom/home,https://www.google.com/maps/place/OM+INTERIOR+WORK+%7C+Enhance+Your+SPACE+with+Stunning+Home+Furniture!/data=!4m7!3m6!1s0x3bb8d7a2fc2870ff:0xfadb11c9ceaed39!8m2!3d15.3611408!4d75.1463409!16s%2Fg%2F11mv5tyj_5!19sChIJ_3Ao_KLXuDsROe3qnByxrQ8?authuser=0&hl=en&rclk=1,N,
Myle Interior Solutions Pvt Ltd.,9845252126,Hubli,Modular Kitchens,Y,http://www.myleinteriors.com/,https://www.google.com/maps/place/Myle+Interior+Solutions+Pvt+Ltd./data=!4m7!3m6!1s0x3bb8d78b1829dcbb:0x8925a1bc8fc474f!8m2!3d15.355547!4d75.1136142!16s%2Fg%2F11gn25b2ln!19sChIJu9wpGIvXuDsRT0f8yBtakgg?authuser=0&hl=en&rclk=1,N,
Modern Interiors,9342462983,Hubli,Modular Kitchens,N,,https://www.google.com/maps/place/Modern+Interiors/data=!4m7!3m6!1s0x3bb8d73f39f574c9:0xe8278f86fb3f29a5!8m2!3d15.3544287!4d75.1069634!16s%2Fg%2F11ll7tgp4j!19sChIJyXT1OT_XuDsRpSk_-4aPJ-g?authuser=0&hl=en&rclk=1,N,
"Livspace - Modular Kitchens & Wardrobes, Deshpande Nagar",8047759147,Hubli,Modular Kitchens,Y,https://www.livspace.com/in/interiors/hubli/deshpande-nagar?utm_medium=GMB&utm_source=wb_hubbali,"https://www.google.com/maps/place/Livspace+-+Modular+Kitchens+%26+Wardrobes,+Deshpande+Nagar/data=!4m7!3m6!1s0x3bb8d79ee76e535b:0xd1c21e0d8fb50173!8m2!3d15.356615!4d75.138042!16s%2Fg%2F11x8zlw_bp!19sChIJW1Nu557XuDsRcwG1jw0ewtE?authuser=0&hl=en&rclk=1",Y,Organic
Bethliving Hubli | Interior Design | Modular Kitchen | Bedroom Design,7483496021,Hubli,Modular Kitchens,Y,https://bethliving.com/,https://www.google.com/maps/place/Bethliving+Hubli+%7C+Interior+Design+%7C+Modular+Kitchen+%7C+Bedroom+Design/data=!4m7!3m6!1s0x3bb8d79aec7b1d1b:0x95e985131d1d7459!8m2!3d15.357429!4d75.1175198!16s%2Fg%2F11lz55cxrn!19sChIJGx177JrXuDsRWXQdHROF6ZU?authuser=0&hl=en&rclk=1,N,
