Business Name,Phone,City,Niche,Has Website,Website Link,Google Maps Link,SERP Ranked,SERP Source
PHYSIOFIT Physiotherapy Centre,8362258443,Hubli,Physiotherapy,Y,http://www.physiofitcentre.com/,https://www.google.com/maps/place/PHYSIOFIT+Physiotherapy+Centre/data=!4m7!3m6!1s0x3bb8d75b530a0fa7:0xa0bd477f6568590b!8m2!3d15.3541073!4d75.1430434!16s%2Fg%2F11bzs2cvs8!19sChIJpw8KU1vXuDsRC1loZX9HvaA?authuser=0&hl=en&rclk=1,Y,GBP
"Kshema Physiotherapy & Chiropractic Centre (Dr.Vasudev Vader, MPT, Senior Physiotherapist)",9448648988,Hubli,Physiotherapy,Y,http://kshemaphysiotherapyhubli.com/,,Y,GBP
Sanmati Physiotherapy Clinic (Physiotherapy In Hubli),9844764551,Hubli,Physiotherapy,N,,,N,
SPINE PLUS,9579548254,Hubli,Physiotherapy,N,,,N,
ABBNESS PHYSIOTHERAPY & RESEARCH CENTRE,9480906692,Hubli,Physiotherapy,N,,,N,
Dr.Rajendra I. Dugani,8362357000,Hubli,Physiotherapy,Y,https://hubalicdcclinic.whitecoats.com/,,N,
PRO-ACE PHYSIOTHERAPY & SPORTS SCIENCE CENTRE,8310852559,Hubli,Physiotherapy,N,,,N,
Sumedh Physiotherapy Centre,9886115952,Hubli,Physiotherapy,N,,,N,
Nirmala Physiotherapy & Rehabiliation Centre,8362362041,Hubli,Physiotherapy,N,,,N,
Dr Vivek Patil,8970053669,Hubli,Physiotherapy,Y,http://www.drvivekspatil.com/,,N,
Navajeeva Abhyangalaya,9483929962,Hubli,Physiotherapy,N,,,N,
SRS physiotherapy centre,9538820099,Hubli,Physiotherapy,N,,,N,
Healthify Hijama cupping therapy centre,9980744118,Hubli,Physiotherapy,Y,http://www.healthifycuppingtherapy.com/,https://www.google.com/maps/place/Healthify+Hijama+cupping+therapy+centre/data=!4m7!3m6!1s0x3bb8d9fac4740d83:0x8e7f36fc322f8995!8m2!3d15.3546355!4d75.1300883!16s%2Fg%2F11sfjmghr5!19sChIJgw10xPrZuDsRlYkvMvw2f44?authuser=0&hl=en&rclk=1,N,
PHYSIOTHERAPY CLINIC,9886080006,Hubli,Physiotherapy,N,,,N,
Habib clinic,9036081789,Hubli,Physiotherapy,N,,,N,
Physioveda,7406206311,Hubli,Physiotherapy,N,,,N,
Shree Veerabhadreshwar Ortho Care Orthopedic Doctor Consultant Orthopedic and Arthroscopic Surgeon Best Orthopaedic Surgeon,8105279997,Hubli,Physiotherapy,Y,https://digital-visiting-card.healthfountain.info/digi/dr-mahantesh-halemani/,,N,
Balaji Physiotherapy,7676469073,Hubli,Physiotherapy,N,,,N,
NeuroWorld - Dr. Aniruddh Kulkarni,7899254790,Hubli,Physiotherapy,Y,https://www.draniruddhkulkarni.com/,,N,
Dr Shivaranjan Bali,7019188252,Hubli,Physiotherapy,N,,,N,
Dr VCARE INSTITUTE OF PHYSIOTHERAPY (VIOP) | NEURO SPINE ORTHO SPORTS | ROBOTIC PHYSIOTHERAPY,8197664191,Hubli,Physiotherapy,N,,,N,
Patanjali Wellness Vishwachetana Yoga and Research Centre,9035900980,Hubli,Physiotherapy,Y,https://www.yogaforfitlife.com/,,N,
Sunshine Hijama Center,8861672815,Hubli,Physiotherapy,N,,,N,
Navachaitanya Dispensary,9448236240,Hubli,Physiotherapy,N,,,N,
V CARE Super Speciality Hospital,7483327337,Hubli,Physiotherapy,N,,,N,
Hubli Scan Centre,8362257828,Hubli,Physiotherapy,Y,https://hubliscan.com/about.html,,N,
"SeCURE Hospital, Hubli",8364252020,Hubli,Physiotherapy,Y,https://www.securehospital.in/branches/hubballi-secure-hospital/,"https://www.google.com/maps/place/SeCURE+Hospital,+Hubli/data=!4m7!3m6!1s0x3bb8d7314dae0de1:0x977379937338e52f!8m2!3d15.348902!4d75.1150028!16s%2Fg%2F11j4qs4tsw!19sChIJ4Q2uTTHXuDsRL-U4c5N5c5c?authuser=0&hl=en&rclk=1",N,
Dr.Abhijith Shetty- Orthopedic spine surgeon,9019065596,Hubli,Physiotherapy,N,,,N,
Shishu Care Super Speciality Children Hospital,8618180527,Hubli,Physiotherapy,N,,https://www.google.com/maps/place/Shishu+Care+Super+Speciality+Children+Hospital/data=!4m7!3m6!1s0x3bb8d70543a1726b:0xa01212d192ff645a!8m2!3d15.3553861!4d75.1312133!16s%2Fg%2F11pz3t6hrl!19sChIJa3KhQwXXuDsRWmT_ktESEqA?authuser=0&hl=en&rclk=1,N,
Dr Patel's Weight (Obesity) Management & Physiotherapy Clinic,9035152818,Hubli,Physiotherapy,N,,,N,
