Business Name,Phone,City,Niche,Has Website,Website Link,Google Maps Link,SERP Ranked,SERP Source
Mohan Skin Care Clinic Hubli,8040245807,Hubli,Skin Clinics,N,,https://www.google.com/maps/place/Mohan+Skin+Care+Clinic+Hubli/data=!4m7!3m6!1s0x3bb8d742bc437d8f:0xf7c198a9d631ecf4!8m2!3d15.3487053!4d75.1418442!16s%2Fg%2F11b6t5swmx!19sChIJj31DvELXuDsR9Owx1qmYwfc?authuser=0&hl=en&rclk=1,Y,GBP
Dr Arpitha's Skin Hair & Aesthetics,8283909944,Hubli,Skin Clinics,N,,https://www.google.com/maps/place/Dr+Arpitha%27s+Skin+Hair+%26+Aesthetics/data=!4m7!3m6!1s0x3bb8d746003769b9:0xe8a843fd49eeb918!8m2!3d15.356625!4d75.1296396!16s%2Fg%2F11j84xvpht!19sChIJuWk3AEbXuDsRGLnuSf1DqOg?authuser=0&hl=en&rclk=1,Y,GBP
Hubli Skin Clinic,9108517456,Hubli,Skin Clinics,N,,https://www.google.com/maps/place/Hubli+Skin+Clinic/data=!4m7!3m6!1s0x3bb8d743604ed9e1:0x6310bfb17e678026!8m2!3d15.3535913!4d75.1403707!16s%2Fg%2F11f0437f_8!19sChIJ4dlOYEPXuDsRJoBnfrG_EGM?authuser=0&hl=en&rclk=1,N,
JEEVANNAVAR SKIN CARE CLINIC,8317453945,Hubli,Skin Clinics,N,,https://www.google.com/maps/place/JEEVANNAVAR+SKIN+CARE+CLINIC/data=!4m7!3m6!1s0x3bb8d7ec1c844189:0xc9349518c20e271a!8m2!3d15.3567105!4d75.1374267!16s%2Fg%2F11g10gnxcq!19sChIJiUGEHOzXuDsRGicOwhiVNMk?authuser=0&hl=en&rclk=1,Y,GBP
"Twacha Skin Hair Laser Clinic by Dr. Suman Odugoudar's - Best dermatologist in Vidyanagar, Hubli.",9535474155,Hubli,Skin Clinics,N,,"https://www.google.com/maps/place/Twacha+Skin+Hair+Laser+Clinic+by+Dr.+Suman+Odugoudar%27s+-+Best+dermatologist+in+Vidyanagar,+Hubli./data=!4m7!3m6!1s0x3bb8d1ae8aba328b:0xc3892da3f1a709f9!8m2!3d15.3680473!4d75.1199774!16s%2Fg%2F11mqccrm17!19sChIJizK6iq7RuDsR-Qmn8aMticM?authuser=0&hl=en&rclk=1",N,
"Dr Mohan Shendre .MD DNB, Mohan Skin Care Clinic hubli",9964519764,Hubli,Skin Clinics,N,,"https://www.google.com/maps/place/Dr+Mohan+Shendre+.MD+DNB,+Mohan+Skin+Care+Clinic+hubli/data=!4m7!3m6!1s0x3bb8d742bdadefe7:0x97c0e2aeca34161e!8m2!3d15.348795!4d75.141833!16s%2Fg%2F11b6t2s867!19sChIJ5--tvULXuDsRHhY0yq7iwJc?authuser=0&hl=en&rclk=1",Y,GBP
Dr Shruti Teggimani's Skin hair & laser clinic,9482906088,Hubli,Skin Clinics,N,,https://www.google.com/maps/place/Dr+Shruti+Teggimani%27s+Skin+hair+%26+laser+clinic/data=!4m7!3m6!1s0x3bb8d742549ca77f:0x524d98d724b353f3!8m2!3d15.3600303!4d75.1481345!16s%2Fg%2F11c6zy117p!19sChIJf6ecVELXuDsR81OzJNeYTVI?authuser=0&hl=en&rclk=1,N,
"Kololgi's Skin, Hair, Laser and Aesthetic Clinic",8123021829,Hubli,Skin Clinics,N,,"https://www.google.com/maps/place/Kololgi%27s+Skin,+Hair,+Laser+and+Aesthetic+Clinic/data=!4m7!3m6!1s0x3bb8d71a06f7e905:0xfa736d35e1955517!8m2!3d15.3616902!4d75.1165397!16s%2Fg%2F11y16hf33x!19sChIJBen3BhrXuDsRF1WV4TVtc_o?authuser=0&hl=en&rclk=1",N,
Pawar Skin and Onco Care Clinic,8363564972,Hubli,Skin Clinics,N,,https://www.google.com/maps/place/Pawar+Skin+and+Onco+Care+Clinic/data=!4m7!3m6!1s0x3bb8d9ff52623b87:0x52139f7f16946d6f!8m2!3d15.3621452!4d75.1520534!16s%2Fg%2F11s98c_ppd!19sChIJhztiUv_ZuDsRb22UFn-fE1I?authuser=0&hl=en&rclk=1,N,
Kolors Hair & Skin Clinic - Hubli,MISSING,Hubli,Skin Clinics,N,,https://www.google.com/maps/place/Kolors+Hair+%26+Skin+Clinic+-+Hubli/data=!4m7!3m6!1s0x3bb8d925192016ed:0xbde27f4574782f35!8m2!3d15.3614314!4d75.1499667!16s%2Fg%2F11vq29mf5d!19sChIJ7RYgGSXZuDsRNS94dEV_4r0?authuser=0&hl=en&rclk=1,N,
"G Square Clinic Skin, Hair and Plastic Surgery",9110610004,Hubli,Skin Clinics,N,,"https://www.google.com/maps/place/G+Square+Clinic+Skin,+Hair+and+Plastic+Surgery/data=!4m7!3m6!1s0x3bb8d7171d17291d:0x309aa5599c80c58c!8m2!3d15.3565758!4d75.1250681!16s%2Fg%2F11k9mmtj2j!19sChIJHSkXHRfXuDsRjMWAnFmlmjA?authuser=0&hl=en&rclk=1",N,
Dr P V Bhagwat Skin Clinic,9986155070,Hubli,Skin Clinics,N,,https://www.google.com/maps/place/Dr+P+V+Bhagwat+Skin+Clinic/data=!4m7!3m6!1s0x3bb8d70031e41f89:0x5e9196a38455e75f!8m2!3d15.3501705!4d75.1445884!16s%2Fg%2F11y8zv2m12!19sChIJiR_kMQDXuDsRX-dVhKOWkV4?authuser=0&hl=en&rclk=1,N,
Kolors Healthcare Hubli,9884706666,Hubli,Skin Clinics,N,,https://www.google.com/maps/place/Kolors+Healthcare+Hubli/data=!4m7!3m6!1s0x3bb8d7573f000e77:0x3998bbdc39cfc7e7!8m2!3d15.3614782!4d75.1499539!16s%2Fg%2F11hcw3rr1r!19sChIJdw4AP1fXuDsR58fPOdy7mDk?authuser=0&hl=en&rclk=1,N,
Supreme Hair & Skin Care,MISSING,Hubli,Skin Clinics,N,,https://www.google.com/maps/place/Supreme+Hair+%26+Skin+Care/data=!4m7!3m6!1s0x3bb8d7a2030d08df:0xbbc290ff48b9874a!8m2!3d15.3565831!4d75.1297067!16s%2Fg%2F11qzck_t2m!19sChIJ3wgNA6LXuDsRSoe5SP-Qwrs?authuser=0&hl=en&rclk=1,N,
Skin Care Clinic Dr.Shwetha F,8904491429,Hubli,Skin Clinics,N,,https://www.google.com/maps/place/Skin+Care+Clinic+Dr.Shwetha+F/data=!4m7!3m6!1s0x3bb8d7f16f5fd5e5:0xb0ea524633a18518!8m2!3d15.3458917!4d75.1449501!16s%2Fg%2F11vlr83lj0!19sChIJ5dVfb_HXuDsRGIWhM0ZS6rA?authuser=0&hl=en&rclk=1,N,
