Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
Muscle Factory Gyms Vishweshwar Nagar Hubli,,7022842270,Hubli,Gym,Y,,,,2026-03-16,
"Pro Ultimate Gyms - Hubballi, Karnataka",,6362000104,Hubli,Gym,Y,,,,2026-03-16,
BeSpoke Fitness – Fitness Center & Hubli’s Unisex Fitness Gym,,6363641399,Hubli,Gym,Y,,,,2026-03-16,
Thews Gym and Fitness (Unisex) Hubli,,8073184855,Hubli,Gym,Y,,,,2026-03-16,
Xtreme Fitness (Best Fitness Centers),,8364271122,Hubli,Gym,Y,,,,2026-03-16,
Khonas Gym and Wellness Best Gym in Vidyanagar Hubli,,6475884440,Hubli,Gym,Y,,,,2026-03-16,PHONE RECOVERED
Muscle Factory Gyms Chennamma Circle Hubli,,7022842270,Hubli,Gym,Y,,,,2026-03-16,
Torso Gym,,8600198787,Hubli,Gym,Y,,,,2026-03-16,
SpaceX Fitness,,8971991888,Hubli,Gym,Y,,,,2026-03-16,
Revolution Fitness Gym || Keshwapur || Hubli,,9742784348,Hubli,Gym,Y,,,,2026-03-16,
Iron Lifters Fitness Center 2.0,,6475884440,Hubli,Gym,Y,,,,2026-03-16,PHONE RECOVERED
Body Tone Fitness,,8660169891,Hubli,Gym,Y,,,,2026-03-16,
The Empire Fitness,,8880463972,Hubli,Gym,Y,,,,2026-03-16,
Royal Gym,,9916908070,Hubli,Gym,Y,,,,2026-03-16,
Shri Sai Unisex Fitness Center.,,9396926208,Hubli,Gym,Y,,,,2026-03-16,
I-Fitness,,9606982205,Hubli,Gym,Y,,,,2026-03-16,
Shadozzz Gym,,9535122680,Hubli,Gym,Y,,,,2026-03-16,
Hubli Gymkhana Club,,8362366685,Hubli,Gym,Y,,,,2026-03-16,
Karnataka Gym || Hubballi,,9902667407,Hubli,Gym,Y,,,,2026-03-16,
Rockey fitness,,8618308414,Hubli,Gym,Y,,,,2026-03-16,
R11 FITNESS,,6829669985,Hubli,Gym,Y,,,,2026-03-16,PHONE RECOVERED
PRO FIT FITNESS UNISEX GYM || Deshpande Nagar || Hubli,,9916219735,Hubli,Gym,Y,,,,2026-03-16,
Iron Lifters Fitness Center 1.0,,8884842569,Hubli,Gym,Y,,,,2026-03-16,
Muscle Tone Gym,,9900198290,Hubli,Gym,Y,,,,2026-03-16,
Akhada-The Lifestyle Gym,,9019208365,Hubli,Gym,Y,,,,2026-03-16,
FITNESS HEALTH CLUB,,,Hubli,Gym,Y,,,,2026-03-16,PHONE MISSING
Fitness Planet,,,Hubli,Gym,Y,,,,2026-03-16,PHONE MISSING
Spartan Elite Gym,,9731107646,Hubli,Gym,Y,,,,2026-03-16,
Tranzpire Fitness & Training,,,Hubli,Gym,Y,,,,2026-03-16,PHONE MISSING
Royal Fitness Gym Unkal,,9632873100,Hubli,Gym,Y,,,,2026-03-16,
Talwalkars HiFi gym,,8884799336,Hubli,Gym,Y,,,,2026-03-16,
Metro Flex GYM,,9396926208,Hubli,Gym,Y,,,,2026-03-16,
The Muscle Brigade ultimate unisex fitness centre,,9019172101,Hubli,Gym,Y,,,,2026-03-16,
Dr. Amit’s Pro Fitness-Physiotherapy Centre In Hubli,,7026949555,Hubli,Gym,Y,,,,2026-03-16,
By's Fitness Gym,,9396926208,Hubli,Gym,Y,,,,2026-03-16,
sweat fem fitness,,7349578524,Hubli,Gym,Y,,,,2026-03-16,
"Stayfit Health & Fitness World Pvt. Ltd, Gym Equipment Center, Hubbali",,9740999094,Hubli,Gym,Y,,,,2026-03-16,
JAI HO FITNESS UNISEX GYM,,9686164803,Hubli,Gym,Y,,,,2026-03-16,
Body Fitness Club Hubli,,9741988982,Hubli,Gym,Y,,,,2026-03-16,
PEAK FITNESS CLUB,,9396926208,Hubli,Gym,Y,,,,2026-03-16,
sana ladies gym and fitness,,9945083672,Hubli,Gym,Y,,,,2026-03-16,
