Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
Vinspace Interiors | Interior Designers | Home Interiors | Modular Kitchen | Wardrobes | Aluminum Interiors,,9986896457,Hubli,Interior Designer,Y,,,,2026-03-16,
"SpaceWood Interiors Hubli - Interior Designers,Modular Kitchens & Wardrobes in Hubli,KA",,9739077177,Hubli,Interior Designer,Y,,,,2026-03-16,
Aditi Designs Hubli. False Ceiling & Interior Contractor,,9449339725,Hubli,Interior Designer,Y,,,,2026-03-16,
CORNERS JOINT,,9591449469,Hubli,Interior Designer,Y,,,,2026-03-16,
Soham Architect & Interior Designer,,8362351265,Hubli,Interior Designer,Y,,,,2026-03-16,
Asian Paints Beautiful Homes - Interio Solutions,,7947469457,Hubli,Interior Designer,Y,,,,2026-03-16,
TOUCHSTONE INTERIORS AND DESIGNS,,8884066378,Hubli,Interior Designer,Y,,,,2026-03-16,
Daya Design | Architecture | Interior Design | Construction,,9538010801,Hubli,Interior Designer,Y,,,,2026-03-16,
Carve Design Studio | Top Interior Designer in Hubli | Best Architect in Hubli,,8747808230,Hubli,Interior Designer,Y,,,,2026-03-16,
Phoenix interio - Redefine spaces,,9620438881,Hubli,Interior Designer,Y,,,,2026-03-16,
Kabbur Architects | Top architect in Hubballi | Top Interior Designer in Hubballi | Turn Key Projects,,9448267576,Hubli,Interior Designer,Y,,,,2026-03-16,
"Javali Construction & Interiors| House Construction| Modular Kitchen, Wardrobes, Interior Design & End-to-End Contracts",,8951673424,Hubli,Interior Designer,Y,,,,2026-03-16,
OM INTERIOR WORK | Enhance Your SPACE with Stunning Home Furniture!,,7019454404,Hubli,Interior Designer,Y,,,,2026-03-16,
Myle Interior Solutions Pvt Ltd.,,9845252126,Hubli,Interior Designer,Y,,,,2026-03-16,
Life Space Interior Designer,,9916374841,Hubli,Interior Designer,Y,,,,2026-03-16,
Modern Interiors,,9342462983,Hubli,Interior Designer,Y,,,,2026-03-16,
SHREENDA ARCHITECTS,,8431356700,Hubli,Interior Designer,Y,,,,2026-03-16,
RECON INTERIORS AND CONSTRUCTION,,9741579578,Hubli,Interior Designer,Y,,,,2026-03-16,
