Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
"ALLEN Career Institute - Hubballi Campus | IIT JEE, NEET & Foundation Coaching",,9513763601,Hubli,JEE Coaching,Y,,,,2026-03-16,
"Aakash Institute, Hubli",,8800013051,Hubli,JEE Coaching,Y,,,,2026-03-16,
NARAYANA IIT-JEE/NEET/FOUNDATION - HUBLI,,7022043639,Hubli,JEE Coaching,Y,,,,2026-03-16,
"Physics Wallah Vidyapeeth Pathshala Coaching Center Hubli | IIT JEE, NEET & Foundation Classes",,7428096975,Hubli,JEE Coaching,Y,,,,2026-03-16,
"Avanti Learning Centres - Hubballi, Karnataka | Best IIT-JEE NEET NTSE CET & Foundation Coaching",,6366437712,Hubli,JEE Coaching,Y,,,,2026-03-16,
"Myle Academy Study Center | IIT- JEE, NEET, K-CET, Coaching Center in Hubli",,9964059222,Hubli,JEE Coaching,Y,,,,2026-03-16,
Anand Academy,,9986601259,Hubli,JEE Coaching,Y,,,,2026-03-16,
VIVEKA ACADEMY TUTORIALS HUBLI,,9071403393,Hubli,JEE Coaching,Y,,,,2026-03-16,
Disha Career Institute Hubli,,8660559772,Hubli,JEE Coaching,Y,,,,2026-03-16,
Spectrum Study Centerrrrre,,9886027201,Hubli,JEE Coaching,Y,,,,2026-03-16,
SSB's Alora Institute,,7204513619,Hubli,JEE Coaching,Y,,,,2026-03-16,
T.I.M.E. Institute (Coaching Center For Competitive Exams Bank & MBA Entrance),,9886132242,Hubli,JEE Coaching,Y,,,,2026-03-16,
Samarth Academy ಸಮರ್ಥ ಅಕಾಡೆಮಿ,,9620451759,Hubli,JEE Coaching,Y,,,,2026-03-16,
Unacademy Centre Hubballi,,9148486661,Hubli,JEE Coaching,Y,,,,2026-03-16,
J K Shah Classes,,8655792915,Hubli,JEE Coaching,Y,,,,2026-03-16,
Avanti Integrated PU Science College,,8904343111,Hubli,JEE Coaching,Y,,,,2026-03-16,
BASE Education - Hubballi,,8362252685,Hubli,JEE Coaching,Y,,,,2026-03-16,
Jeevishaala Tutorials,,9916949338,Hubli,JEE Coaching,Y,,,,2026-03-16,
Vidya Science Academy,,9148991771,Hubli,JEE Coaching,Y,,,,2026-03-16,
"Avanti Learning Centres - Dharwad, Karnataka | IIT-JEE NEET NTSE & Foundation Coaching Classes",,6366437712,Hubli,JEE Coaching,Y,,,,2026-03-16,
