Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
WeWia Modular Kitchen & Wardrobes Experience Centre,,7406353760,Hubli,Modular Kitchen,Y,,,,2026-03-16,
Hafele Studio Partner - Kitchen O Kulture,,9036681004,Hubli,Modular Kitchen,Y,,,,2026-03-16,
HAFELE - Modular Kitchen,,9886202675,Hubli,Modular Kitchen,Y,,,,2026-03-16,
"SpaceWood Interiors Hubli - Interior Designers,Modular Kitchens & Wardrobes in Hubli,KA",,9739077177,Hubli,Modular Kitchen,Y,,,,2026-03-16,
INFINITY MODULAR KITCHENS & INTERIOR WORKS,,9620528777,Hubli,Modular Kitchen,Y,,,,2026-03-16,
Vinspace Interiors | Interior Designers | Home Interiors | Modular Kitchen | Wardrobes | Aluminum Interiors,,9986896457,Hubli,Modular Kitchen,Y,,,,2026-03-16,
Yusuf Furniture - Customised Modular Kitchen Services,,9482909576,Hubli,Modular Kitchen,Y,,,,2026-03-16,
"Godrej Interio Furniture & Mattress Store & Modular Kitchen Gallery Near Me, Hubli (Intraarch)",,8884091122,Hubli,Modular Kitchen,Y,,,,2026-03-16,
Aluminium modular kitchen,,9999999999,Hubli,Modular Kitchen,Y,,,,2026-03-16,PHONE RECOVERED
Elements Kitchens Solutions,,9900269592,Hubli,Modular Kitchen,Y,,,,2026-03-16,
Mandovi Furnitures and Interiors,,9480173085,Hubli,Modular Kitchen,Y,,,,2026-03-16,
Comfort kitchen,,9483477238,Hubli,Modular Kitchen,Y,,,,2026-03-16,
Modulo Experience Center [Wardrobes Kitchen & More,,9620746382,Hubli,Modular Kitchen,Y,,,,2026-03-16,
Modern Interiors,,9342462983,Hubli,Modular Kitchen,Y,,,,2026-03-16,
Namma Kitchen,,9035923813,Hubli,Modular Kitchen,Y,,,,2026-03-16,
Mahajan Kitchen & Interiors,,9632012023,Hubli,Modular Kitchen,Y,,,,2026-03-16,
New star modular kitchen,,,Hubli,Modular Kitchen,Y,,,,2026-03-16,PHONE MISSING
Bethliving Hubli | Interior Design | Modular Kitchen | Bedroom Design,,7483496021,Hubli,Modular Kitchen,Y,,,,2026-03-16,
"Javali Construction & Interiors| House Construction| Modular Kitchen, Wardrobes, Interior Design & End-to-End Contracts",,8951673424,Hubli,Modular Kitchen,Y,,,,2026-03-16,
OM INTERIOR WORK | Enhance Your SPACE with Stunning Home Furniture!,,7019454404,Hubli,Modular Kitchen,Y,,,,2026-03-16,
"Livspace - Modular Kitchens & Wardrobes, Deshpande Nagar",,8047759147,Hubli,Modular Kitchen,Y,,,,2026-03-16,
"Ultrafresh Modular Solutions Powered By Prestige - Hubli, Karnataka",,7304500766,Hubli,Modular Kitchen,Y,,,,2026-03-16,
"AVM Granite - Sleek Studio - Modular Kitchen, Cabinets, Wardrobe and Fitted Furniture",,8071178548,Hubli,Modular Kitchen,Y,,,,2026-03-16,
Wewia manufacturing unit,,,Hubli,Modular Kitchen,Y,,,,2026-03-16,PHONE MISSING
"Pigeon Exclusive Store - New Hubli, Hubballi | Chimneys, Hobs, Cast Iron Cookware & More",,8364064400,Hubli,Modular Kitchen,Y,,,,2026-03-16,
Nilkamal Homes- Premium Furniture and Homeware store,,8363563811,Hubli,Modular Kitchen,Y,,,,2026-03-16,
V R Kitchens Gallery,,,Hubli,Modular Kitchen,Y,,,,2026-03-16,PHONE MISSING
Rolex India | Wholesale Kitchen Baskets in Hubballi,,8340928642,Hubli,Modular Kitchen,Y,,,,2026-03-16,PHONE RECOVERED
R R Living Comforts,,9972017474,Hubli,Modular Kitchen,Y,,,,2026-03-16,
R. K. Furniture,,9620877865,Hubli,Modular Kitchen,Y,,,,2026-03-16,
Myle Interior Solutions Pvt Ltd.,,9845252126,Hubli,Modular Kitchen,Y,,,,2026-03-16,
Delight Furniture ( New Delight ),,9035475085,Hubli,Modular Kitchen,Y,,,,2026-03-16,
"Sanjivani Interio - Sleek Studio - Modular Kitchen, Cabinets, Wardrobe and Fitted Furniture",,8071178506,Hubli,Modular Kitchen,Y,,,,2026-03-16,
Asian Paints Beautiful Homes - Interio Solutions,,7947469457,Hubli,Modular Kitchen,Y,,,,2026-03-16,
"Malani Granite - Sleek Studio - Modular Kitchen, Cabinets, Wardrobe and Fitted Furniture",,8071178633,Hubli,Modular Kitchen,Y,,,,2026-03-16,
CORNERS JOINT,,9591449469,Hubli,Modular Kitchen,Y,,,,2026-03-16,
Magnum Home Solutions,,7353830627,Hubli,Modular Kitchen,Y,,,,2026-03-16,
TOUCHSTONE INTERIORS AND DESIGNS,,8884066378,Hubli,Modular Kitchen,Y,,,,2026-03-16,
IVAS Modular Kitchen & Wardrobe - Hubli,,9900080007,Hubli,Modular Kitchen,Y,,,,2026-03-16,
Ambadas Home Studio Hubli- Top Home Interior Designers,,9448396320,Hubli,Modular Kitchen,Y,,,,2026-03-16,
teerth interiors,,8892987160,Hubli,Modular Kitchen,Y,,,,2026-03-16,
J INTERIORS | Modular Kitchen and Wardrobes | Interior Designer | Modular Furnitures | Best Interiors in Hubli,,8095941764,Hubli,Modular Kitchen,Y,,,,2026-03-16,
