Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
PHYSIOFIT Physiotherapy Centre,,8362258443,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
Dr. Amit’s Pro Fitness-Physiotherapy Centre In Hubli,,7026949555,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
"Kshema Physiotherapy & Chiropractic Centre (Dr.Vasudev Vader, MPT, Senior Physiotherapist)",,9448648988,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
Sanmati Physiotherapy Clinic (Physiotherapy In Hubli),,9844764551,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
SPINE PLUS,,9579548254,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
ABBNESS PHYSIOTHERAPY & RESEARCH CENTRE,,9480906692,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
Dr.Rajendra I. Dugani,,8362357000,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
PRO-ACE PHYSIOTHERAPY & SPORTS SCIENCE CENTRE,,8310852559,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
Sumedh Physiotherapy Centre,,9886115952,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
Nirmala Physiotherapy & Rehabiliation Centre,,8362362041,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
Sattwam Physiotherapy Clinic and Fitness Studio,,8310126083,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
Dr Vivek Patil,,8970053669,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
V Care Diagnostic & Orthopaedic Centre,,8970053669,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
Navajeeva Abhyangalaya,,9483929962,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
Arivu health care polyclinic,,9481913948,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
SRS physiotherapy centre,,9538820099,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
Healthify Hijama cupping therapy centre,,9980744118,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
PHYSIOTHERAPY CLINIC,,9886080006,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
Habib clinic,,9036081789,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
"Dr.Hari krishna Mata MS (ortho)JIPMER ,Fellow knee & Shoulder ( BOM)Fellow in Shoulder and Elbow England (UK)",,9538820099,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
Physioveda,,7406206311,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
Shree Veerabhadreshwar Ortho Care Orthopedic Doctor Consultant Orthopedic and Arthroscopic Surgeon Best Orthopaedic Surgeon,,8105279997,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
Balaji Physiotherapy,,7676469073,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
NeuroWorld - Dr. Aniruddh Kulkarni,,7899254790,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
Dr Shivaranjan Bali,,7019188252,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
KSHEMA ORTHOPAEDIC AND NEUROSURGICAL CENTRE,,9372355517,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
Dr VCARE INSTITUTE OF PHYSIOTHERAPY (VIOP) | NEURO SPINE ORTHO SPORTS | ROBOTIC PHYSIOTHERAPY,,8197664191,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
Patanjali Wellness Vishwachetana Yoga and Research Centre,,9035900980,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
Sunshine Hijama Center,,8861672815,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
Navachaitanya Dispensary,,9448236240,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
The Dental & Physiotherapy Studio,,9663668788,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
V CARE Super Speciality Hospital,,7483327337,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
Hubli Scan Centre,,8362257828,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
"SeCURE Hospital, Hubli",,8364252020,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
Dr.Abhijith Shetty- Orthopedic spine surgeon,,9019065596,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
"Ozone Yoga, Acupressure, Hypnotherapy, Reiki, Holistic Center. Keshwapur, Hubli, India",,9480555795,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
Shishu Care Super Speciality Children Hospital,,8618180527,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
"Kshema Joint, Spine & Nerve Physiotherapy centre (Dr.Vasudev Vader, MPT, Senior Physiotherapist)",,9448648988,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
Dr Patel's Weight (Obesity) Management & Physiotherapy Clinic,,9035152818,Hubli,Physiotherapy Clinic,Y,,,,2026-03-16,
