Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
S.F Car Rentals Gulbarga,,9916016190,Kalaburagi,Car Rental,Y,,,,2026-03-16,
"Prestige Car Engage - Gulbarga - Airport Taxi, Car Rent, Cab service, Taxi Service, Taxi Rent, Hyderabad Airport",,6361027607,Kalaburagi,Car Rental,Y,,,,2026-03-16,
Abhishek Tours and Travels,,9972292888,Kalaburagi,Car Rental,Y,,,,2026-03-16,
AS Car Rent Tours and Travels,,9380318484,Kalaburagi,Car Rental,Y,,,,2026-03-16,
HUSAINI CAR RENTAL (Kalaburagi Car Rent Gulbarga Car Rent For Airport,,9341957722,Kalaburagi,Car Rental,Y,,,,2026-03-16,
Global travels,,9739456888,Kalaburagi,Car Rental,Y,,,,2026-03-16,
Car Rental Innova Crysta,,8928218403,Kalaburagi,Car Rental,Y,,,,2026-03-16,
Diya Self Drive Car Rental,,7892666582,Kalaburagi,Car Rental,Y,,,,2026-03-16,
Sudarshan Cars - Car Rental in Gulbarga,,9999999776,Kalaburagi,Car Rental,Y,,,,2026-03-16,PHONE RECOVERED
JANI KARWA cabs rental service (JK).,,9035186732,Kalaburagi,Car Rental,Y,,,,2026-03-16,PHONE RECOVERED
Car rental Services kalaburagi,,8095654616,Kalaburagi,Car Rental,Y,,,,2026-03-16,
Aadishakti car rental tour and travels,,9611122677,Kalaburagi,Car Rental,Y,,,,2026-03-16,
KALABURGI / GULBARGA RENT A CAR,,,Kalaburagi,Car Rental,Y,,,,2026-03-16,PHONE MISSING
Safe rides,,9632277696,Kalaburagi,Car Rental,Y,,,,2026-03-16,
MJ Cars,,8951234363,Kalaburagi,Car Rental,Y,,,,2026-03-16,
S.S Tour & Travels,,8904646444,Kalaburagi,Car Rental,Y,,,,2026-03-16,
SF Taxi Services,,9916016190,Kalaburagi,Car Rental,Y,,,,2026-03-16,
SRI SIDDHIVINAYAKA TOURS & TRAVELS,,8884980599,Kalaburagi,Car Rental,Y,,,,2026-03-16,
Asian Cabs,,9880169899,Kalaburagi,Car Rental,Y,,,,2026-03-16,
Shri Mailara Lingeshwara Tours and Travels Gulbarga,,8296723590,Kalaburagi,Car Rental,Y,,,,2026-03-16,
Shettys Tours and Travels,,9686828896,Kalaburagi,Car Rental,Y,,,,2026-03-16,
RBM TOURS AND TRAVELS GULBARGA,,9740622656,Kalaburagi,Car Rental,Y,,,,2026-03-16,
AYUB TOURS & TRAVELS 🚘🚗,,8197973774,Kalaburagi,Car Rental,Y,,,,2026-03-16,
Shaikh Car rental,,8152078801,Kalaburagi,Car Rental,Y,,,,2026-03-16,
Safar Cab Service Gulbarga,,9945432421,Kalaburagi,Car Rental,Y,,,,2026-03-16,
RAYYAN Travels,,9742368741,Kalaburagi,Car Rental,Y,,,,2026-03-16,
Sunil,,8105968520,Kalaburagi,Car Rental,Y,,,,2026-03-16,
PERFECT CAR GARAGE,,9035108313,Kalaburagi,Car Rental,Y,,,,2026-03-16,
Jireh Travels – Tour & Travel Services,,7022283906,Kalaburagi,Car Rental,Y,,,,2026-03-16,
Sidra World Tours And Travels www.smytrip.com,,8472232000,Kalaburagi,Car Rental,Y,,,,2026-03-16,
Stuthi Tours And Travels,,9611887794,Kalaburagi,Car Rental,Y,,,,2026-03-16,
AL REHMAN CAR RENTAL SERVICE,,9611040399,Kalaburagi,Car Rental,Y,,,,2026-03-16,
Bhagyashree Bike Rentals,,9620111031,Kalaburagi,Car Rental,Y,,,,2026-03-16,
Bhagyavanthi Bikee Rentals,,9620101131,Kalaburagi,Car Rental,Y,,,,2026-03-16,
Kalburgi Sun travels,,8892643002,Kalaburagi,Car Rental,Y,,,,2026-03-16,
Yumna World Tours and Travels,,9740015386,Kalaburagi,Car Rental,Y,,,,2026-03-16,
Chinagudi tours and travels,,8317320442,Kalaburagi,Car Rental,Y,,,,2026-03-16,
Yatra - A5 Holidays,,9972160555,Kalaburagi,Car Rental,Y,,,,2026-03-16,
SRI RENUKA TOURS & TRAVELS,,9740393539,Kalaburagi,Car Rental,Y,,,,2026-03-16,
Renukacharya tours and travels gulbarga,,9632283790,Kalaburagi,Car Rental,Y,,,,2026-03-16,
Ravi M R Tours & Travels ರವಿ ಎಂ.ಆರ್ ಟ್ರಾವೆಲ್- best tour's & travels agency in gulbarg,,9148148748,Kalaburagi,Car Rental,Y,,,,2026-03-16,
SANGAMESHWAR TOURIST,,9986925555,Kalaburagi,Car Rental,Y,,,,2026-03-16,
ONN BIKES - BIKES ON RENT IN KALABURAGI,,9019818987,Kalaburagi,Car Rental,Y,,,,2026-03-16,
LUCKY TOURS AND TRAVELS,,9902002777,Kalaburagi,Car Rental,Y,,,,2026-03-16,
KALABURAGI AUTO LEASING,,9449399535,Kalaburagi,Car Rental,Y,,,,2026-03-16,
"Shreya Tours & Travels in Gulbarga - Hire Car, Local Cab, Airport Taxi, Car Rental & Taxi on Rent",,9844514144,Kalaburagi,Car Rental,Y,,,,2026-03-16,
BookMyCar Rentals,,8197032819,Kalaburagi,Car Rental,Y,,,,2026-03-16,PHONE RECOVERED
MA Rental car services,,9035931080,Kalaburagi,Car Rental,Y,,,,2026-03-16,
Balaji Tours and Travels,,9743184444,Kalaburagi,Car Rental,Y,,,,2026-03-16,
J sarkar travels car rentals,,8792146442,Kalaburagi,Car Rental,Y,,,,2026-03-16,
