Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
AMAZING COACHING CENTRE CBSE NCERT NAVODAYA SAINIK SCHOOL COACHING AND TUITION CLASSES KALABURAGI TUTORIAL,,9986650335,Kalaburagi,Tuition Centre,Y,,,,2026-03-16,
Alpha academy by Maths techy - KCET & NEET Coaching,,9590767777,Kalaburagi,Tuition Centre,Y,,,,2026-03-16,
Achievers' Academy,,9972899444,Kalaburagi,Tuition Centre,Y,,,,2026-03-16,
AMAZING TUTORIAL COACHING CENTRE JEWARGI COLONY BEST TUITION CLASSES,,9986650335,Kalaburagi,Tuition Centre,Y,,,,2026-03-16,
Gurudevi Tution Classes Kalaburagi,,6360273107,Kalaburagi,Tuition Centre,Y,,,,2026-03-16,
Basava Siri Education Trust (R),,9845077192,Kalaburagi,Tuition Centre,Y,,,,2026-03-16,
Raj Coaching Institute,,9731046313,Kalaburagi,Tuition Centre,Y,,,,2026-03-16,
Gnyan Institute Of Learning Coaching Classes,,9844069290,Kalaburagi,Tuition Centre,Y,,,,2026-03-16,
Alpha Tutorials Kalaburagi | Best NEET & KCET institute Kalaburagi | JEE | KCET,,8904114460,Kalaburagi,Tuition Centre,Y,,,,2026-03-16,
SAVALAGI TUTORIALS(R),,9900342214,Kalaburagi,Tuition Centre,Y,,,,2026-03-16,
askIITians,,9902876174,Kalaburagi,Tuition Centre,Y,,,,2026-03-16,
BYJU'S Tuition Centre - Timmapuri Circle,,9009002000,Kalaburagi,Tuition Centre,Y,,,,2026-03-16,
"Physics Wallah Vidyapeeth Pathshala Coaching Center Kalaburagi | (8th-12th+) IIT-JEE,NEET and Dropper",,7428096975,Kalaburagi,Tuition Centre,Y,,,,2026-03-16,
Bright On Coaching Academy (foundation NEET/ JEE/ /KCET & 4th to 10th class (CBSE & STATE) Kalaburagi,,6360200335,Kalaburagi,Tuition Centre,Y,,,,2026-03-16,
LAKSHYA Self-Study Centre,,9482974408,Kalaburagi,Tuition Centre,Y,,,,2026-03-16,
L2A Academy,,9008148777,Kalaburagi,Tuition Centre,Y,,,,2026-03-16,
