Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
Apex Dental Hospital GULBARGA,,,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
Shwetha Dentistry,,9900004208,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
Shree Venkat Sai Multispeciality Dental Hospital Gulbarga,,9739554406,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
Sun Dental,,9964611955,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
Dr Rupali's Dental Clinic and Implant Centre .,,8600106915,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
IDent Dental & Implant Care,,9738123996,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
Vaman E.N.T & Dental Care,,9480630600,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
DRUSHTI ORTHODONTICS AND FAMILY DENTISTRY,,8762223336,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
Siddaganga Dental Pedodontic & Orthodontic Speciality Clinic,,9449835358,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
VED DENTAL CLINIC,,9611019081,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
Denta - Care Super specialty Dental Clinic and laser dentistry,,9980251888,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
Dhrivya Dentistry,,7814476025,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,PHONE RECOVERED
AYUSH DENTAL CLINIC,,9148558780,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
SHREE DENTAL CLINIC GULBARGA,,9945750511,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
DRUSHTI ORTHODONTICS AND FAMILY DENTISTRY - Quadri chowk,,8884734267,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
Gulbarga Dental Clinic,,8147878717,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
"DENTA CARE,SUPERSPECIALITY DENTAL CLINIC,ADARSH NAGAR",,,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
WellCare Dental Clinic Gulbarga,,7025820830,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
Sajjalasri Orthodontic & Dental Clinic,,8747888808,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
Tooth Zone Dental Clinic,,7989966383,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
"Dental House, Multispeciality Dental Clinic",,8050602730,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
dr mahoorkar's speciality dental hospital,,9036607457,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
PATIL'S MULTISPECIALITY DENTAL CLINIC AND IMPLANT CENTER,,9743286999,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
SIDDHII Dental Clinic,,9071824015,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
V Tandle Dental clinic.,,8095339753,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
Dr. Molar Dental and Implant Centre,,6361111279,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
ANCHORAGE DENTAL CLINIC,,9686041267,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
The White Arch Dental Kalaburagi,,9731374227,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
GLOWDENT - The Tooth Studio,,8971406014,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
Battisi dental and orthodontic care,,7975003305,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
DantaH DentaL,,9844325570,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
CURE DENTAL CLINIC,,9035089001,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
IVORY DENTAL CARE,,8880076427,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
Shree Dental Clinic And Implant Centre/,,9888199913,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Rejoice Dental & Implant Clinic,,9986129839,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
Care Multi Speciality Dental Clinic,,6363467156,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
CROWN DENTISTRY,,9663417824,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
DrKarbhari's Sri Sai dental clinic,,9986427370,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
SHADAB DENTAL CARE,,8310169896,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
Brite Dental Clinic,,8880707002,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
Guttedar's Dental & Maxillofacial Centre,,,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
Dr.Zubair's Trusmile Dental Clinic,,9980105324,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
Krupa Multi Speciality Dental Care,,,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
RKR DENTAL SKIN AND HAIR CLINIC GULBARGA,,,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
TRUPTI Dental Clinic And IMPLANT Centre,,9743373007,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
Shah Dental Clinic The Implant & Orthodontic Centre,,9900855510,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
SHRIDHAR MULTISPECIALITY DENTAL & IMPLANT CENTRE,,8431104596,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
Vaman Dental Care,,7899390283,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
Dr. Manjunath Dental Clinic,,9448038865,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
Bright Now cosmetic and dental clinic,,9972781700,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
SAANVI DENTAL CLINIC (Multispeciality),,,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
S S Dental clinic,,,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
Kanaka Dental Clinic,,9972090542,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
Zofisha Dental Clinic,,9448650411,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
Shine dental clinic,,9448700790,Kalaburagi,Dental Clinic,Y,,,,2026-03-16,
