Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
V3 fitness,,9513491872,Kalaburagi,Gym,Y,,,,2026-03-16,
Fitness Factory,,7022842270,Kalaburagi,Gym,Y,,,,2026-03-16,
Standard Gym Kalaburagi,,9916978635,Kalaburagi,Gym,Y,,,,2026-03-16,
Ultimate Fitness Gym Gulbarga,,,Kalaburagi,Gym,Y,,,,2026-03-16,PHONE MISSING
Tribe Fit Gym,,9396926208,Kalaburagi,Gym,Y,,,,2026-03-16,
Muscle master ladies gym and fitness hub,,,Kalaburagi,Gym,Y,,,,2026-03-16,PHONE MISSING
FIT KING GYM HEATH & FITNESS CENTRES,,,Kalaburagi,Gym,Y,,,,2026-03-16,PHONE MISSING
HERCULES FITNESS CENTRE UNISEX,,9900897907,Kalaburagi,Gym,Y,,,,2026-03-16,
AK FITNESS,,,Kalaburagi,Gym,Y,,,,2026-03-16,PHONE MISSING
SMART FIT GYM,,,Kalaburagi,Gym,Y,,,,2026-03-16,PHONE MISSING
Power Gym,,9448821737,Kalaburagi,Gym,Y,,,,2026-03-16,
Xtrim fitness,,8364271122,Kalaburagi,Gym,Y,,,,2026-03-16,
Fit n Fine Fitness Zone,,9396926208,Kalaburagi,Gym,Y,,,,2026-03-16,
"Cult Gym Station Road, Gulbarga | Best Gym in Station Rd, Gulbarga",,8884991111,Kalaburagi,Gym,Y,,,,2026-03-16,
I-FITNESS GYM,,9606982205,Kalaburagi,Gym,Y,,,,2026-03-16,
MaXX fitness,,8971974999,Kalaburagi,Gym,Y,,,,2026-03-16,
HARD LINE HEALTH CLUB GYM,,,Kalaburagi,Gym,Y,,,,2026-03-16,PHONE MISSING
Golden gym,,9396926208,Kalaburagi,Gym,Y,,,,2026-03-16,
CultFit Gulbarga,,8884991111,Kalaburagi,Gym,Y,,,,2026-03-16,
QP Fitness Gym,,,Kalaburagi,Gym,Y,,,,2026-03-16,PHONE MISSING
Oxygen Gym,,9008427249,Kalaburagi,Gym,Y,,,,2026-03-16,
Smart Fit Health & Fitness (Unisex),,,Kalaburagi,Gym,Y,,,,2026-03-16,PHONE MISSING
Aerofit Gulbarga,,9459450666,Kalaburagi,Gym,Y,,,,2026-03-16,PHONE RECOVERED
R1 Gym,,,Kalaburagi,Gym,Y,,,,2026-03-16,PHONE MISSING
Generation Fitness Kalaburagi,,9396926208,Kalaburagi,Gym,Y,,,,2026-03-16,
BAFA FITNESS,,,Kalaburagi,Gym,Y,,,,2026-03-16,PHONE MISSING
Hi Tech Gym,,8884799336,Kalaburagi,Gym,Y,,,,2026-03-16,
RCR GYM Vilas ( Ladies and Gents ),,,Kalaburagi,Gym,Y,,,,2026-03-16,PHONE MISSING
Health Fitness Gym,,,Kalaburagi,Gym,Y,,,,2026-03-16,PHONE MISSING
Bhurli Wellness Club,,,Kalaburagi,Gym,Y,,,,2026-03-16,PHONE MISSING
Sagar Gym ( ladies and gents ),,8888888889,Kalaburagi,Gym,Y,,,,2026-03-16,
Core Fit,,,Kalaburagi,Gym,Y,,,,2026-03-16,PHONE MISSING
Shabdi Elite Fitness Hub,,,Kalaburagi,Gym,Y,,,,2026-03-16,PHONE MISSING
IRON GYM,,,Kalaburagi,Gym,Y,,,,2026-03-16,PHONE MISSING
Stayfit Health & Fitness World Private Limited,,9740999094,Kalaburagi,Gym,Y,,,,2026-03-16,
SR FITNESS AND NUTRITION CLUB,,6363976885,Kalaburagi,Gym,Y,,,,2026-03-16,
