Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
OXFORD ENGLISH ACADEMY,,9343599977,Kalaburagi,IELTS Coaching,Y,,,,2026-03-16,
THE PROTON ACADEMY,,9743380555,Kalaburagi,IELTS Coaching,Y,,,,2026-03-16,
Veta Spoken English,,9845567047,Kalaburagi,IELTS Coaching,Y,,,,2026-03-16,
"British institute of technology ,Computer training & Technical Training Institute gulbarga",,9164011062,Kalaburagi,IELTS Coaching,Y,,,,2026-03-16,
Achievers' Academy,,9972899444,Kalaburagi,IELTS Coaching,Y,,,,2026-03-16,
Raj Coaching Institute,,9731046313,Kalaburagi,IELTS Coaching,Y,,,,2026-03-16,
VVR NEET ACADEMY,,8217827925,Kalaburagi,IELTS Coaching,Y,,,,2026-03-16,PHONE RECOVERED
Study MBBS Abroad - Anjani Abroad Education Consultency,,9535515686,Kalaburagi,IELTS Coaching,Y,,,,2026-03-16,
"Disha Computer Institute Kalburgi | Top Computer, Animation, and Programming Language Training Institute in Kalburgi",,9607845777,Kalaburagi,IELTS Coaching,Y,,,,2026-03-16,
BSL British School of Language (online Classes only),,8009000014,Kalaburagi,IELTS Coaching,Y,,,,2026-03-16,PHONE RECOVERED
NSS Career Academy,,9164043777,Kalaburagi,IELTS Coaching,Y,,,,2026-03-16,
GLOBAL CONSULTANTS,,9066131234,Kalaburagi,IELTS Coaching,Y,,,,2026-03-16,
Harsha Spoken English,,9740623801,Kalaburagi,IELTS Coaching,Y,,,,2026-03-16,
