Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
BASAVAPRABHU HOME INTERIOR & HOME DECOR,,9980340331,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
NANDI INTERIORS,,9611118393,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Freedom Spaces (Aviin),,9739451000,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
MAS CONSTRUCT (architects and interior designers),,9035777486,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Saad interior decorators,,9740687396,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
STYLE MY SPACE,,8660091245,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Popular Interior,,9060907754,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Shahna Architects,,6366409090,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
SS INTERIORS,,9035717172,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Expert Aluminium Interiors,,8095858580,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Qadeer Associates Architects/Interior Designer's,,9901583473,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
BMS DESIGNS,,9742866086,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Rafiq construction interior & renovation,,9742089547,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Osm Interiors & Architecture Gulbarga,,9536700999,Kalaburagi,Interior Designer,Y,,,,2026-03-16,PHONE RECOVERED
Modernitive Interior,,9448764728,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Razvi Interior,,8431252002,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
gm decor,,9916878676,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
SR (SHARANA) INTERIORS POP Works,,9060542244,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
The Inched Squares,,7975619456,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Al ameen art and interior,,7090607867,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Aditi Consultants,,9945569456,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
JJ Interiors,,9482500505,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
mass design & consultancy,,9538137064,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
JEEVANGI HOMES,,9742464773,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Chulbul construction & home decor,,9606385718,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Designer Kitchen,,9518905399,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Belief Home Creation & Interior,,8050740259,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
MK lighting and Home decors,,6362092004,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
KN interiors Gulbarga,,9980512581,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
SB Interiors & Fall ceiling work,,9739619086,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
RAVI TEGNOOR ARCHITECTS & INTERIOR DESIGNERS,,9481484087,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
HOME STUDIO BY Carinae Cucine.,,8088203719,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
woodart,,9342223192,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
MEDINI Technologies,,9606781005,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
M.A pop gypsum ceiling work,,8861356168,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Chandrala Interior’s & Decorators,,9945151710,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
National Modular,,9035703022,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Bharat pop works,,9342484721,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Aakruthi Architectural Consultants,,9448451872,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Great Furniture,,9945570688,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
PERFECT SQUARED,,7900125100,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Maniyar Interior Mall,,9342405784,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
NAZA TRADERS,,9845091886,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Akash Inspire Living,,9347114994,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
MITRA Architects,,9630304111,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Jai Bhavani Publicity & Mantap Contractor,,9449122548,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
INSD Kalaburagi Center,,7701933935,Kalaburagi,Interior Designer,Y,,,,2026-03-16,PHONE RECOVERED
Vaikhari architects,,9449633806,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
USAMA ASSOCIATES,,8884441177,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Mayuri interior,,9731336880,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Asian Paints Beautiful Homes Painting Service,,8071682536,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
TULASII FURNITURE & INTERIORS,,9542727271,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Vishal Decoration,,7815855556,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Asian Paints Beautiful Homes Painting Service,,8071683147,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Nirmala Kitchen Trolley,,9844041571,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Asian Paints Colourideas - Adarsh Traders,,8425858441,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Jingle Kartoonj Animation Studio & Academy,,9880672522,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
HYDERABAD FURNITURE,,8867171321,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
S B POLYGRANITE,,9036937777,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Dhotre Arts LED Sign Board all types Kalaburagi,,9886919324,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Innovative Architecture Design Consultant & Construction,,9686779016,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Aditi Designs Hubli. False Ceiling & Interior Contractor,,9449339725,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
K.noor furniture,,8867965068,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Kalaburagi One Advertisement,,9916433527,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
"Damro Furniture – Modern & Affordable | Kalaburagi, Karnataka",,8867764895,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
JP GLOBAL ENTERPRISES,,9886205551,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Top Enterprises,,9845840100,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Vinspace Interiors | Interior Designers | Home Interiors | Modular Kitchen | Wardrobes | Aluminum Interiors,,9986896457,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Modern Interiors,,9342462983,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
"5S the style icon (Best Gift, Bags, Home Decor, Jewellery Shop In Gulbarga)",,9916940604,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
CORNERS JOINT,,9591449469,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Royaloak Furniture Kalaburagi,,7942762691,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
TOUCHSTONE INTERIORS AND DESIGNS,,8884066378,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Mr. Graphics,,9739107595,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Swastik Architects,,9972156585,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
"SpaceWood Interiors Hubli - Interior Designers,Modular Kitchens & Wardrobes in Hubli,KA",,9739077177,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
M Architects,,9513886007,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
SHREE GANESH FURNISHING &HOME DECORE,,7349188399,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
Ali Architects,,9920633906,Kalaburagi,Interior Designer,Y,,,,2026-03-16,
