Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
IDEAL VIITJEE ACADEMY | Best NEET JEE & Foundation coaching in Kalaburagi,,9986100720,Kalaburagi,JEE Coaching,Y,,,,2026-03-16,PHONE RECOVERED
Resonance Kalaburgi Study Center - IIT-JEE Training,,7442777777,Kalaburagi,JEE Coaching,Y,,,,2026-03-16,PHONE RECOVERED
"Physics Wallah Vidyapeeth Pathshala Coaching Center Kalaburagi | (8th-12th+) IIT-JEE,NEET and Dropper",,7428096975,Kalaburagi,JEE Coaching,Y,,,,2026-03-16,
Alpha Tutorials Kalaburagi | Best NEET & KCET institute Kalaburagi | JEE | KCET,,8904114460,Kalaburagi,JEE Coaching,Y,,,,2026-03-16,
"Aakash Institute, Gulbarga",,8800901459,Kalaburagi,JEE Coaching,Y,,,,2026-03-16,
NK NEET INSTITUTE,,9964464000,Kalaburagi,JEE Coaching,Y,,,,2026-03-16,
askIITians,,9902876174,Kalaburagi,JEE Coaching,Y,,,,2026-03-16,
Bright On Coaching Academy (foundation NEET/ JEE/ /KCET & 4th to 10th class (CBSE & STATE) Kalaburagi,,6360200335,Kalaburagi,JEE Coaching,Y,,,,2026-03-16,
VVR NEET ACADEMY,,8217827925,Kalaburagi,JEE Coaching,Y,,,,2026-03-16,PHONE RECOVERED
Narayana Coaching Center - Gulbarga,,7022043639,Kalaburagi,JEE Coaching,Y,,,,2026-03-16,
FUSION ACADEMY,,9019190567,Kalaburagi,JEE Coaching,Y,,,,2026-03-16,PHONE RECOVERED
Alpha academy by Maths techy - KCET & NEET Coaching,,9590767777,Kalaburagi,JEE Coaching,Y,,,,2026-03-16,
Basava Siri Education Trust (R),,9845077192,Kalaburagi,JEE Coaching,Y,,,,2026-03-16,
NARAYANA IIT-JEE/NEET/FOUNDATION - HUBLI,,7022043639,Kalaburagi,JEE Coaching,Y,,,,2026-03-16,
"PRS CHEMISTRY CLASSES, COACHING FOR-|BOARD|KCET|NEET|JEE",,8050063005,Kalaburagi,JEE Coaching,Y,,,,2026-03-16,
Raj Coaching Institute,,9731046313,Kalaburagi,JEE Coaching,Y,,,,2026-03-16,
"Vedic Institute Of Excellence, Kalaburagi",,7829089992,Kalaburagi,JEE Coaching,Y,,,,2026-03-16,
EXCEL ACADAMICS KALABURAGI,,7676917777,Kalaburagi,JEE Coaching,Y,,,,2026-03-16,
AMAZING COACHING CENTRE CBSE NCERT NAVODAYA SAINIK SCHOOL COACHING AND TUITION CLASSES KALABURAGI TUTORIAL,,9986650335,Kalaburagi,JEE Coaching,Y,,,,2026-03-16,
Achievers' Academy,,9972899444,Kalaburagi,JEE Coaching,Y,,,,2026-03-16,
VYASA ACADEMY [for Integrated (PUC) NEET/JEE/CET],,9900800139,Kalaburagi,JEE Coaching,Y,,,,2026-03-16,
"STUDY HOME Coaching for NEET,IIT-JEE,KCET",,8884043535,Kalaburagi,JEE Coaching,Y,,,,2026-03-16,
"Unacademy Coaching Helpline Kalaburagi | IIT JEE, NEET & Foundation Classes",,6366526955,Kalaburagi,JEE Coaching,Y,,,,2026-03-16,
VIVEKA ACADEMY TUTORIALS HUBLI,,9071403393,Kalaburagi,JEE Coaching,Y,,,,2026-03-16,
Gnyan Institute Of Learning Coaching Classes,,9844069290,Kalaburagi,JEE Coaching,Y,,,,2026-03-16,
Photon Educare,,9845777335,Kalaburagi,JEE Coaching,Y,,,,2026-03-16,
