Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
VVR NEET ACADEMY,,8217827925,Kalaburagi,NEET Coaching,Y,,,,2026-03-16,PHONE RECOVERED
IDEAL VIITJEE ACADEMY | Best NEET JEE & Foundation coaching in Kalaburagi,,9986100720,Kalaburagi,NEET Coaching,Y,,,,2026-03-16,PHONE RECOVERED
"Aakash Institute, Gulbarga",,8800901459,Kalaburagi,NEET Coaching,Y,,,,2026-03-16,
NK NEET INSTITUTE,,9964464000,Kalaburagi,NEET Coaching,Y,,,,2026-03-16,
askIITians,,9902876174,Kalaburagi,NEET Coaching,Y,,,,2026-03-16,
"Physics Wallah Vidyapeeth Pathshala Coaching Center Kalaburagi | (8th-12th+) IIT-JEE,NEET and Dropper",,7428096975,Kalaburagi,NEET Coaching,Y,,,,2026-03-16,
Alpha Tutorials Kalaburagi | Best NEET & KCET institute Kalaburagi | JEE | KCET,,8904114460,Kalaburagi,NEET Coaching,Y,,,,2026-03-16,
Resonance Kalaburgi Study Center - IIT-JEE Training,,7442777777,Kalaburagi,NEET Coaching,Y,,,,2026-03-16,PHONE RECOVERED
Bright On Coaching Academy (foundation NEET/ JEE/ /KCET & 4th to 10th class (CBSE & STATE) Kalaburagi,,6360200335,Kalaburagi,NEET Coaching,Y,,,,2026-03-16,
EXCEL ACADAMICS KALABURAGI,,7676917777,Kalaburagi,NEET Coaching,Y,,,,2026-03-16,
Alpha academy by Maths techy - KCET & NEET Coaching,,9590767777,Kalaburagi,NEET Coaching,Y,,,,2026-03-16,
"Vedic Institute Of Excellence, Kalaburagi",,7829089992,Kalaburagi,NEET Coaching,Y,,,,2026-03-16,
Narayana Coaching Center - Gulbarga,,7022043639,Kalaburagi,NEET Coaching,Y,,,,2026-03-16,
Achievers' Academy,,9972899444,Kalaburagi,NEET Coaching,Y,,,,2026-03-16,
"PRS CHEMISTRY CLASSES, COACHING FOR-|BOARD|KCET|NEET|JEE",,8050063005,Kalaburagi,NEET Coaching,Y,,,,2026-03-16,
Basava Siri Education Trust (R),,9845077192,Kalaburagi,NEET Coaching,Y,,,,2026-03-16,
FUSION ACADEMY,,9019190567,Kalaburagi,NEET Coaching,Y,,,,2026-03-16,PHONE RECOVERED
"STUDY HOME Coaching for NEET,IIT-JEE,KCET",,8884043535,Kalaburagi,NEET Coaching,Y,,,,2026-03-16,
AMAZING COACHING CENTRE CBSE NCERT NAVODAYA SAINIK SCHOOL COACHING AND TUITION CLASSES KALABURAGI TUTORIAL,,9986650335,Kalaburagi,NEET Coaching,Y,,,,2026-03-16,
Mathura Academy,,8147139145,Kalaburagi,NEET Coaching,Y,,,,2026-03-16,
NARAYANA IIT-JEE/NEET/FOUNDATION - HUBLI,,7022043639,Kalaburagi,NEET Coaching,Y,,,,2026-03-16,
Gnyan Institute Of Learning Coaching Classes,,9844069290,Kalaburagi,NEET Coaching,Y,,,,2026-03-16,
Raj Coaching Institute,,9731046313,Kalaburagi,NEET Coaching,Y,,,,2026-03-16,
VYASA ACADEMY [for Integrated (PUC) NEET/JEE/CET],,9900800139,Kalaburagi,NEET Coaching,Y,,,,2026-03-16,
"Unacademy Coaching Helpline Kalaburagi | IIT JEE, NEET & Foundation Classes",,6366526955,Kalaburagi,NEET Coaching,Y,,,,2026-03-16,
LAKSHYA Self-Study Centre,,9482974408,Kalaburagi,NEET Coaching,Y,,,,2026-03-16,
VIVEKA ACADEMY TUTORIALS HUBLI,,9071403393,Kalaburagi,NEET Coaching,Y,,,,2026-03-16,
Gurukul Academy,,8472256337,Kalaburagi,NEET Coaching,Y,,,,2026-03-16,
S.K. Kumbar's Coaching Classes,,9008073921,Kalaburagi,NEET Coaching,Y,,,,2026-03-16,
Photon Educare,,9845777335,Kalaburagi,NEET Coaching,Y,,,,2026-03-16,
