Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
Dr. Abdul Hakeem's Care Physiotherapy and Chiropractic Centre,,9845576496,Kalaburagi,Physiotherapy Clinic,Y,,,,2026-03-16,
Bounce Back Physiotherapy & Rehabilitation Centre,,9036290573,Kalaburagi,Physiotherapy Clinic,Y,,,,2026-03-16,
Healing Hands Physiotherapy and Hijama center,,9739229399,Kalaburagi,Physiotherapy Clinic,Y,,,,2026-03-16,
Chandramouli Physiotherapy and Neuro rehabilitation center Centre,,9740101999,Kalaburagi,Physiotherapy Clinic,Y,,,,2026-03-16,
ReCare Physio Clinic,,8296271610,Kalaburagi,Physiotherapy Clinic,Y,,,,2026-03-16,
The Rehab Place - Physiotherapy clinic Gulbarga(Kalaburagi),,8123488869,Kalaburagi,Physiotherapy Clinic,Y,,,,2026-03-16,
"Rejoice Physiotherapy & Rehabilitation Centre,Kalaburagi",,9986129839,Kalaburagi,Physiotherapy Clinic,Y,,,,2026-03-16,
"Pravṛtti Top Best Naturopathy | Yoga center | Cupping | Diet Plan | Nutrition | Physiotherapy in Gulbarga, Kalaburagi",,8088888225,Kalaburagi,Physiotherapy Clinic,Y,,,,2026-03-16,
City Physiotherapy Clinic & Pain Relief Centre,,9845691094,Kalaburagi,Physiotherapy Clinic,Y,,,,2026-03-16,
Shree Ketaki Physiotherapy And Rehabilitation Centre,,9481003388,Kalaburagi,Physiotherapy Clinic,Y,,,,2026-03-16,
Shivapuji's Physio Point,,9844305762,Kalaburagi,Physiotherapy Clinic,Y,,,,2026-03-16,
Reflex Physiotherapy Center,,9844303460,Kalaburagi,Physiotherapy Clinic,Y,,,,2026-03-16,
BRAINIX Child Development Center,,9606323596,Kalaburagi,Physiotherapy Clinic,Y,,,,2026-03-16,
United College of Physiotherapy,,9845576496,Kalaburagi,Physiotherapy Clinic,Y,,,,2026-03-16,PHONE RECOVERED
CeraCare Healthcare - Free Therapy,,7259182837,Kalaburagi,Physiotherapy Clinic,Y,,,,2026-03-16,
Akshaya Dr Pati's Physical Medicine & Rehabilation,,9448138822,Kalaburagi,Physiotherapy Clinic,Y,,,,2026-03-16,
Cure For Sure Homoeopathy & Physiotherapy Clinic,,9347418784,Kalaburagi,Physiotherapy Clinic,Y,,,,2026-03-16,
Vidhya Medical,,9972315450,Kalaburagi,Physiotherapy Clinic,Y,,,,2026-03-16,
Physiotherapy,,,Kalaburagi,Physiotherapy Clinic,Y,,,,2026-03-16,PHONE MISSING
Al-Noor Hijama Center,,9448405389,Kalaburagi,Physiotherapy Clinic,Y,,,,2026-03-16,
Puranik Physiotherapy And Ayurvedic Centre,,9986976053,Kalaburagi,Physiotherapy Clinic,Y,,,,2026-03-16,
