Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
DANIYAL REALESTATE GULBARGA,,6829669985,Kalaburagi,Real Estate Agent,Y,,,,2026-03-16,PHONE RECOVERED
N B TURE REAL ESTATE CONSULTANT,,9844072511,Kalaburagi,Real Estate Agent,Y,,,,2026-03-16,
Shri Sharanabasveshwara real estate consultancy,,9739207555,Kalaburagi,Real Estate Agent,Y,,,,2026-03-16,
Shivam Real Estate & Property Consultancy Service,,9343224789,Kalaburagi,Real Estate Agent,Y,,,,2026-03-16,
Bhoomi Vyavahara,,9663442452,Kalaburagi,Real Estate Agent,Y,,,,2026-03-16,
S S Enterprises,,7259443555,Kalaburagi,Real Estate Agent,Y,,,,2026-03-16,
Sirgapur Property Consultant,,9880883151,Kalaburagi,Real Estate Agent,Y,,,,2026-03-16,
Manur Realtors,,9739777108,Kalaburagi,Real Estate Agent,Y,,,,2026-03-16,
Bhoomi Projects,,9581060898,Kalaburagi,Real Estate Agent,Y,,,,2026-03-16,
MAM,,9008036631,Kalaburagi,Real Estate Agent,Y,,,,2026-03-16,
SG PROPERTIES,,9008005900,Kalaburagi,Real Estate Agent,Y,,,,2026-03-16,
SAZ Promoters & Developers,,7065060555,Kalaburagi,Real Estate Agent,Y,,,,2026-03-16,
Alfa City NA GDA Layout : Best NA GDA Layout in Gulbarga,,9342875225,Kalaburagi,Real Estate Agent,Y,,,,2026-03-16,
Shree Mahalaxmi Construction & Realtor Gulbarga (Airport Road Gulbarga),,9538503555,Kalaburagi,Real Estate Agent,Y,,,,2026-03-16,
Belief Home Creation & Interior,,8050740259,Kalaburagi,Real Estate Agent,Y,,,,2026-03-16,
G M Real Estate Gulbarga,,,Kalaburagi,Real Estate Agent,Y,,,,2026-03-16,PHONE MISSING
Shakuntala group,,9972548777,Kalaburagi,Real Estate Agent,Y,,,,2026-03-16,
Tanu builder,,9008308948,Kalaburagi,Real Estate Agent,Y,,,,2026-03-16,
S.S. CITY HILL,,7829160472,Kalaburagi,Real Estate Agent,Y,,,,2026-03-16,
Zeeshan Umar,,7019060221,Kalaburagi,Real Estate Agent,Y,,,,2026-03-16,
Samruddi Developers,,9141081431,Kalaburagi,Real Estate Agent,Y,,,,2026-03-16,
Shri Bhavani consultant,,8147062899,Kalaburagi,Real Estate Agent,Y,,,,2026-03-16,
Al HUDA FOUNDATION + MANN SALWA FAMILY RESTAURANT,,8553624549,Kalaburagi,Real Estate Agent,Y,,,,2026-03-16,
SHUBHAM AGRO SUPPIERS,,9448606409,Kalaburagi,Real Estate Agent,Y,,,,2026-03-16,
Mahalaxmi Builders & Developers,,9901810999,Kalaburagi,Real Estate Agent,Y,,,,2026-03-16,
Sk (W) Khan Developers,,9008671853,Kalaburagi,Real Estate Agent,Y,,,,2026-03-16,
Aadhar Housing Finance Ltd,,8888899953,Kalaburagi,Real Estate Agent,Y,,,,2026-03-16,PHONE RECOVERED
Unique Developers & Real Estate,,8123981234,Kalaburagi,Real Estate Agent,Y,,,,2026-03-16,
S.A. DTP CENTRE,,9972928615,Kalaburagi,Real Estate Agent,Y,,,,2026-03-16,
Rayyan Facility Management Services,,7892635488,Kalaburagi,Real Estate Agent,Y,,,,2026-03-16,
