Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
"Malkuds Skin Care Clinic | Best Dermatologist and Skin Clinic in Kalaburagi , Karnataka",,9160658283,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,
"Dr Madhuâ€™s Skin, Hair,Laser & Cosmetic centre| Advanced Dermatology Centre| Skin Specialist",,8978636265,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,
H.K.Skin Clinic - Dr S.K.Patil & Dr. Suma S Patil,,7204544275,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,
Vitalis Healthcare Clinic,,8364252020,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,
BALBATTI Skin and Hair clinic,,,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
RuVan Skin Hair & Aesthetic Clinic,,8050137555,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,
DR SAMAD WISDOM SKIN CLINIC,,7892284656,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,PHONE RECOVERED
"Glow & Grow Skin and Hair Clinic â€“ Best Skin Specialist, PRP Treatment in Gulbarga",,8559284470,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,
"WeCare Hospital - Best Skin, Hair & Maternity Hospital in Gulbarga",,7899381379,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,
"Rheumaderm - Rheumatology & Skin Care | Best Rheumatology & Dermatology Clinic in Karnataka | Arthritis, Skin & Hair Care",,7738553219,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,
Dr. Sheema Syed,,8904491429,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,
FAROOQUI SKIN CLINIC,,8888888889,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,
Dermashine,,,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Dr.M.Ruknuddin Skin Clinic,,,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Dr Badad's Skin Eye and Laser Care Centre,,8888888889,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,
Sangameshwar Skin Clinic,,,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Dr P.M. Biradar,,8362304914,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,
Dr Guruprasad K Y,,8559284470,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,
bhandar skin-hair-cosmmetic-laser children clinic,,,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Kanaka skin clinic,,,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Skin & V.D. Clinic,,9953702929,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,
Radiannt Clinic,,,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Skin Care Clinic,,9160658283,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Shubham Aesthetic clinic,,8559284470,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,
Kadwadeâ€™s Orthoderma clinic,,,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
GIRIJA SKIN CLINIC CARE,,,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
Anusha Skin S T D & Cosmotology Clinic,,9396926208,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,
Sri Guru Medical Dr ML Agnihotri Skin (DVD) Clinic,,,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
"DR R.B MATHAPATI, SRI SAI CLINIC, MANIKSINGH COMPLEX, OPP : APOLLO PHARMACY , QUADRI CHOWK, ALAND ROAD, KALBURGI.",,9845573397,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,
DR. N S MANTHALE SKIN CLINIC,,,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
vanishree memorial sikn & V D clinic,,9686589177,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,
Sri Datta Skin V.D. Cosmetic Care Clinic,,,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
"The V Studio Skin,Hair and Dental Clinic",,7019400557,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Tanu Cosmetology & Skin Care Clinic,,8888888889,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,
Dr. Swaroopa Umesh | Best Dermatologist in Kalaburagi,,9341179536,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,
Dr. Sanjeev Kumar Patil,,8559284470,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,
"Dr Batraâ€™s Homeopathy, Hair & Skin Clinic",,9033001649,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,PHONE RECOVERED
RKR DENTAL SKIN AND HAIR CLINIC GULBARGA,,9663896926,Kalaburagi,Skin Clinic,Y,,,,2026-03-16,
