Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
Shetty Tuition Centre,,9986629711,Mysuru,Tuition Centre,Y,,,,2026-03-16,
"MM Coaching Centre, Main Branch",,9886860940,Mysuru,Tuition Centre,Y,,,,2026-03-16,
MM Coaching centre NR mohalla,,9480973030,Mysuru,Tuition Centre,Y,,,,2026-03-16,
ISHA ACADEMY,,8722950100,Mysuru,Tuition Centre,Y,,,,2026-03-16,
Mysore Study Circle,,8971878724,Mysuru,Tuition Centre,Y,,,,2026-03-16,
"Physics Wallah Vidyapeeth Coaching Center Mysuru | IIT JEE, NEET & Foundation Classes",,7428096975,Mysuru,Tuition Centre,Y,,,,2026-03-16,
Dinesh Coaching Centre,,8212977029,Mysuru,Tuition Centre,Y,,,,2026-03-16,
DKS Academy Vijayanagar No:1 CBSE and ICSE Coaching Center in Mysuru,,9482549632,Mysuru,Tuition Centre,Y,,,,2026-03-16,
DKS Academy No:1 CBSE Coaching Center,,9482549632,Mysuru,Tuition Centre,Y,,,,2026-03-16,
Nakshathra Institute for Competitive Excellence : NICE : NICEXAMS : NICE MYSORE : NICE MYSURU : KAS COACHING IN MYSORE,,9845085556,Mysuru,Tuition Centre,Y,,,,2026-03-16,
Santosh's Mathematics Tuition,,9880673671,Mysuru,Tuition Centre,Y,,,,2026-03-16,
Talents Academy Mysuru,,8971443447,Mysuru,Tuition Centre,Y,,,,2026-03-16,
"Unacademy Coaching Centre - Kuvempunagara, Mysuru | IIT JEE, NEET & Foundation Classes",,6366527263,Mysuru,Tuition Centre,Y,,,,2026-03-16,
Discover Study Tuition Center,,9660518228,Mysuru,Tuition Centre,Y,,,,2026-03-16,
"Bharath Coaching Centre for CBSE/STATE 8th,9th & 10th STD",,9632866398,Mysuru,Tuition Centre,Y,,,,2026-03-16,
Summit Coaching Center,,9971035914,Mysuru,Tuition Centre,Y,,,,2026-03-16,
The Chanakya Learning Centre,,9742551050,Mysuru,Tuition Centre,Y,,,,2026-03-16,
Impact Academy,,9900368007,Mysuru,Tuition Centre,Y,,,,2026-03-16,
Accurate Academy,,7899907050,Mysuru,Tuition Centre,Y,,,,2026-03-16,
Vaidyanath's Physics Coaching Center,,9845840038,Mysuru,Tuition Centre,Y,,,,2026-03-16,
Game Of Science Academy Tutions,,9182850593,Mysuru,Tuition Centre,Y,,,,2026-03-16,
"Career Point Mysore - NEET, JEE & KCET Coaching",,9108999777,Mysuru,Tuition Centre,Y,,,,2026-03-16,
CENTER FOR EXCELLENCE,,9449323447,Mysuru,Tuition Centre,Y,,,,2026-03-16,
ARJUN COACHING CENTRE,,9902338728,Mysuru,Tuition Centre,Y,,,,2026-03-16,
DKS Academy Kuvempunagar No:1 CBSE Coaching Center,,9482549632,Mysuru,Tuition Centre,Y,,,,2026-03-16,PHONE RECOVERED
ತಿಮ್ಮರಾಜು ಪಾಠಶಾಲೆ Thimmaraju Coaching Centre (TCC),,9886020230,Mysuru,Tuition Centre,Y,,,,2026-03-16,
Focus coaching centre,,7676703166,Mysuru,Tuition Centre,Y,,,,2026-03-16,
Prasad Coaching Center Branch-1,,9986847270,Mysuru,Tuition Centre,Y,,,,2026-03-16,
"ALLEN Career Institute - Mysuru Campus | IIT JEE, NEET & Foundation Coaching",,9945588588,Mysuru,Tuition Centre,Y,,,,2026-03-16,
M.M Coaching Centre,,9740465618,Mysuru,Tuition Centre,Y,,,,2026-03-16,
S. J. Coaching centre,,8660467950,Mysuru,Tuition Centre,Y,,,,2026-03-16,
MYSORE MASTER’s (tuition center),,8050001519,Mysuru,Tuition Centre,Y,,,,2026-03-16,
Global Competitive Academy,,8073783591,Mysuru,Tuition Centre,Y,,,,2026-03-16,
"MM Coaching Centre, Hebbal",,9980052487,Mysuru,Tuition Centre,Y,,,,2026-03-16,
Navodaya Foundation(NAVO-PRAMATI),,9741869722,Mysuru,Tuition Centre,Y,,,,2026-03-16,
Rathod's Ideal Academy,,9741605750,Mysuru,Tuition Centre,Y,,,,2026-03-16,
Sainik Academy Mysuru,,9638116177,Mysuru,Tuition Centre,Y,,,,2026-03-16,
T.I.M.E.,,8123572551,Mysuru,Tuition Centre,Y,,,,2026-03-16,
RAM (Rare Acadamy of Mysuru),,9845307889,Mysuru,Tuition Centre,Y,,,,2026-03-16,
PRERANA ACADEMY,,9243451234,Mysuru,Tuition Centre,Y,,,,2026-03-16,
AIM Academy Mysore (Coaching Class),,7996166166,Mysuru,Tuition Centre,Y,,,,2026-03-16,
"Aakash Institute, Kuvempunagar (Mysore)",,8800013052,Mysuru,Tuition Centre,Y,,,,2026-03-16,
DIVINE INSPIRE ACADEMY,,9743564381,Mysuru,Tuition Centre,Y,,,,2026-03-16,
"Aakash Institute, Suburban Branch (Mysore )",,7428899148,Mysuru,Tuition Centre,Y,,,,2026-03-16,
Veda Coaching Academy,,9886466094,Mysuru,Tuition Centre,Y,,,,2026-03-16,
SSG Coaching Center,,8214241308,Mysuru,Tuition Centre,Y,,,,2026-03-16,
Vidhvath IAS and KAS Academy and Study Center,,9972258970,Mysuru,Tuition Centre,Y,,,,2026-03-16,
YOUNG MIND TUTORIALS MYSURU,,8746952515,Mysuru,Tuition Centre,Y,,,,2026-03-16,
True Teachers (Pranesh educational trust),,9611012411,Mysuru,Tuition Centre,Y,,,,2026-03-16,
Rare Academy of Mysore(RAM),,9845307889,Mysuru,Tuition Centre,Y,,,,2026-03-16,
Sea Shores,,9343652090,Mysuru,Tuition Centre,Y,,,,2026-03-16,
ProTree Academy | Best CA/CS Coaching Institute,,9158455717,Mysuru,Tuition Centre,Y,,,,2026-03-16,
"Career Launcher Mysore- Best Classes for CAT| MBA-CET| SNAP| IPMAT | BBA Entrance Coaching, CLAT Coaching",,9901453718,Mysuru,Tuition Centre,Y,,,,2026-03-16,
"The Heritage Academy For Competitive Exams, Mysuru",,9380076861,Mysuru,Tuition Centre,Y,,,,2026-03-16,
MMC Hebbal Mysore,,9980052487,Mysuru,Tuition Centre,Y,,,,2026-03-16,
VIDYABERU ACADEMY,,8123367691,Mysuru,Tuition Centre,Y,,,,2026-03-16,
VIBRANT PROFESSIONAL ACADEMY,,9606579606,Mysuru,Tuition Centre,Y,,,,2026-03-16,
Topper's Academy,,9449882386,Mysuru,Tuition Centre,Y,,,,2026-03-16,
MM Coaching Centre Vijayanagar,,9035461954,Mysuru,Tuition Centre,Y,,,,2026-03-16,
AIM Sanjay Coaching Center in Mysore,,7996155155,Mysuru,Tuition Centre,Y,,,,2026-03-16,
Wings Kkcc,,9315434112,Mysuru,Tuition Centre,Y,,,,2026-03-16,
"BASE Education - Kuvempunagar, Mysuru",,8214242100,Mysuru,Tuition Centre,Y,,,,2026-03-16,
Kritavidya Academy,,9243555122,Mysuru,Tuition Centre,Y,,,,2026-03-16,
Mysore pathshala,,9353385863,Mysuru,Tuition Centre,Y,,,,2026-03-16,
Edu CADD Mysuru / THINKWorks Infotech Mysuru,,6366147875,Mysuru,Tuition Centre,Y,,,,2026-03-16,
"UGC NET Tutorials, Shree Gurudeva Academy, Mysore..",,,Mysuru,Tuition Centre,Y,,,,2026-03-16,PHONE MISSING
Kirans Coaching Centre,,9591077505,Mysuru,Tuition Centre,Y,,,,2026-03-16,
Ekcel Academy,,9739733400,Mysuru,Tuition Centre,Y,,,,2026-03-16,
A square tuition center,,9901061200,Mysuru,Tuition Centre,Y,,,,2026-03-16,
VIJAYA IAS/KAS,,7676171798,Mysuru,Tuition Centre,Y,,,,2026-03-16,
AKKA IAS ACADEMY (Dr Shivakumar) - Mysuru,,9611537004,Mysuru,Tuition Centre,Y,,,,2026-03-16,
AAk Coaching Centre,,7676484128,Mysuru,Tuition Centre,Y,,,,2026-03-16,
CADD Centre,,8214288882,Mysuru,Tuition Centre,Y,,,,2026-03-16,
Home Shiksha - Home Tutors | Online Tutors Near Me | Private Tutor,,9133416664,Mysuru,Tuition Centre,Y,,,,2026-03-16,PHONE RECOVERED
Cuemath Offline Tuition Center | SANTOSHI ARUN KUTHNIKAR,,8296888111,Mysuru,Tuition Centre,Y,,,,2026-03-16,
"Jai Vinayaka Computer Training Center,Mysore",,9738223840,Mysuru,Tuition Centre,Y,,,,2026-03-16,
Unique Education Center(tuition center from LKG to PUC),,9886245360,Mysuru,Tuition Centre,Y,,,,2026-03-16,
Cuemath Offline Tuition Center | Shalini MS,,8296888111,Mysuru,Tuition Centre,Y,,,,2026-03-16,
Dhrithi coaching centre,,8971677775,Mysuru,Tuition Centre,Y,,,,2026-03-16,
MM Coaching Centre - Siddhartha Layout,,7411157376,Mysuru,Tuition Centre,Y,,,,2026-03-16,
State Bank of India Learning Centre Mysore,,8212414810,Mysuru,Tuition Centre,Y,,,,2026-03-16,
Vision Computers,,9741110088,Mysuru,Tuition Centre,Y,,,,2026-03-16,
IMSC Higgs Boson,,7975620569,Mysuru,Tuition Centre,Y,,,,2026-03-16,PHONE RECOVERED
GTRAC Mysore | Software Training Institution and Internship,,9591343563,Mysuru,Tuition Centre,Y,,,,2026-03-16,
CADPOINT MYSORE,,8214264417,Mysuru,Tuition Centre,Y,,,,2026-03-16,
CHESS KLUB - Mysuru,,8951661957,Mysuru,Tuition Centre,Y,,,,2026-03-16,
Gurulingu Tutors | Best for PUC/B.Com/BBA/M.Com/MBA/CA&CS foundation Coaching,,8880007842,Mysuru,Tuition Centre,Y,,,,2026-03-16,
V 4 TECH Vidyaranyapuram,,9986036542,Mysuru,Tuition Centre,Y,,,,2026-03-16,
SS Coaching Centre,,9108937788,Mysuru,Tuition Centre,Y,,,,2026-03-16,
"BASE Education - Vijayanagar, Mysuru",,8214258100,Mysuru,Tuition Centre,Y,,,,2026-03-16,
Shenoy Tuition,,7899480658,Mysuru,Tuition Centre,Y,,,,2026-03-16,
FLUENT ENGLISH CAMPUS SPOKEN ENGLISH,,9113938973,Mysuru,Tuition Centre,Y,,,,2026-03-16,
Bhavishya Academy Coaching Center,,9916673300,Mysuru,Tuition Centre,Y,,,,2026-03-16,
Cuemath Offline Tuition Center | Meena D,,8296888111,Mysuru,Tuition Centre,Y,,,,2026-03-16,
