Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
Smile Dental Care,,9845162272,Mysuru,Dental Clinic,Y,,,,2026-03-16,
Cosmo Dental Specialists Clinic,,9148409363,Mysuru,Dental Clinic,Y,,,,2026-03-16,
Murthy Dental And Braces Clinic Mysore,,9886870040,Mysuru,Dental Clinic,Y,,,,2026-03-16,
Life Care Dental Clinic,,9886037522,Mysuru,Dental Clinic,Y,,,,2026-03-16,
Dr. Ashwini's Smile Zone best dental clinic dentist in mysore root canal dental implant cap crown painless braces,,9886098901,Mysuru,Dental Clinic,Y,,,,2026-03-16,
MYSORE SMILE :) DENTAL,,9845854977,Mysuru,Dental Clinic,Y,,,,2026-03-16,
Mysore Dental Care,,9845235853,Mysuru,Dental Clinic,Y,,,,2026-03-16,
Guru Dental Clinic,,9886124215,Mysuru,Dental Clinic,Y,,,,2026-03-16,
whyte dental,,7090700790,Mysuru,Dental Clinic,Y,,,,2026-03-16,
Maruthi Multi-Speciality Dental Care,,9535382359,Mysuru,Dental Clinic,Y,,,,2026-03-16,
Ashvini dental clinic,,9741874713,Mysuru,Dental Clinic,Y,,,,2026-03-16,
Teeth Affair : Multi-Speciality Dental Clinic,,7019214964,Mysuru,Dental Clinic,Y,,,,2026-03-16,
Lakshmi dental clinic,,7349602857,Mysuru,Dental Clinic,Y,,,,2026-03-16,
Kshema dental clinic,,9148106454,Mysuru,Dental Clinic,Y,,,,2026-03-16,
MG dental clinic,,9986124484,Mysuru,Dental Clinic,Y,,,,2026-03-16,
Atharva Dental Clinic,,9480016676,Mysuru,Dental Clinic,Y,,,,2026-03-16,
Dr Neha's Dental Clinic,,6363741175,Mysuru,Dental Clinic,Y,,,,2026-03-16,
Dental Planet,,6362627736,Mysuru,Dental Clinic,Y,,,,2026-03-16,
Smile Maker Dental Clinic,,9845106626,Mysuru,Dental Clinic,Y,,,,2026-03-16,
Dental Square,,9353897653,Mysuru,Dental Clinic,Y,,,,2026-03-16,
SAHANA DENTAL CLINIC,,6361999356,Mysuru,Dental Clinic,Y,,,,2026-03-16,
Ora dental care,,8095790359,Mysuru,Dental Clinic,Y,,,,2026-03-16,
signature smile dental care,,9663951880,Mysuru,Dental Clinic,Y,,,,2026-03-16,
