Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
Spectra Fitness TK Layout: Gym in Mysore,,9620000658,Mysuru,Gym,Y,,,,2026-03-16,
Goals Fitness Mysore,,8553116485,Mysuru,Gym,Y,,,,2026-03-16,
"Healthonify Gym,Physio and Rehabilitation",,7975066029,Mysuru,Gym,Y,,,,2026-03-16,
Fitness Lounge,,9902034991,Mysuru,Gym,Y,,,,2026-03-16,
Fit and Fab Fitness (Unisex Gym),,9632151102,Mysuru,Gym,Y,,,,2026-03-16,
Fitness Factory,,8431369698,Mysuru,Gym,Y,,,,2026-03-16,
Fitness Empire,,7829073184,Mysuru,Gym,Y,,,,2026-03-16,
True Fitness,,7411114444,Mysuru,Gym,Y,,,,2026-03-16,
B-fit GYM,,,Mysuru,Gym,Y,,,,2026-03-16,PHONE MISSING
Gym Nation Mysore,,6363735900,Mysuru,Gym,Y,,,,2026-03-16,
Let's Get Fit Mysore,,9396926208,Mysuru,Gym,Y,,,,2026-03-16,
Oxygen Fitness 365,,8618812371,Mysuru,Gym,Y,,,,2026-03-16,
Being Fit,,8884988499,Mysuru,Gym,Y,,,,2026-03-16,
PURE GYM MYSORE (ಪ್ಯೂರ್ ಜಿಮ್ ಮೈಸೂರು),,7204417477,Mysuru,Gym,Y,,,,2026-03-16,
Spectra Fitness JP Nagar Gym in Mysore,,9886622066,Mysuru,Gym,Y,,,,2026-03-16,
equinox gym,,9448048752,Mysuru,Gym,Y,,,,2026-03-16,
Torque Fitness,,8213552159,Mysuru,Gym,Y,,,,2026-03-16,
"Cult Gym Lakshmipuram, Mysore | Best Gym in Lakshmipuram, Mysore",,9035854048,Mysuru,Gym,Y,,,,2026-03-16,
Fitness Park Mysore (ಫಿಟ್ನೆಸ್ ಪಾರ್ಕ್ ಮೈಸೂರು),,9743269991,Mysuru,Gym,Y,,,,2026-03-16,
Zenith Fitness,,9986888633,Mysuru,Gym,Y,,,,2026-03-16,
IRON ZONE gym,,9663426617,Mysuru,Gym,Y,,,,2026-03-16,
ELIXIR PREMIUM FITNESS STUDIO,,,Mysuru,Gym,Y,,,,2026-03-16,PHONE MISSING
Dream world fitness centre,,7204873915,Mysuru,Gym,Y,,,,2026-03-16,
Athlean Fitness Studio,,9916849069,Mysuru,Gym,Y,,,,2026-03-16,
MultiFit Mysuru,,6360754714,Mysuru,Gym,Y,,,,2026-03-16,
CENTURY FITNESS INDIA,,6366007722,Mysuru,Gym,Y,,,,2026-03-16,
SKY FITNESS,,9066434725,Mysuru,Gym,Y,,,,2026-03-16,
Heal Fitness Zone,,8088864412,Mysuru,Gym,Y,,,,2026-03-16,
Train Trak Fitness Mysore,,9113691564,Mysuru,Gym,Y,,,,2026-03-16,
Muscle Power Gym,,9241112226,Mysuru,Gym,Y,,,,2026-03-16,
OXYGEN GYM,,9741424298,Mysuru,Gym,Y,,,,2026-03-16,
Fitness for you,,8088230406,Mysuru,Gym,Y,,,,2026-03-16,
Sculpt Zone Fitness Studio,,8892538666,Mysuru,Gym,Y,,,,2026-03-16,PHONE RECOVERED
Gravity fitness mysuru,,6829669985,Mysuru,Gym,Y,,,,2026-03-16,PHONE RECOVERED
Vin's Fitness,,8861187983,Mysuru,Gym,Y,,,,2026-03-16,
Body Zone Gymnasium,,9035953101,Mysuru,Gym,Y,,,,2026-03-16,
d__fitness__mysuru,,9663114552,Mysuru,Gym,Y,,,,2026-03-16,
Max Muscle Fitness,,8880162624,Mysuru,Gym,Y,,,,2026-03-16,
WRD HEALTH AND FITNESS,,9591018018,Mysuru,Gym,Y,,,,2026-03-16,
GOLD'S GYM KUVEMPUNAGAR,,9513900299,Mysuru,Gym,Y,,,,2026-03-16,
Supernova Fitness 365,,8884888218,Mysuru,Gym,Y,,,,2026-03-16,
Gold's Gym Vijayanagar,,8214260018,Mysuru,Gym,Y,,,,2026-03-16,
Spartans Gym & Fitness Srirampura,,9599786870,Mysuru,Gym,Y,,,,2026-03-16,
D FIT The Ultimate Gym,,9396926208,Mysuru,Gym,Y,,,,2026-03-16,
Health Club,,,Mysuru,Gym,Y,,,,2026-03-16,PHONE MISSING
Diamond Fitness,,9964898112,Mysuru,Gym,Y,,,,2026-03-16,
TRI Fitness,,8214529466,Mysuru,Gym,Y,,,,2026-03-16,
"MSD ""I"" FITNESS CENTER (dilip kumar)",,9036813070,Mysuru,Gym,Y,,,,2026-03-16,
XTREME FITNESS,,9740079581,Mysuru,Gym,Y,,,,2026-03-16,
"Cult Vijayanagar, Mysore | Best Fitness Center in Vijayanagar, Mysore",,6360920390,Mysuru,Gym,Y,,,,2026-03-16,
Eagle Fitness Center,,9396926208,Mysuru,Gym,Y,,,,2026-03-16,
MUSCLE & FITNESS GYM,,8559284470,Mysuru,Gym,Y,,,,2026-03-16,
APPU MUSCLE FITNESS,,8553846786,Mysuru,Gym,Y,,,,2026-03-16,
My Fitness,,9396926208,Mysuru,Gym,Y,,,,2026-03-16,
"Stayfit Health & Fitness World Pvt Ltd, Gym Equipment Center, Mysuru",,9740999094,Mysuru,Gym,Y,,,,2026-03-16,
Fittroops,,9008274737,Mysuru,Gym,Y,,,,2026-03-16,
Real Look Gym,,9743212495,Mysuru,Gym,Y,,,,2026-03-16,
GM Core Fitness Mysore,,8660352498,Mysuru,Gym,Y,,,,2026-03-16,
Titanium Fitness Mysore,,9396926208,Mysuru,Gym,Y,,,,2026-03-16,
ICON Fitness,,9632722400,Mysuru,Gym,Y,,,,2026-03-16,
Jai bhajarangi fitness zone,,9396926208,Mysuru,Gym,Y,,,,2026-03-16,
Bfit fitness and gym Center,,,Mysuru,Gym,Y,,,,2026-03-16,PHONE MISSING
Arnold Fitness Vijayanagar,,7349788244,Mysuru,Gym,Y,,,,2026-03-16,
Sweat Zone Gym,,9844102173,Mysuru,Gym,Y,,,,2026-03-16,
B C Fitness,,9964023936,Mysuru,Gym,Y,,,,2026-03-16,
Spartans Gym & Fitness Kuvempunagar,,9599786870,Mysuru,Gym,Y,,,,2026-03-16,
Sweat zone,,6829669985,Mysuru,Gym,Y,,,,2026-03-16,PHONE RECOVERED
Arnold Fitness - Saraswathipura,,9108919123,Mysuru,Gym,Y,,,,2026-03-16,
Sunshine fitness Mysuru,,9396926208,Mysuru,Gym,Y,,,,2026-03-16,
Fitness Pro,,8088230406,Mysuru,Gym,Y,,,,2026-03-16,
The Fitness Club,,8147563032,Mysuru,Gym,Y,,,,2026-03-16,
Surya fitness gym,,,Mysuru,Gym,Y,,,,2026-03-16,PHONE MISSING
EXPLORE GYM FITNESS,,9396926208,Mysuru,Gym,Y,,,,2026-03-16,
Palastra fitness,,8884000056,Mysuru,Gym,Y,,,,2026-03-16,
Muscle Monster gym,,,Mysuru,Gym,Y,,,,2026-03-16,PHONE MISSING
Focus Fitness Mysore,,8095230417,Mysuru,Gym,Y,,,,2026-03-16,
Fitness point,,9845652508,Mysuru,Gym,Y,,,,2026-03-16,
Elite Fitness,,8214242829,Mysuru,Gym,Y,,,,2026-03-16,
INSPIRA FITNESS VIJAYANAGAR MYSURU,,9741083333,Mysuru,Gym,Y,,,,2026-03-16,
Intense Fitness Hootagalli,,8496921461,Mysuru,Gym,Y,,,,2026-03-16,
ArnoldFitness Center,,7349537349,Mysuru,Gym,Y,,,,2026-03-16,
A1 FITNESS MYSORE,,9945637440,Mysuru,Gym,Y,,,,2026-03-16,
Goals Fitness Hub,,8553116485,Mysuru,Gym,Y,,,,2026-03-16,
SYNERGY FITNESS CENTRE,,9972510279,Mysuru,Gym,Y,,,,2026-03-16,
Arnold Multi Gym,,9035665640,Mysuru,Gym,Y,,,,2026-03-16,
Fitness Crew,,9986517641,Mysuru,Gym,Y,,,,2026-03-16,
Hardcore Fitness Gym,,7619202334,Mysuru,Gym,Y,,,,2026-03-16,
ಸಿಲ್ವರ್ಸ್ fitness planet,,7204446422,Mysuru,Gym,Y,,,,2026-03-16,
Suriya's Gym and fitness centre,,9738908357,Mysuru,Gym,Y,,,,2026-03-16,
Power House Gym,,9396926208,Mysuru,Gym,Y,,,,2026-03-16,
Intense Fitness,,,Mysuru,Gym,Y,,,,2026-03-16,PHONE MISSING
Goals Fitness Studio,,,Mysuru,Gym,Y,,,,2026-03-16,PHONE MISSING
Blaster fitness,,9396926208,Mysuru,Gym,Y,,,,2026-03-16,
Be Strong,,8884988499,Mysuru,Gym,Y,,,,2026-03-16,
WELCARE FITNESS,,9611559777,Mysuru,Gym,Y,,,,2026-03-16,
D Prime Fitness Studio,,9396926208,Mysuru,Gym,Y,,,,2026-03-16,
Raw Fitness CrossFit Gym,,9916017687,Mysuru,Gym,Y,,,,2026-03-16,
MM Build Fitness,,9380523465,Mysuru,Gym,Y,,,,2026-03-16,
GINI'S FITNESS WORLD,,9396926208,Mysuru,Gym,Y,,,,2026-03-16,
Asian Gym,,7019067054,Mysuru,Gym,Y,,,,2026-03-16,
C R Fitness,,9739967255,Mysuru,Gym,Y,,,,2026-03-16,
Flexi fit,,9396926208,Mysuru,Gym,Y,,,,2026-03-16,
