Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
IELTS Certification Training Centre ( IDP Nodal Partner),,9886692794,Mysuru,IELTS Coaching,Y,,,,2026-03-16,
"Mapeo OVERSEAS EDUCATION Consultants Ielts, Toefl, Gmat, Gre, German Language Coaching / Training",,8050820711,Mysuru,IELTS Coaching,Y,,,,2026-03-16,
Sea Shores,,9343652090,Mysuru,IELTS Coaching,Y,,,,2026-03-16,
5 DAYS SPOKEN ENGLISH CHALLENGE | BHARATH'S OXFORD SPOKEN ENGLISH ACADEMY,,9008589702,Mysuru,IELTS Coaching,Y,,,,2026-03-16,
"Charkos OET, IELTS & German Training Centre",,9599669242,Mysuru,IELTS Coaching,Y,,,,2026-03-16,PHONE RECOVERED
IDP Education - Study Abroad Consultants in Mysore,,8214180888,Mysuru,IELTS Coaching,Y,,,,2026-03-16,
"Dave Consultancy - Study Abroad & Immigration Consultant ,IELTS & German Language Training Centre",,7899774545,Mysuru,IELTS Coaching,Y,,,,2026-03-16,
"Career Launcher Mysore- Best Classes for CAT| MBA-CET| SNAP| IPMAT | BBA Entrance Coaching, CLAT Coaching",,9901453718,Mysuru,IELTS Coaching,Y,,,,2026-03-16,
Niharika Academy Spoken English Training Institute,,8213100353,Mysuru,IELTS Coaching,Y,,,,2026-03-16,
The Change Makers Career Academy,,8214852759,Mysuru,IELTS Coaching,Y,,,,2026-03-16,
UNIABROAD Mysuru | Study Abroad Experts,,,Mysuru,IELTS Coaching,Y,,,,2026-03-16,PHONE MISSING
Educare OET Academy,,8296938996,Mysuru,IELTS Coaching,Y,,,,2026-03-16,
Kritavidya Academy,,9243555122,Mysuru,IELTS Coaching,Y,,,,2026-03-16,
Mind Synergy Training Institute,,9591241221,Mysuru,IELTS Coaching,Y,,,,2026-03-16,
"Hope Overseas Consultancy Mysuru - Study Abroad Consultant & IELTS /PTE, German Language Training Centre",,7204460866,Mysuru,IELTS Coaching,Y,,,,2026-03-16,
KC Overseas Education Mysuru,,9538417777,Mysuru,IELTS Coaching,Y,,,,2026-03-16,
Global Competitive Academy,,8073783591,Mysuru,IELTS Coaching,Y,,,,2026-03-16,
roads2globe,,9611370408,Mysuru,IELTS Coaching,Y,,,,2026-03-16,
T.I.M.E.,,8123572551,Mysuru,IELTS Coaching,Y,,,,2026-03-16,
"ALLEN Career Institute - Mysuru Campus | IIT JEE, NEET & Foundation Coaching",,9945588588,Mysuru,IELTS Coaching,Y,,,,2026-03-16,
Veta,,9444323000,Mysuru,IELTS Coaching,Y,,,,2026-03-16,
Brilliant Entrance - NEET/CET/JEE Regular and Repeaters Batch | IELTS/OET/DHA Coaching in Mysore,,9986166236,Mysuru,IELTS Coaching,Y,,,,2026-03-16,
GoStudy® - Study Abroad | IELTS® | PTE®,,6000060002,Mysuru,IELTS Coaching,Y,,,,2026-03-16,
VistaMind,,8212411299,Mysuru,IELTS Coaching,Y,,,,2026-03-16,
