Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
"Indira IVF Fertility Centre - Best IVF Center in Mysore, Karnataka",,8867181100,Mysuru,IVF Fertility Clinic,Y,,,,2026-03-16,
"Nova IVF Fertility Center - Best IVF Centre in Mysore, Karnataka",,8049436666,Mysuru,IVF Fertility Clinic,Y,,,,2026-03-16,
Iswarya IVF & Fertility Centre Mysuru,,9962700000,Mysuru,IVF Fertility Clinic,Y,,,,2026-03-16,
Dr Jyothi'S Fertility & Ivf Center,,8212347533,Mysuru,IVF Fertility Clinic,Y,,,,2026-03-16,
Spandana Fertility and Women Wellness Centre - Best IVF | Gynaecology | Laparoscopy Center in Mysuru,,9986544114,Mysuru,IVF Fertility Clinic,Y,,,,2026-03-16,
Mysuru Fertility Centre,,9019161221,Mysuru,IVF Fertility Clinic,Y,,,,2026-03-16,
"Santasa IVF Centre, Mysore",,9620099936,Mysuru,IVF Fertility Clinic,Y,,,,2026-03-16,
Srishti Fertility Hospital,,7760105623,Mysuru,IVF Fertility Clinic,Y,,,,2026-03-16,
"Gynoveda, Mysore, Jayalakshmipuram. Ayurveda Clinic for Fertility, PCOS, Periods.",,7240000700,Mysuru,IVF Fertility Clinic,Y,,,,2026-03-16,
Momtree IVF,,9611454999,Mysuru,IVF Fertility Clinic,Y,,,,2026-03-16,
Kangaroo Care Fertility - Mysore,,9611106107,Mysuru,IVF Fertility Clinic,Y,,,,2026-03-16,PHONE RECOVERED
SIRI CAREE IVF CENTRE,,8212444451,Mysuru,IVF Fertility Clinic,Y,,,,2026-03-16,
Chaitanya Maternity & Fertility Center,,8212475798,Mysuru,IVF Fertility Clinic,Y,,,,2026-03-16,
"Dr .Chethana(Mathruchaya Hospital) | Best Gynecologist, Fertility, IVF Center, pregnancy Care | Mysore",,9591126505,Mysuru,IVF Fertility Clinic,Y,,,,2026-03-16,
Mediwave IVF & Fertility Research Hospital,,8214255019,Mysuru,IVF Fertility Clinic,Y,,,,2026-03-16,
Dr Jyothis Health Care Private Limited,,8212475869,Mysuru,IVF Fertility Clinic,Y,,,,2026-03-16,
Navya Fertility Centre,,8212460465,Mysuru,IVF Fertility Clinic,Y,,,,2026-03-16,
Dr. Nivedita Vishwanath Adapa | Best Fertility Doctor in Mysore | Manipal Hospital Mysore,,8022221111,Mysuru,IVF Fertility Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Asia Pacific Institute of Embryology,,9108849758,Mysuru,IVF Fertility Clinic,Y,,,,2026-03-16,
Kangaroo Care - Women and Children Hospital in Mysore,,9606973219,Mysuru,IVF Fertility Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Dr Jayashree S | Top rated gynaecologist | Best Infertility and IVF specialist in Mysuru,,9986544114,Mysuru,IVF Fertility Clinic,Y,,,,2026-03-16,
