Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
"Livspace - Interior Design Studio, Devaraja Mohalla",,8047759132,Mysuru,Interior Designer,Y,,,,2026-03-16,
Aspirations by sneha - Interior Designers In Mysore,,9886465741,Mysuru,Interior Designer,Y,,,,2026-03-16,
"DesignCafe Experience Centre, Mysuru",,8068065000,Mysuru,Interior Designer,Y,,,,2026-03-16,
"HomeLane Kalidasa Road, Interior Design Studio",,7948227582,Mysuru,Interior Designer,Y,,,,2026-03-16,PHONE RECOVERED
CREATIVE FUSION,,9449279222,Mysuru,Interior Designer,Y,,,,2026-03-16,
"Sai Space Interiors Mysore (Modular kitchen, wardrobe and interior designing)",,9379556579,Mysuru,Interior Designer,Y,,,,2026-03-16,
Vow Decor,,9845350539,Mysuru,Interior Designer,Y,,,,2026-03-16,
Prince pop and pvc false ceiling works,,7022021177,Mysuru,Interior Designer,Y,,,,2026-03-16,
i BUILD INTERIORS KITCHENS WARDROBES INTERIOR DESIGNERS AND MANUFACTURERS MYSORE,,9141550500,Mysuru,Interior Designer,Y,,,,2026-03-16,
"HomeLane Vijaynagar, Interior Design Studio",,7948227582,Mysuru,Interior Designer,Y,,,,2026-03-16,
Falcon Interior Designs,,9035367592,Mysuru,Interior Designer,Y,,,,2026-03-16,
CLASS,,9900108001,Mysuru,Interior Designer,Y,,,,2026-03-16,
Urban360 Private Limited,,7406016735,Mysuru,Interior Designer,Y,,,,2026-03-16,
D'LIFE Home Interiors Mysore,,9383423333,Mysuru,Interior Designer,Y,,,,2026-03-16,
Vcosmos Interiors,,9353065595,Mysuru,Interior Designer,Y,,,,2026-03-16,
KJC Design Build | Construction Company in Mysore,,8197567560,Mysuru,Interior Designer,Y,,,,2026-03-16,
Dream Home Interiors,,9448125084,Mysuru,Interior Designer,Y,,,,2026-03-16,
Akara Design Studio,,9845100680,Mysuru,Interior Designer,Y,,,,2026-03-16,
Apt Co. – Construction & Interior Design,,9483310546,Mysuru,Interior Designer,Y,,,,2026-03-16,
Vibgyor | Architects & Interior Designers,,8212343658,Mysuru,Interior Designer,Y,,,,2026-03-16,
Space Solutions,,6364564563,Mysuru,Interior Designer,Y,,,,2026-03-16,
Dream Home Wood Decor,,9900113099,Mysuru,Interior Designer,Y,,,,2026-03-16,
Future Homes Interior,,8904275269,Mysuru,Interior Designer,Y,,,,2026-03-16,
LEVEL THREE INTERIORS,,8722176586,Mysuru,Interior Designer,Y,,,,2026-03-16,
