Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
"Physics Wallah Vidyapeeth Coaching Center Mysuru | IIT JEE, NEET & Foundation Classes",,7428096975,Mysuru,JEE Coaching,Y,,,,2026-03-16,
"ALLEN Career Institute - Mysuru Campus | IIT JEE, NEET & Foundation Coaching",,9945588588,Mysuru,JEE Coaching,Y,,,,2026-03-16,
"Career Point Mysore - NEET, JEE & KCET Coaching",,9108999777,Mysuru,JEE Coaching,Y,,,,2026-03-16,
"Aakash Institute, Kuvempunagar (Mysore)",,8800013052,Mysuru,JEE Coaching,Y,,,,2026-03-16,
"ALLEN Career Institute - Vijayanagar Campus, Mysore | IIT JEE, NEET & Foundation Coaching",,9945588588,Mysuru,JEE Coaching,Y,,,,2026-03-16,
ISHA ACADEMY,,8722950100,Mysuru,JEE Coaching,Y,,,,2026-03-16,
"Unacademy Coaching Centre - Kuvempunagara, Mysuru | IIT JEE, NEET & Foundation Classes",,6366527263,Mysuru,JEE Coaching,Y,,,,2026-03-16,
"Aakash Institute, Suburban Branch (Mysore )",,7428899148,Mysuru,JEE Coaching,Y,,,,2026-03-16,
Accurate Academy,,7899907050,Mysuru,JEE Coaching,Y,,,,2026-03-16,
RAM (Rare Acadamy of Mysuru),,9845307889,Mysuru,JEE Coaching,Y,,,,2026-03-16,
Super Neet India,,4067607600,Mysuru,JEE Coaching,Y,,,,2026-03-16,
Namma Tapasya Institute (NEET | IIT JEE | KCET),,9108999777,Mysuru,JEE Coaching,Y,,,,2026-03-16,
Bhavishya Academy,,8095155552,Mysuru,JEE Coaching,Y,,,,2026-03-16,
"BASE Education - Kuvempunagar, Mysuru",,8214242100,Mysuru,JEE Coaching,Y,,,,2026-03-16,
AIM Academy Mysore (Coaching Class),,7996166166,Mysuru,JEE Coaching,Y,,,,2026-03-16,
Impact Academy,,9900368007,Mysuru,JEE Coaching,Y,,,,2026-03-16,
Navodaya Foundation(NAVO-PRAMATI),,9741869722,Mysuru,JEE Coaching,Y,,,,2026-03-16,
DKS Academy Vijayanagar No:1 CBSE and ICSE Coaching Center in Mysuru,,9482549632,Mysuru,JEE Coaching,Y,,,,2026-03-16,
Vaidyanath's Physics Coaching Center,,9845840038,Mysuru,JEE Coaching,Y,,,,2026-03-16,
DKS Academy No:1 CBSE Coaching Center,,9482549632,Mysuru,JEE Coaching,Y,,,,2026-03-16,
DKS Academy Kuvempunagar No:1 CBSE Coaching Center,,9482549632,Mysuru,JEE Coaching,Y,,,,2026-03-16,PHONE RECOVERED
Prasaar Classes,,9739418314,Mysuru,JEE Coaching,Y,,,,2026-03-16,
SVG Centre of Excellence for PUC - Top & Best PU College,,8212972222,Mysuru,JEE Coaching,Y,,,,2026-03-16,
Dinesh Coaching Centre,,8212977029,Mysuru,JEE Coaching,Y,,,,2026-03-16,
Aviratha’s Mysore Central P U College,,6360239845,Mysuru,JEE Coaching,Y,,,,2026-03-16,
T.I.M.E.,,8123572551,Mysuru,JEE Coaching,Y,,,,2026-03-16,
S. J. Coaching centre,,8660467950,Mysuru,JEE Coaching,Y,,,,2026-03-16,
Innovative Mathematical Science Institute (IMSC),,9741233654,Mysuru,JEE Coaching,Y,,,,2026-03-16,
Summit Coaching Center,,9971035914,Mysuru,JEE Coaching,Y,,,,2026-03-16,
Kritavidya Academy,,9243555122,Mysuru,JEE Coaching,Y,,,,2026-03-16,
"Brilliant PU Board NEET-JEE-CET Integrated Coaching in Nirmala School and PU College, Near Christ College, Mysore",,9986166236,Mysuru,JEE Coaching,Y,,,,2026-03-16,
Game Of Science Academy Tutions,,9182850593,Mysuru,JEE Coaching,Y,,,,2026-03-16,
INVENIO ACADEMY (CA Coaching),,8970206040,Mysuru,JEE Coaching,Y,,,,2026-03-16,
ABHYAS ACADEMY,,7676645197,Mysuru,JEE Coaching,Y,,,,2026-03-16,
