Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
"Würfel Küche - Kalidasa Road, Mysore - Luxury Modular Kitchens & Wardrobes",,7022289564,Mysuru,Modular Kitchen,Y,,,,2026-03-16,
i BUILD INTERIORS KITCHENS WARDROBES INTERIOR DESIGNERS AND MANUFACTURERS MYSORE,,9141550500,Mysuru,Modular Kitchen,Y,,,,2026-03-16,
Bethliving - Modular Kitchen and Interior Design at Mysore,,9364016895,Mysuru,Modular Kitchen,Y,,,,2026-03-16,
"Sai Space Interiors Mysore (Modular kitchen, wardrobe and interior designing)",,9379556579,Mysuru,Modular Kitchen,Y,,,,2026-03-16,
Dream Home Interiors,,9448125084,Mysuru,Modular Kitchen,Y,,,,2026-03-16,
Curated Living-Modular Kitchens and Wardrobes,,8884359990,Mysuru,Modular Kitchen,Y,,,,2026-03-16,
"ARNAV LIFESTYLE INTERIORS, a unit of ARNAV MARKETING",,9845148411,Mysuru,Modular Kitchen,Y,,,,2026-03-16,
Best Kitchen,,9916015956,Mysuru,Modular Kitchen,Y,,,,2026-03-16,
Dream Home Wood Decor,,9900113099,Mysuru,Modular Kitchen,Y,,,,2026-03-16,
TOSTEM - Koncept,,8879498605,Mysuru,Modular Kitchen,Y,,,,2026-03-16,
IVAS Modular Kitchen & Wardrobe - Mysore,,9900080007,Mysuru,Modular Kitchen,Y,,,,2026-03-16,
Jade cucine,,8026633799,Mysuru,Modular Kitchen,Y,,,,2026-03-16,
kshidi Interiors,,9844895776,Mysuru,Modular Kitchen,Y,,,,2026-03-16,
Isha Interiors Modular Kitchen,,9060967663,Mysuru,Modular Kitchen,Y,,,,2026-03-16,
"Modular Kitchen Gallery in Jayanagar, Mysuru",,8046984311,Mysuru,Modular Kitchen,Y,,,,2026-03-16,
"Livspace - Interior Design Studio, Devaraja Mohalla",,8047759132,Mysuru,Modular Kitchen,Y,,,,2026-03-16,
Nu Design Interio,,7619568153,Mysuru,Modular Kitchen,Y,,,,2026-03-16,
Space Solutions,,9986378204,Mysuru,Modular Kitchen,Y,,,,2026-03-16,
Space Solutions,,6364564563,Mysuru,Modular Kitchen,Y,,,,2026-03-16,
Ali Interiors And Furnitures,,9448475804,Mysuru,Modular Kitchen,Y,,,,2026-03-16,
Aarya interio,,9341708754,Mysuru,Modular Kitchen,Y,,,,2026-03-16,
SRI MAHALAKSHMI SMART KITCHEN EQUIPMENTS,,9480355462,Mysuru,Modular Kitchen,Y,,,,2026-03-16,
"HomeLane Kalidasa Road, Interior Design Studio",,7948227582,Mysuru,Modular Kitchen,Y,,,,2026-03-16,PHONE RECOVERED
Rajarajeshwari Enterprises,,9739729925,Mysuru,Modular Kitchen,Y,,,,2026-03-16,
Antaranga Interiors ( Makwana Kitchen Culture),,9538419696,Mysuru,Modular Kitchen,Y,,,,2026-03-16,
FURNIMART GODREJ,,8884277336,Mysuru,Modular Kitchen,Y,,,,2026-03-16,
Grace Modular,,9739323111,Mysuru,Modular Kitchen,Y,,,,2026-03-16,
Hafele Design Studio - Feather Touch,,6126711243,Mysuru,Modular Kitchen,Y,,,,2026-03-16,
Kitchen Gas and Fab - #1 Premimum Kitchen Equipment in Mysuru | Kitchen Equipment in Mysuru | Kitchengasfab.com,,8095225120,Mysuru,Modular Kitchen,Y,,,,2026-03-16,
Vtech interior's,,7813942556,Mysuru,Modular Kitchen,Y,,,,2026-03-16,
RANGANATH'S SVT // (SVT Modern Kitchen Equipments),,8762408437,Mysuru,Modular Kitchen,Y,,,,2026-03-16,
Absolute aluminium interiors,,8147434097,Mysuru,Modular Kitchen,Y,,,,2026-03-16,
Ultrafresh Modular Solutions by Prestige,,7304500766,Mysuru,Modular Kitchen,Y,,,,2026-03-16,PHONE RECOVERED
FURNIMART GODREJ,,8884257776,Mysuru,Modular Kitchen,Y,,,,2026-03-16,
Modular Works Mysore,,9964782580,Mysuru,Modular Kitchen,Y,,,,2026-03-16,
