Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
Radiance Skin Clinic,,8123296936,Mysuru,Skin Clinic,Y,,,,2026-03-16,
Mohan Skin & Hair Clinic,,9946699465,Mysuru,Skin Clinic,Y,,,,2026-03-16,
Shreyu Skin and Hair Clinic,,8214264645,Mysuru,Skin Clinic,Y,,,,2026-03-16,
Skin & Cosmetic Clinic - Dr Sudhir Gowda,,,Mysuru,Skin Clinic,Y,,,,2026-03-16,PHONE MISSING
SKIN PARTNER (Dr. N. S. Shreyas),,8971326423,Mysuru,Skin Clinic,Y,,,,2026-03-16,
Sampreethi Skin Care Centre,,8212425707,Mysuru,Skin Clinic,Y,,,,2026-03-16,
GS SKIN CLINIC,,9886514461,Mysuru,Skin Clinic,Y,,,,2026-03-16,
K V SKIN HAIR AESTHETICS CLINIC,,9731411551,Mysuru,Skin Clinic,Y,,,,2026-03-16,PHONE RECOVERED
"Apta Clinic - Dermatology | Plastic Surgery | Hair Transplant | Dental Care |Cosmetology ,Krishnamurthypuram",,7411707555,Mysuru,Skin Clinic,Y,,,,2026-03-16,
Cutie Pie Clinic,,9740467263,Mysuru,Skin Clinic,Y,,,,2026-03-16,
Dr Sahana's Skin Clinic,,9606051565,Mysuru,Skin Clinic,Y,,,,2026-03-16,
Dr. Lavanya's Skin Clinic,,9886916975,Mysuru,Skin Clinic,Y,,,,2026-03-16,
"Reniu Clinic- Skin, Hair & Aesthetics",,8977114111,Mysuru,Skin Clinic,Y,,,,2026-03-16,
Mysore Skin Care & Cosmetology Centre,,8212448854,Mysuru,Skin Clinic,Y,,,,2026-03-16,
"VCare Hair & Skin Clinic - Mysuru | Skin Treatment, Hair Treatment, Hair Transplant, Laser Hair Removal, Skin Whitening",,7395823232,Mysuru,Skin Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Dr Kavya's Skin Clinic in Mysore,,8277051228,Mysuru,Skin Clinic,Y,,,,2026-03-16,
SUMUKHA SKIN CARE,,9900440724,Mysuru,Skin Clinic,Y,,,,2026-03-16,
SKIN INFINITY CLINIC,,9739719019,Mysuru,Skin Clinic,Y,,,,2026-03-16,
Dr Ashwini PK. Skin specialist/Dermatologist/Cosmetologist/Dermatosurgeon,,9632672727,Mysuru,Skin Clinic,Y,,,,2026-03-16,
Dr Chinmai's MRIDU - The Skin Theory Advanced Dermatology/Skin Clinic,,8310774908,Mysuru,Skin Clinic,Y,,,,2026-03-16,
Nirmala Skin Clinic,,8214190547,Mysuru,Skin Clinic,Y,,,,2026-03-16,
"Rejuven Skin, Hair & cosmetology Clinic - Dr Puneetha B",,7090436795,Mysuru,Skin Clinic,Y,,,,2026-03-16,
Dr. Nanjunda Swamy B.L Skin Care Clinic,,9448025219,Mysuru,Skin Clinic,Y,,,,2026-03-16,
Kolors Healthcare Mysore,,9884706666,Mysuru,Skin Clinic,Y,,,,2026-03-16,
Dr. Purushothama S M- Dermatologist In Mysuru,,9900440724,Mysuru,Skin Clinic,Y,,,,2026-03-16,
Ayur Esthederm,,6363995401,Mysuru,Skin Clinic,Y,,,,2026-03-16,
SkinLab by Dr.Jamuna Pai,,9892432242,Mysuru,Skin Clinic,Y,,,,2026-03-16,
