Business Name,City,Niche,Has Website,Website URL,Phone,Status,Scrape Status
"Dr Divya Skin, Cosmoderm and Laser Clinic(Skin Specialist, Cosmetologist, Hair Specialist)",Ballari,Tuition Centre,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Maanas Skin Hair & Laser Clinic,Ballari,Tuition Centre,Y,https://book-appointment.healthplix.com/dr-c--raghuveer-dermatologist-sona-complex-ballary,,PHONE MISSING — WEBSITE OUTREACH,PENDING
"Dr Dani's Skin, Cosmetic And Laser Clinic",Ballari,Tuition Centre,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Siddeshwara Skin Clinic,Ballari,Tuition Centre,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
"VCare Hair & Skin Clinic - Ballari | Skin Treatment, Hair Treatment, Hair Transplant, Laser Hair Removal, Skin Whitening",Ballari,Tuition Centre,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Dr Afshan Skin & Hair Clinic,Ballari,Tuition Centre,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Annapoorna Skin Clinic,Ballari,Tuition Centre,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Dr Vadiraj Clinic,Ballari,Tuition Centre,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
SRUSHTI HEALTH CLINIC,Ballari,Tuition Centre,Y,http://www.srushtihealthclinic.website3.me/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Dr Raghu Skin Clinic,Ballari,Tuition Centre,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Dr Afshan - Skin & Hair Clinic (Expert Dermatologist | Skin Specialist | Hair Transplant Surgeon) - Dr.Gouhare Afshan,Ballari,Tuition Centre,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
"Dr Batra’s Homeopathy, Hair & Skin Clinic",Ballari,Tuition Centre,Y,https://clinics.drbatras.com/bellary/homeopathy-clinic-parvathi-nagar.php,9033001649,PHONE RECOVERED,DONE
Srushti Hair and Skin clinic,Ballari,Tuition Centre,Y,http://www.srushtihealthclinic.website3.me/,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Gudi Skin Care Clinic,Ballari,Tuition Centre,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Vaibhav Skin Clinic,Ballari,Tuition Centre,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Dr praladh rao eye and skin hospital,Ballari,Tuition Centre,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
New Srihari clinic,Ballari,Tuition Centre,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
Maya Beauty Salon And Makeup Studio,Ballari,Tuition Centre,Y,https://www.eventonx.in/listing/maya-beauty-salon-and-make-up-studio-ballari/,9743209896,PHONE RECOVERED,DONE
LAKSHYA DENTAL & BONNE BODY HAIR CLINIC,Ballari,Tuition Centre,Y,,,PHONE MISSING — WEBSITE OUTREACH,PENDING
