Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
Chandragiri tours & travels,,7795557474,Vijayapura,Car Rental,Y,,,,2026-03-16,
Uday Tours and Travels,,9900777748,Vijayapura,Car Rental,Y,,,,2026-03-16,
PAVAN TEJA TRAVELS,,9148939349,Vijayapura,Car Rental,Y,,,,2026-03-16,
VIJAY TRAVELS (CAR Tours &Travels Bijapur Vijayapura),,,Vijayapura,Car Rental,Y,,,,2026-03-16,PHONE MISSING
SAINIK TOUR'S & TRAVELS.,,,Vijayapura,Car Rental,Y,,,,2026-03-16,PHONE MISSING
Taxi service vijaypur,,8660861515,Vijayapura,Car Rental,Y,,,,2026-03-16,
Rakshit tours and travels,,6362299320,Vijayapura,Car Rental,Y,,,,2026-03-16,
Al Rehman Travels,,8884663786,Vijayapura,Car Rental,Y,,,,2026-03-16,
Car rent services and driver,,9480597561,Vijayapura,Car Rental,Y,,,,2026-03-16,
PATIL TOURS AND TRAVELS,,,Vijayapura,Car Rental,Y,,,,2026-03-16,PHONE MISSING
Pradeep tours and travels,,8884322783,Vijayapura,Car Rental,Y,,,,2026-03-16,
Rutvika tours and travels,,9035068980,Vijayapura,Car Rental,Y,,,,2026-03-16,
RT Tours and Travels,,9663342284,Vijayapura,Car Rental,Y,,,,2026-03-16,
Meenaxi chowk,,,Vijayapura,Car Rental,Y,,,,2026-03-16,PHONE MISSING
Pratik tour and travels,,8722102518,Vijayapura,Car Rental,Y,,,,2026-03-16,PHONE RECOVERED
Dawal malik travels,,,Vijayapura,Car Rental,Y,,,,2026-03-16,PHONE MISSING
RK TRAVELS,,,Vijayapura,Car Rental,Y,,,,2026-03-16,PHONE MISSING
A M TRAVELS AND LOGICONNECTS,,9019996249,Vijayapura,Car Rental,Y,,,,2026-03-16,
SHRI RENUKA TOURS & TRAVELS,,,Vijayapura,Car Rental,Y,,,,2026-03-16,PHONE MISSING
Mytrip cars,,,Vijayapura,Car Rental,Y,,,,2026-03-16,PHONE MISSING
SHRI MALLIKARJUN WATER SERVIC,,8073663732,Vijayapura,Car Rental,Y,,,,2026-03-16,
Nagesh auto stand,,,Vijayapura,Car Rental,Y,,,,2026-03-16,PHONE MISSING
Srinikaa tours and travels,,,Vijayapura,Car Rental,Y,,,,2026-03-16,PHONE MISSING
Laxmi Tours and travel,,,Vijayapura,Car Rental,Y,,,,2026-03-16,PHONE MISSING
Peace Tours and Travels,,9845715117,Vijayapura,Car Rental,Y,,,,2026-03-16,
EMO eMobility,,8352354688,Vijayapura,Car Rental,Y,,,,2026-03-16,
AP Tour And Travels,,,Vijayapura,Car Rental,Y,,,,2026-03-16,PHONE MISSING
Sana Tours And Travels,,8147225480,Vijayapura,Car Rental,Y,,,,2026-03-16,
BHARAT TOURS AND TRAVELS,,,Vijayapura,Car Rental,Y,,,,2026-03-16,PHONE MISSING
S Car Rental,,9986430057,Vijayapura,Car Rental,Y,,,,2026-03-16,
Uday Taxi Rentals,,9071777749,Vijayapura,Car Rental,Y,,,,2026-03-16,
Athalye travel lines,,9845264747,Vijayapura,Car Rental,Y,,,,2026-03-16,
OM Tours & Travels (RB),,9986186443,Vijayapura,Car Rental,Y,,,,2026-03-16,
Prestige Car Care,,,Vijayapura,Car Rental,Y,,,,2026-03-16,PHONE MISSING
Gururaj Transport And Car Rental Services,,9611737116,Vijayapura,Car Rental,Y,,,,2026-03-16,
Kirti Tours And Travels vijayapur,,9740835718,Vijayapura,Car Rental,Y,,,,2026-03-16,
Vijayanand Travels,,9449051000,Vijayapura,Car Rental,Y,,,,2026-03-16,
Jai Bhavani Travels Vijayapur,,8329141474,Vijayapura,Car Rental,Y,,,,2026-03-16,
DMI finance office,,,Vijayapura,Car Rental,Y,,,,2026-03-16,PHONE MISSING
Gee Pee Travels,,8352254351,Vijayapura,Car Rental,Y,,,,2026-03-16,
DD travels,,8277636083,Vijayapura,Car Rental,Y,,,,2026-03-16,
Shodha Toyota,,7259797202,Vijayapura,Car Rental,Y,,,,2026-03-16,
Sri Sapthagiri Xerox Center,,9900442698,Vijayapura,Car Rental,Y,,,,2026-03-16,
Shri mallikarjun tours and travels,,7406319999,Vijayapura,Car Rental,Y,,,,2026-03-16,
SMB Spare Driver's service 24/7,,9902581427,Vijayapura,Car Rental,Y,,,,2026-03-16,
Gowda's tour and Travels,,9844187745,Vijayapura,Car Rental,Y,,,,2026-03-16,
HR Car A/C,,8088865742,Vijayapura,Car Rental,Y,,,,2026-03-16,PHONE RECOVERED
Good Luck Tousif,,7892607453,Vijayapura,Car Rental,Y,,,,2026-03-16,
