Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
CHANAKAYA CAREER ACADEMY. VIJAYAPUR,,8352222197,Vijayapura,Tuition Centre,Y,,,,2026-03-16,
Target Coaching Centre Vijayapur,,9900667411,Vijayapura,Tuition Centre,Y,,,,2026-03-16,
Genius coaching classes Vijayapur,,7259944893,Vijayapura,Tuition Centre,Y,,,,2026-03-16,
"Physics Wallah Vidyapeeth Pathshala Coaching Center Vijayapura | IIT JEE, NEET & Foundation Classes",,7290070560,Vijayapura,Tuition Centre,Y,,,,2026-03-16,PHONE RECOVERED
"GEJJI CAREER ACADEMY, VIJAYAPUR",,8352223177,Vijayapura,Tuition Centre,Y,,,,2026-03-16,
Creative Study Circle Banking Academy,,9902542748,Vijayapura,Tuition Centre,Y,,,,2026-03-16,
BYJU'S Tuition Centre - SS Front Road,,9009002000,Vijayapura,Tuition Centre,Y,,,,2026-03-16,
professionalist institute of learning [Tuition/coaching classes],,9019504801,Vijayapura,Tuition Centre,Y,,,,2026-03-16,
SB WISDOM CAREER ACADEMY VIJAYAPUR,,9902191927,Vijayapura,Tuition Centre,Y,,,,2026-03-16,
Awanti Classes,,8951246886,Vijayapura,Tuition Centre,Y,,,,2026-03-16,
Shree Mata IAS & KAS Academy,,9483153074,Vijayapura,Tuition Centre,Y,,,,2026-03-16,
Aspire Spirit Spoken English Classes,,9036175900,Vijayapura,Tuition Centre,Y,,,,2026-03-16,
Bhavi Academy Tuition classes,,7795361622,Vijayapura,Tuition Centre,Y,,,,2026-03-16,
Dr BR Ambedkar Officers academy Vijayapur,,8088993807,Vijayapura,Tuition Centre,Y,,,,2026-03-16,
Shri Siddeshwar coaching classes,,7795751224,Vijayapura,Tuition Centre,Y,,,,2026-03-16,
Unique Zeal | English & Computer | Training Center,,7676110088,Vijayapura,Tuition Centre,Y,,,,2026-03-16,
AK24 TUITION CENTER,,6476804152,Vijayapura,Tuition Centre,Y,,,,2026-03-16,PHONE RECOVERED
LEARNERZONES Digital Marketing Training Centre,,7022661441,Vijayapura,Tuition Centre,Y,,,,2026-03-16,
SMART CBSE COACHING CLASSES,,9632412596,Vijayapura,Tuition Centre,Y,,,,2026-03-16,
"Physics Wallah Coaching Center Helpline | IIT JEE, NEET Classes in Bijapur",,7428890305,Vijayapura,Tuition Centre,Y,,,,2026-03-16,
Creative education and training Computer Institute,,8861543666,Vijayapura,Tuition Centre,Y,,,,2026-03-16,
"UNICKS COMPUTER CENTER (ಯುನಿಕ್ಸ್ ಕಂಪ್ಯೂಟರ್ ಸೆಂಟರ್, ವಿಜಯಪುರ)",,7021529700,Vijayapura,Tuition Centre,Y,,,,2026-03-16,
RiseUp Banking Institute Vijayapura,,8904604694,Vijayapura,Tuition Centre,Y,,,,2026-03-16,
Indian Army Coaching Center Bijapur,,9113699218,Vijayapura,Tuition Centre,Y,,,,2026-03-16,
"Go Green Agri Practical Coaching Center, Vijayapura",,9900484143,Vijayapura,Tuition Centre,Y,,,,2026-03-16,
GP Soldiers Academy Vijayapura karnataka,,,Vijayapura,Tuition Centre,Y,,,,2026-03-16,PHONE MISSING
TURNING POINT COMPUTERS KEONICS Training Centre,,7090318318,Vijayapura,Tuition Centre,Y,,,,2026-03-16,
Nakshatra coaching classes,,9986445966,Vijayapura,Tuition Centre,Y,,,,2026-03-16,
"UNIiQUE Computer Institute, Vijayapur",,7776808789,Vijayapura,Tuition Centre,Y,,,,2026-03-16,
expert career academy vijayapur,,9341877408,Vijayapura,Tuition Centre,Y,,,,2026-03-16,
AIMS INSTITUTE OF TECHNOLOGY Computer Training Center,,9844252221,Vijayapura,Tuition Centre,Y,,,,2026-03-16,
Brilliant Coaching Classes,,8951938899,Vijayapura,Tuition Centre,Y,,,,2026-03-16,
Educrafter Tuition Classes,,7795672186,Vijayapura,Tuition Centre,Y,,,,2026-03-16,
Flying Crystal Coaching Classes,,8884207700,Vijayapura,Tuition Centre,Y,,,,2026-03-16,
"Physics Wallah Coaching Center Helpline Vijayapura | IIT JEE, NEET Classes",,7428890305,Vijayapura,Tuition Centre,Y,,,,2026-03-16,
"Gurudev IAS, KAS & Banking Academy, Vijayapura Branch",,9591968899,Vijayapura,Tuition Centre,Y,,,,2026-03-16,
NexGen CADD Training Center,,7483087008,Vijayapura,Tuition Centre,Y,,,,2026-03-16,
