Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
AIMS INSTITUTE OF TECHNOLOGY Computer Training Center,,9844252221,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
TURNING POINT COMPUTERS KEONICS Training Centre,,7090318318,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
LCC Computer Institute,,7411112597,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
Creative education and training Computer Institute,,8861543666,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
Disha Computer Institute Vijayapur | Full Stack | Data Analytics | Animation & Programming Language & IT Courses in Vijayapur,,9075175165,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
"UNICKS COMPUTER CENTER (ಯುನಿಕ್ಸ್ ಕಂಪ್ಯೂಟರ್ ಸೆಂಟರ್, ವಿಜಯಪುರ)",,7021529700,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
"UNIiQUE Computer Institute, Vijayapur",,7776808789,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
Tech Mantra,,9844900393,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
Unique Zeal | English & Computer | Training Center,,7676110088,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
Lions Computer Institute,,8792937341,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
Apex Computer Institute,,7204609954,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
SANMARG COMPUTERS - DTP CENTER AND TRAINING INSTITUTE,,9880035855,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
Ai Computer Education Center Vijayapura,,9986122719,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
Pragati Computer Training Centre,,9900776857,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
"HI-TECH COMPUTER EDUCATION CENTRE, VIJAYAPUR",,8073557732,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
M2 institute,,8123704202,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
IT-MASTER INSTITUTE OF TECHNOLOGY & CONSULTANCY,,8352222330,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
Winsome Infotech Computer Center (Training Center),,8660504495,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
ISCT computer class,,9886668222,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
nCube Technologies,,9591327894,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
IACT-Institute For Advance Computer Technology,,7026323777,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
Keonics Computer literacy test Center(CLT) TechKshetra Info Solutions Pvt. Ltd,,9341070404,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
Adarsh Computer,,7899552204,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
SAM COMPUTER INSTITUTE,,8792557525,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
professionalist institute of learning [Tuition/coaching classes],,9019504801,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
Shree Renuka Computer Training Institute,,7349563545,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
My Creative course,,8861543666,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
Rudset Vijayapura,,8904392161,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
Brilliance Typing and Steno classes (shorthand),,7353165052,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
"SRT SOFTECH Pvt. Ltd., Vijayapur",,9606711474,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
Amma Career Academy,,9611993713,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
Shree Mata IAS & KAS Academy,,9483153074,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
Innoovatum,,7204099395,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
Leeway Technologies,,9845342510,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
Appu Academy Computer Institute Tikota,,7676535121,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
Snehajivi And S soldier Collaboration Classes,,8151807742,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
Creative Study Circle Banking Academy,,9902542748,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
RiseUp Banking Institute Vijayapura,,8904604694,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
Disha Computer Institute Bagalkot | Data Analytics | Full Stack | Programming Language |Animation Training,,8197673176,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
Anant IT Park,,9632560374,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
Nandi Softech Solutions,,8152853260,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
My PC Skills Computer Training Center,,7204229830,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
Orion Computer Class,,8095618888,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
STCEC,,7411853116,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,
Ubiquitous Global,,9999999776,Vijayapura,Computer Training Institute,Y,,,,2026-03-16,PHONE RECOVERED
